loss_distill_anatomy,loss_distill_feature,loss_distill_logits,natural_complete_trimodal_cases_only,teacher_forward_executed,variant
0.0,0.0,0.0,True,True,student_moddrop_control
0.1,0.1,0.5,True,True,student_reliable_distill
