fold,checkpoint_step,case_id,role,center,t2_present,region,margin_count,margin_mean,margin_median,margin_p10,margin_p25,margin_frac_gt0,scar_half_logit_count,scar_half_logit_mean,scar_half_logit_median,scar_half_logit_p10,scar_half_logit_p25,scar_half_logit_frac_gt0,scar_full_logit_count,scar_full_logit_mean,scar_full_logit_median,scar_full_logit_p10,scar_full_logit_p25,scar_full_logit_frac_gt0,scar_final_logit_count,scar_final_logit_mean,scar_final_logit_median,scar_final_logit_p10,scar_final_logit_p25,scar_final_logit_frac_gt0,z_scar_count,z_scar_mean,z_scar_median,z_scar_p10,z_scar_p25,z_scar_frac_gt0,anatomy_class1_logit_count,anatomy_class1_logit_mean,anatomy_class1_logit_median,anatomy_class1_logit_p10,anatomy_class1_logit_p25,anatomy_class1_logit_frac_gt0
2,4000,Case1079,inner,CenterA,false,gt_scar_voxels,1923,-0.3902202464,0.8632698059,-8.104175758,-1.982234001,0.611024441,1923,6.686768061,7.538167477,-4.121149158,1.714437902,0.8117524701,1923,4.415075755,6.206707001,-4.640419865,3.047747016,0.8195527821,1923,4.415075755,6.206707001,-4.640419865,3.047747016,0.8195527821,1923,4.415075755,6.206707001,-4.640419865,3.047747016,0.8195527821,1923,6.082143002,6.393278599,3.256360579,4.955830097,0.9989599584
2,4000,Case1079,inner,CenterA,false,non_scar_myocardium_voxels,14424,-14.1622231,-15.00487328,-17.16612301,-16.30755758,0.0111619523,14424,-9.654433306,-10.13257885,-14.52032204,-12.41317868,0.04055740433,14424,-9.152942401,-10.07480907,-11.63588791,-11.06567121,0.04083471991,14424,-9.152942401,-10.07480907,-11.63588791,-11.06567121,0.04083471991,14424,-9.152942401,-10.07480907,-11.63588791,-11.06567121,0.04083471991,14424,6.322439388,6.562609673,4.078529549,5.726519823,0.9995840266
2,4000,Case1079,inner,CenterA,false,predicted_scar_voxels,1446,2.299981538,1.992796183,0.478746891,1.046117187,1,1446,10.59121518,10.60492182,5.075559139,7.354404211,0.9993084371,1446,7.201237411,7.226775885,5.289380789,6.206987977,1,1446,7.201237411,7.226775885,5.289380789,6.206987977,1,1446,7.201237411,7.226775885,5.289380789,6.206987977,1,1446,6.319699727,6.412473202,4.280412674,5.365712643,1
2,4000,Case1031,inner,CenterA,false,gt_scar_voxels,4756,-0.5409595932,0.2326412201,-6.944242716,-2.021255612,0.5367956266,4756,6.318105702,7.069343805,-1.584829032,2.727936745,0.8536585366,4756,4.236471378,5.718386412,-3.354390025,3.877239108,0.8515559294,4756,4.236471378,5.718386412,-3.354390025,3.877239108,0.8515559294,4756,4.236471378,5.718386412,-3.354390025,3.877239108,0.8515559294,4756,4.777430972,5.19353199,1.601544321,2.887702227,0.9953742641
2,4000,Case1031,inner,CenterA,false,non_scar_myocardium_voxels,13981,-15.37611616,-16.39199829,-18.58712769,-17.72324371,0.003075602604,13981,-10.22863003,-11.03439713,-15.65309334,-13.46687222,0.04720692368,13981,-9.390412997,-10.55420685,-12.02176762,-11.48694038,0.04620556469,13981,-9.390412997,-10.55420685,-12.02176762,-11.48694038,0.04620556469,13981,-9.390412997,-10.55420685,-12.02176762,-11.48694038,0.04620556469,13981,5.985703166,6.197721481,4.50638485,5.483863831,0.9995708461
2,4000,Case1031,inner,CenterA,false,predicted_scar_voxels,2664,2.455800774,2.44412601,0.3602067947,1.046057224,1,2664,9.209211105,9.047995567,4.287124491,6.291207671,1,2664,6.393848867,6.539779663,4.751245356,5.611191392,1,2664,6.393848867,6.539779663,4.751245356,5.611191392,1,2664,6.393848867,6.539779663,4.751245356,5.611191392,1,2664,3.938048095,3.909311771,1.253299105,2.267245173,0.9984984985
2,4000,Case1035,inner,CenterA,false,gt_scar_voxels,7668,-1.450366808,-0.2093017101,-9.703660011,-3.695928574,0.4809598331,7668,4.788801324,5.757879734,-3.841940308,0.8388186246,0.7814293166,7668,3.295933659,5.307789564,-5.326670027,1.961760163,0.7872978612,7668,3.295933659,5.307789564,-5.326670027,1.961760163,0.7872978612,7668,3.295933659,5.307789564,-5.326670027,1.961760163,0.7872978612,7668,4.746300468,4.709357262,2.240751863,3.298195958,0.9959572248
2,4000,Case1035,inner,CenterA,false,non_scar_myocardium_voxels,8974,-14.30726229,-15.37656403,-17.83646393,-16.91240835,0.004568754179,8974,-8.44567662,-9.329551697,-13.33625011,-11.30515313,0.06206819701,8974,-8.612927877,-9.9754529,-11.5556179,-11.02132201,0.06028526855,8974,-8.612927877,-9.9754529,-11.5556179,-11.02132201,0.06028526855,8974,-8.612927877,-9.9754529,-11.5556179,-11.02132201,0.06028526855,8974,5.69433442,6.005304575,3.495748448,5.148625612,0.9975484734
2,4000,Case1035,inner,CenterA,false,predicted_scar_voxels,3820,2.424164352,2.523814201,0.5109802246,1.258173823,1,3820,8.794741731,9.115489483,4.409915113,6.414915681,1,3820,6.400418248,6.568129063,4.903243303,5.69844687,1,3820,6.400418248,6.568129063,4.903243303,5.69844687,1,3820,6.400418248,6.568129063,4.903243303,5.69844687,1,3820,3.976253896,3.751485705,2.474576616,3.175635993,1
2,4000,Case1001,actual-train,CenterA,false,gt_scar_voxels,1792,4.661787523,5.360352993,1.964187729,4.13990891,0.9547991071,1792,8.824110755,8.9723382,3.4488446,6.054406643,0.9748883929,1792,6.191581026,6.55034852,4.159364462,5.533573985,0.9743303571,1792,6.191581026,6.55034852,4.159364462,5.533573985,0.9743303571,1792,6.191581026,6.55034852,4.159364462,5.533573985,0.9743303571,1792,2.820457193,3.016522884,0.9166492164,1.900702715,0.9799107143
