archive_member,compressed_size,uncompressed_size,sha256_archive
SRR-v2.png,1743195,1758100,46e9d10269b960a40862950c7b4699e94c4d5242a05923f5052e046a76e15f37
SRR-v2.5.png,1819347,1939234,46e9d10269b960a40862950c7b4699e94c4d5242a05923f5052e046a76e15f37
SRR-v3.png,1916019,1930919,46e9d10269b960a40862950c7b4699e94c4d5242a05923f5052e046a76e15f37
CARE-MMRD.png,1700103,1713337,46e9d10269b960a40862950c7b4699e94c4d5242a05923f5052e046a76e15f37
CARE-SRR-Cascade.png,2052463,2066218,46e9d10269b960a40862950c7b4699e94c4d5242a05923f5052e046a76e15f37
MoSAIC.png,1643231,1764507,46e9d10269b960a40862950c7b4699e94c4d5242a05923f5052e046a76e15f37
CARE-DG.png,1951435,1966045,46e9d10269b960a40862950c7b4699e94c4d5242a05923f5052e046a76e15f37
CARE-ARC.png,1793368,1807839,46e9d10269b960a40862950c7b4699e94c4d5242a05923f5052e046a76e15f37
CARE-PRISM.png,1514509,1643820,46e9d10269b960a40862950c7b4699e94c4d5242a05923f5052e046a76e15f37
CARE-MyoWall-IF.png,1611704,1625411,46e9d10269b960a40862950c7b4699e94c4d5242a05923f5052e046a76e15f37
CARE-ASE.png,1782397,1795901,46e9d10269b960a40862950c7b4699e94c4d5242a05923f5052e046a76e15f37
