source,metric,value,status
fixed_overfit,discovery_proposal_loss_relative_decrease,0.9565335269795415,PASS
fixed_overfit,scar_refiner_repair_loss_relative_decrease,0.8743607747810828,PASS
fixed_overfit,combined_final_pathology_loss_relative_decrease,0.20564072041957518,PASS
implementation_checks,prototype_maps_on_vs_off_final_logit_delta,0.0005111541831865907,PASS
