stage,local_step,total_step,case_id,center,modality_group,t2_present,pathology,class_id,gt_positive,anchor_dice,srr_dice,dice_delta_vs_anchor,anchor_hd95,srr_hd95,hd95_delta_vs_anchor,anchor_component_count,srr_component_count,component_delta,anchor_remote_fp_volume_mm3,srr_remote_fp_volume_mm3,remote_fp_delta_mm3,changed_voxels_vs_anchor,prediction_path
formal_100,100,100,Case1002,CenterA,LGE-only,False,myops_edema,4,False,1.0,1.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,results/20260721_srr_batch7_upstream_candidate_quality/runtime/attempts/batch7_formal300_htzhulab_59789651/variants/batch7_formal300_htzhulab_59789651/predictions/fold_0/step_100/argmax/Case1002.nii.gz
formal_100,100,100,Case1002,CenterA,LGE-only,False,myops_scar,5,True,0.6167400881057269,0.609937518595656,-0.006802569510070855,4.323466070663145,4.323466070663145,0.0,3,3,0.0,0.0,0.0,0.0,44,results/20260721_srr_batch7_upstream_candidate_quality/runtime/attempts/batch7_formal300_htzhulab_59789651/variants/batch7_formal300_htzhulab_59789651/predictions/fold_0/step_100/argmax/Case1002.nii.gz
formal_100,100,100,Case1007,CenterA,LGE-only,False,myops_edema,4,False,1.0,1.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,results/20260721_srr_batch7_upstream_candidate_quality/runtime/attempts/batch7_formal300_htzhulab_59789651/variants/batch7_formal300_htzhulab_59789651/predictions/fold_0/step_100/argmax/Case1007.nii.gz
formal_100,100,100,Case1007,CenterA,LGE-only,False,myops_scar,5,True,0.5810928013876843,0.5853658536585366,0.0042730522708522845,6.836000084877014,6.775527594415115,-0.0604724904618994,8,7,-1.0,0.0,0.0,0.0,122,results/20260721_srr_batch7_upstream_candidate_quality/runtime/attempts/batch7_formal300_htzhulab_59789651/variants/batch7_formal300_htzhulab_59789651/predictions/fold_0/step_100/argmax/Case1007.nii.gz
formal_100,100,100,Case1009,CenterA,LGE-only,False,myops_edema,4,False,1.0,1.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,results/20260721_srr_batch7_upstream_candidate_quality/runtime/attempts/batch7_formal300_htzhulab_59789651/variants/batch7_formal300_htzhulab_59789651/predictions/fold_0/step_100/argmax/Case1009.nii.gz
formal_100,100,100,Case1009,CenterA,LGE-only,False,myops_scar,5,True,0.6048804535370964,0.6023735165521549,-0.0025069369849415324,8.496820117260281,8.89987869052768,0.40305857326739947,1,2,1.0,0.0,0.0,0.0,115,results/20260721_srr_batch7_upstream_candidate_quality/runtime/attempts/batch7_formal300_htzhulab_59789651/variants/batch7_formal300_htzhulab_59789651/predictions/fold_0/step_100/argmax/Case1009.nii.gz
formal_100,100,100,Case1010,CenterA,LGE-only,False,myops_edema,4,False,1.0,1.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,results/20260721_srr_batch7_upstream_candidate_quality/runtime/attempts/batch7_formal300_htzhulab_59789651/variants/batch7_formal300_htzhulab_59789651/predictions/fold_0/step_100/argmax/Case1010.nii.gz
formal_100,100,100,Case1010,CenterA,LGE-only,False,myops_scar,5,True,0.48279378027020137,0.47002904673884344,-0.01276473353135793,9.103254137198277,9.103254137198277,0.0,7,5,-2.0,285.9930906218839,252.34684466636816,-33.646245955515724,138,results/20260721_srr_batch7_upstream_candidate_quality/runtime/attempts/batch7_formal300_htzhulab_59789651/variants/batch7_formal300_htzhulab_59789651/predictions/fold_0/step_100/argmax/Case1010.nii.gz
formal_100,100,100,Case1021,CenterA,LGE-only,False,myops_edema,4,False,1.0,1.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,results/20260721_srr_batch7_upstream_candidate_quality/runtime/attempts/batch7_formal300_htzhulab_59789651/variants/batch7_formal300_htzhulab_59789651/predictions/fold_0/step_100/argmax/Case1021.nii.gz
formal_100,100,100,Case1021,CenterA,LGE-only,False,myops_scar,5,True,0.5699192044748291,0.568639798488665,-0.0012794059861641616,7.972077529615252,7.900669638510641,-0.07140789110461032,4,4,0.0,0.0,0.0,0.0,42,results/20260721_srr_batch7_upstream_candidate_quality/runtime/attempts/batch7_formal300_htzhulab_59789651/variants/batch7_formal300_htzhulab_59789651/predictions/fold_0/step_100/argmax/Case1021.nii.gz
