total_step,pathology,group,case_count,metric_case_count,anchor_dice_mean,srr_dice_mean,dice_delta_mean,anchor_hd95_mean,srr_hd95_mean,hd95_delta_mean,anchor_remote_fp_volume_mm3_mean,srr_remote_fp_volume_mm3_mean,remote_fp_delta_mm3_mean,changed_voxels_vs_anchor_mean
100,myops_edema,all_cases,44,44,0.7797948718832686,0.7813787438131066,0.0015838719298379269,7.276922314931449,7.15412083586848,-0.12280147906296814,86.19135076349431,88.58417228426036,2.3928215207660397,76.68181818181819
100,myops_edema,gt_positive_only,16,16,0.3944358976789887,0.3987915454860429,0.004355647807054299,20.011536366061485,19.673832298638324,-0.3377040674231624,237.02621459960938,243.60647378171598,6.580259182106609,210.875
100,myops_edema,CenterB,7,7,0.5029744773313501,0.5113173978603316,0.008342920528981486,15.933514343740368,15.59396283910709,-0.33955150463327627,541.7742047991071,529.1748046875,-12.599400111607142,130.71428571428572
100,myops_edema,CenterC,9,9,0.3100170023938187,0.3112714380838184,0.0012544356899998209,23.18333127231124,22.847064100495945,-0.33626717181529603,0.0,21.497771966106193,21.497771966106193,273.22222222222223
100,myops_edema,LGE-only,24,24,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,myops_edema,t2_present,16,16,0.3944358976789887,0.3987915454860429,0.004355647807054299,20.011536366061485,19.673832298638324,-0.3377040674231624,237.02621459960938,243.60647378171598,6.580259182106609,210.875
100,myops_scar,all_cases,44,44,0.5601692281262312,0.5541543021785097,-0.0060149259477215245,13.600533414596173,13.933296178217935,0.3327627636217619,620.3619700074735,579.9510538500347,-40.410916157438805,128.11363636363637
100,myops_scar,gt_positive_only,43,43,0.573196419478004,0.5670416115314982,-0.006154807946505746,13.600533414596173,13.933296178217935,0.3327627636217619,634.7889925657869,593.4382876605006,-41.35070490528622,131.0
100,myops_scar,CenterB,7,7,0.6131815991584469,0.6052965033495507,-0.007885095808896245,12.440137428805636,12.701136328398976,0.26099889959334127,2.5198800223214284,30.238560267857142,27.718680245535715,94.71428571428571
100,myops_scar,CenterC,9,9,0.7556758410852354,0.7453078351844566,-0.010368005900778847,6.799401617662012,6.372953932557446,-0.4264476851045662,0.0,0.0,0.0,235.88888888888889
100,myops_scar,LGE-only,24,24,0.501789292579108,0.4982265818045566,-0.0035627107745512736,16.87568991233629,17.521166636924402,0.6454767245881105,1136.5953133405244,1054.4240186469385,-82.17129469358572,110.25
100,myops_scar,t2_present,16,16,0.6933346102422654,0.6840528775066852,-0.009281732735580209,9.267223535037347,9.141533730738116,-0.12568980429923168,1.102447509765625,13.2293701171875,12.126922607421875,174.125
200,myops_edema,all_cases,44,44,0.7797948718832686,0.7815683623606908,0.00177349047742218,7.276922314931449,7.169714387084125,-0.10720792784732452,86.19135076349431,89.38595229136263,3.194601527868312,70.6590909090909
200,myops_edema,gt_positive_only,16,16,0.3944358976789887,0.39931299649189966,0.004877098812910995,20.011536366061485,19.716714564481343,-0.29482180158014243,237.02621459960938,245.81136880124723,8.785154201637859,194.3125
200,myops_edema,CenterB,7,7,0.5029744773313501,0.5101867340421785,0.0072122567108284085,15.933514343740368,15.615190197592266,-0.3183241461481017,541.7742047991071,534.2145647321429,-7.559640066964286,140.57142857142858
200,myops_edema,CenterC,9,9,0.3100170023938187,0.3130778672861272,0.003060864892308563,23.18333127231124,22.90678907206173,-0.27654220024950743,0.0,21.497771966106193,21.497771966106193,236.11111111111111
200,myops_edema,LGE-only,24,24,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
200,myops_edema,t2_present,16,16,0.3944358976789887,0.39931299649189966,0.004877098812910995,20.011536366061485,19.716714564481343,-0.29482180158014243,237.02621459960938,245.81136880124723,8.785154201637859,194.3125
200,myops_scar,all_cases,44,44,0.5601692281262312,0.5549538394099813,-0.005215388716249964,13.600533414596173,13.960891455687479,0.360358041091308,620.3619700074735,568.7029983485318,-51.65897165894172,126.56818181818181
200,myops_scar,gt_positive_only,43,43,0.573196419478004,0.5678597426520738,-0.005336676825930196,13.600533414596173,13.960891455687479,0.360358041091308,634.7889925657869,581.9286494729163,-52.8603430928706,129.46511627906978
200,myops_scar,CenterB,7,7,0.6131815991584469,0.6054341412565847,-0.007747457901862201,12.440137428805636,12.739052635973843,0.2989152071682053,2.5198800223214284,30.238560267857142,27.718680245535715,98.0
200,myops_scar,CenterC,9,9,0.7556758410852354,0.7495410401767618,-0.006134800908473576,6.799401617662012,6.476032901656505,-0.3233687160055067,0.0,0.0,0.0,190.22222222222223
200,myops_scar,LGE-only,24,24,0.501789292579108,0.4979126100623225,-0.0038766825167854107,16.87568991233629,17.515908320515106,0.6402184081788157,1136.5953133405244,1033.8025835608498,-102.7927297796744,125.54166666666667
200,myops_scar,t2_present,16,16,0.6933346102422654,0.6864942718991843,-0.0068403383430811,9.267223535037347,9.21610403542034,-0.05111949961700771,1.102447509765625,13.2293701171875,12.126922607421875,149.875
300,myops_edema,all_cases,44,44,0.7797948718832686,0.781769496889465,0.0019746250061963653,7.276922314931449,7.139743622297641,-0.1371786926338075,86.19135076349431,91.916569006153,5.725218242658677,69.38636363636364
300,myops_edema,gt_positive_only,16,16,0.3944358976789887,0.39986611644602865,0.005430218767040005,20.011536366061485,19.63429496131851,-0.37724140474297063,237.02621459960938,252.77056476692073,15.744350167311362,190.8125
300,myops_edema,CenterB,7,7,0.5029744773313501,0.5090770337594188,0.006102556428068696,15.933514343740368,15.57848738253929,-0.3550269612010763,541.7742047991071,554.3736049107143,12.599400111607142,144.14285714285714
300,myops_edema,CenterC,9,9,0.3100170023938187,0.31492429186894744,0.0049072894751288005,23.18333127231124,22.78881196703568,-0.3945193052755551,0.0,18.190422432859087,18.190422432859087,227.11111111111111
300,myops_edema,LGE-only,24,24,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
300,myops_edema,t2_present,16,16,0.3944358976789887,0.39986611644602865,0.005430218767040005,20.011536366061485,19.63429496131851,-0.37724140474297063,237.02621459960938,252.77056476692073,15.744350167311362,190.8125
300,myops_scar,all_cases,44,44,0.5601692281262312,0.5554530553506681,-0.00471617277556299,13.600533414596173,14.146567746840828,0.5460343322446551,620.3619700074735,557.4373138627052,-62.92465614476832,133.77272727272728
300,myops_scar,gt_positive_only,43,43,0.573196419478004,0.5683705682658,-0.0048258512122039895,13.600533414596173,14.146567746840828,0.5460343322446551,634.7889925657869,570.4009723246286,-64.38802024115829,136.8372093023256
300,myops_scar,CenterB,7,7,0.6131815991584469,0.6047675700387535,-0.008414029119693325,12.440137428805636,13.650170879726135,1.2100334509204989,2.5198800223214284,17.63916015625,15.119280133928571,97.57142857142857
300,myops_scar,CenterC,9,9,0.7556758410852354,0.7520637907170886,-0.003612050368146713,6.799401617662012,6.560846335490439,-0.23855528217157262,0.0,0.0,0.0,174.66666666666666
