item,category,route,variants,status,job_id,partition,scheduler_state,reason,elapsed,submit_time,pending_hours,recheck_interval_hours,recheck_windows_elapsed,next_recheck_after,max_recheck_after,wait_policy_status,start_time,exit_code,required_action,evidence,detail
repaired_proposal_formal,slurm_job,repaired_proposal,repaired_uncertainty_hardneg;repaired_posneg_scar_hardneg;repaired_joint_calibrated_proposal,DONE,57094448,htzhulab,COMPLETED,,06:35:50,2026-06-30T04:34:09,,,,,,not_pending,2026-06-30T19:37:43,0:0,inspect_outputs,57094448_0,repaired_uncertainty_hardneg:ready; repaired_posneg_scar_hardneg:ready; repaired_joint_calibrated_proposal:ready
srr_v2_basic_formal,slurm_job,srr_v2,srr_v2_multiscale_private_basic,DONE_RECOVERED,57094446,htzhulab,FAILED,,06:37:38,2026-06-30T04:34:05,,,,,,not_pending,2026-06-30T19:11:18,1:0,inspect_outputs,57094446_0,srr_v2_multiscale_private_basic:ready
srr_v2_missing_variants_a100,slurm_job,srr_v2,srr_v2_multiscale_private_proposal;srr_v2_proposal_uncertainty_hardneg,UNKNOWN_RECHECK,57095505,a100-gpu,CANCELLED by 397557,,00:00:00,2026-06-30T06:36:09,,,,,,not_pending,None,0:0,inspect_outputs,57095505_[1-2],srr_v2_multiscale_private_proposal:missing; srr_v2_proposal_uncertainty_hardneg:missing
srr_v2_missing_variants_htzhulab_fallback,slurm_job,srr_v2,srr_v2_multiscale_private_proposal;srr_v2_proposal_uncertainty_hardneg,DONE,57272337,htzhulab,COMPLETED,,06:34:26,2026-07-01T10:52:20,,,,,,not_pending,2026-07-01T10:52:36,0:0,inspect_outputs,57272337_1,srr_v2_multiscale_private_proposal:ready; srr_v2_proposal_uncertainty_hardneg:ready
cascade_formal_array,slurm_job,cascade_teacher,nnunet_anatomy_prior_refiner;nnunet_pathology_teacher_srr_refiner;coarse_to_fine_srr_roi,DONE,57272502,htzhulab,COMPLETED,,00:18:12,2026-07-01T10:55:00,,,,,,not_pending,2026-07-01T10:55:00,0:0,inspect_outputs,57272502_0,nnunet_anatomy_prior_refiner:ready; nnunet_pathology_teacher_srr_refiner:ready; coarse_to_fine_srr_roi:ready
cascade_component_guard_revision,slurm_job,cascade_teacher_revision_component_guard,nnunet_pathology_teacher_srr_refiner_component_guard;coarse_to_fine_srr_roi_component_guard,DONE,57274444,htzhulab,COMPLETED,,00:02:46,2026-07-01T11:19:13,,,,,,not_pending,2026-07-01T11:19:23,0:0,inspect_outputs,57274444_0,nnunet_pathology_teacher_srr_refiner_component_guard:ready; coarse_to_fine_srr_roi_component_guard:ready
cascade_signal_seek_revision,slurm_job,cascade_teacher_revision_signal_seek,nnunet_pathology_teacher_srr_refiner_signal_seek;coarse_to_fine_srr_roi_signal_seek,DONE,57275246,htzhulab,COMPLETED,,00:05:05,2026-07-01T11:27:10,,,,,,not_pending,2026-07-01T11:27:29,0:0,inspect_outputs,57275246_0,nnunet_pathology_teacher_srr_refiner_signal_seek:ready; coarse_to_fine_srr_roi_signal_seek:ready
srr_v2_light_refine_extras,slurm_job,srr_v2_light_refine_extras,srr_v2_light_refine_lowmix;srr_v2_light_refine_hardneg,DONE,57277361,htzhulab,COMPLETED,,06:33:40,2026-07-01T11:43:59,,,,,,not_pending,2026-07-01T11:44:04,0:0,inspect_outputs,57277361_0,srr_v2_light_refine_lowmix:ready; srr_v2_light_refine_hardneg:ready
srr_v2_capacity_extras,slurm_job,srr_v2_capacity_extras,srr_v2_capacity12_proposal;srr_v2_capacity12_hardneg,DONE,57279322,htzhulab,COMPLETED,,06:32:18,2026-07-01T12:07:40,,,,,,not_pending,2026-07-01T12:09:35,0:0,inspect_outputs,57279322_0,srr_v2_capacity12_proposal:ready; srr_v2_capacity12_hardneg:ready
srr_v2_targeted_extras,slurm_job,srr_v2_targeted_extras,srr_v2_edema_t2_focus;srr_v2_scar_precision_nointeract,QUEUED_OR_RUNNING,57334792,htzhulab,PENDING,(Resources),0:00,2026-07-01T18:17:51,0.50,2,0,2026-07-01 20:17:51,2026-07-02 18:17:51,continue_monitoring,2026-07-04T01:05:00,0:0,monitor,57334792_0:PENDING:htzhulab:0:00:(Resources):2026-07-04T01:05:00; 57334792_1:PENDING:htzhulab:0:00:(Resources):2026-07-03T17:30:28,srr_v2_edema_t2_focus:missing; srr_v2_scar_precision_nointeract:missing
