updated_utc,fold,job_id,slurm_state,node_or_reason,elapsed,time_left,last_completed_optimizer_step,stage,latest_checkpoint_step,next_checkpoint_step,target_step,nan_or_inf_count,outer_accessed
2026-08-13T11:14:20Z,2,63514614,RUNNING,g1807htzh01,2:54:09,4-21:05:51,6474,B,6000,7000,14000,0,False
2026-08-13T11:14:20Z,3,63247953,RUNNING,g1807htzh01,1-08:55:58,3-15:04:02,5467,B,5000,6000,14000,0,False
