updated_utc,fold,recent20_median_sec_per_optimizer_step,remaining_steps,projected_finish_utc,basis
2026-08-14T10:29:55Z,2,27.780119698960334,3763,2026-08-15T15:32:13.053927Z,training_log_recent20_excludes_fair_eval
2026-08-14T10:29:55Z,3,22.083759447559714,4944,2026-08-15T16:49:38.827667Z,training_log_recent20_excludes_fair_eval
