lane,fold,checkpoint_step,pathology,case_count,dice_mean,hd95_vox_mean,exact_hd_vox_mean,precision_mean,sensitivity_mean,lesion_recall_mean,small_lesion_recall_mean,remote_fp_count_sum,remote_fp_voxels_sum,blood_pool_adjacent_fp_count_sum,blood_pool_adjacent_fp_voxels_sum,pred_component_count_sum,gt_component_count_sum,volume_ratio_mean
m0r_faithful_control,2,500,scar,13,0.8418882197277188,2.2153804751490824,4.90426620662192,0.8650433171935196,0.8263120385924372,1.0,,0,0,223,3766,20,14,0.9615683627067975
m0r_faithful_control,2,500,pure_edema,13,0.7115938492497733,4.613435453306144,9.43029984861813,0.6587654854946167,0.7906201236303851,0.6727603467422472,0.528691955583403,2,225,385,8680,115,136,1.2487057001611785
m0r_faithful_control,2,1000,scar,13,0.8577791986610231,1.9706701299277836,5.904060371523117,0.923780053434097,0.8045475235285081,1.0,,1,6,194,1977,19,14,0.8739262461716694
m0r_faithful_control,2,1000,pure_edema,13,0.7343531801100533,3.415875816339712,7.884440870465321,0.6536295249706564,0.8549074340225048,0.7088355460527407,0.5642213171818434,2,2,454,9688,76,136,1.3555006020430354
m0r_faithful_control,2,1500,scar,13,0.8814657819425883,1.7781383950204535,4.4991368561904,0.8923807134867571,0.8761236316237819,1.0,,0,0,267,2999,15,14,0.9876483174740419
m0r_faithful_control,2,1500,pure_edema,13,0.7594330755742522,2.872347633910765,6.745508743296573,0.7530078459193535,0.7754900653194811,0.6328796015447599,0.4688874965190755,0,0,397,5208,92,136,1.039449231376802
m0r_faithful_control,2,2000,scar,13,0.8812938737501599,1.8267752815522085,5.861704064093856,0.8574664662394382,0.9155775124562417,1.0,,0,0,325,5166,20,14,1.0845471497509738
m0r_faithful_control,2,2000,pure_edema,13,0.7736933705677337,2.9852957035708716,7.741656271518867,0.7567906911424983,0.8056913322349802,0.6300867684351847,0.46463859301030347,2,2,418,5103,92,136,1.088381921277864
m0r_faithful_control,2,2500,scar,13,0.8945200344298089,1.6202243533906926,4.215009069197342,0.8974556709203116,0.8957635694116177,1.0,,0,0,285,3314,13,14,1.0038329650115803
m0r_faithful_control,2,2500,pure_edema,13,0.7993740079208631,2.730840647722645,6.508034568016784,0.8235423619761567,0.785920420760794,0.6337845789203255,0.47033425577833476,0,0,404,3412,86,136,0.9625785131223483
m0r_faithful_control,2,3000,scar,13,0.9019687582775988,1.459591653437551,4.151141651214884,0.9078615640773614,0.8998290988403135,1.0,,0,0,284,2862,13,14,0.9954274363656394
m0r_faithful_control,2,3000,pure_edema,13,0.8061647631625379,2.611546206230886,6.911678019082864,0.8071291348516172,0.8160210646425892,0.6402056088707672,0.4776594263436369,0,0,429,3866,84,136,1.0240800003851378
m0r_faithful_control,2,3500,scar,13,0.9009248364288036,1.4346897537836807,4.291622670206506,0.901654093041417,0.9042990051994064,1.0,,0,0,271,3031,13,14,1.00818094227025
m0r_faithful_control,2,3500,pure_edema,13,0.8062636866867732,2.6725779894111974,7.775707581527312,0.7981236486588057,0.8237535949524781,0.6538150763263886,0.49386313004734056,1,1,454,4367,78,136,1.0446673905377808
m0r_faithful_control,2,4000,scar,13,0.9018866526193362,1.4782563216774958,4.3227047253549795,0.9054704215820869,0.9023276930930233,1.0,,0,0,268,3000,14,14,1.0015278182827705
m0r_faithful_control,2,4000,pure_edema,13,0.8073945002052334,2.5641345093519243,6.515136777516883,0.8049320394307379,0.8193128554890584,0.64193724827209,0.477370074491785,1,1,429,3997,95,136,1.0303842312238662
m0r_faithful_control,3,500,scar,13,0.7785781349646016,5.3845862618195035,14.767807763515517,0.8042350652602338,0.7674665763012654,1.0,1.0,12,367,182,6430,26,19,0.9752579592360551
