lane,fold,checkpoint_step,pathology,case_count,dice_mean,hd95_vox_mean,exact_hd_vox_mean,precision_mean,sensitivity_mean,lesion_recall_mean,small_lesion_recall_mean,remote_fp_count_sum,remote_fp_voxels_sum,blood_pool_adjacent_fp_count_sum,blood_pool_adjacent_fp_voxels_sum,pred_component_count_sum,gt_component_count_sum,volume_ratio_mean,selection_scope,selection_rule,outer_cases_accessed
m0r_faithful_control,2+3,3500,scar,26,0.8882809226933206,1.4803600615012416,3.805019880470165,0.8901806521345912,0.8934501135877286,1.0,1.0,0,0,534,7130,31,33,1.0162456536298756,global_inner_fold2_fold3,scar:max_dice_tol_0.01_then_lower_hd95_tol_1_then_lower_remote_fp_then_higher_sensitivity_then_earlier_checkpoint,False
m0r_faithful_control,2+3,4000,pure_edema,26,0.7919755484211206,2.591739339276624,8.449428073590381,0.7978442440125046,0.7966863307270786,0.6258256261084315,0.4849356155540366,1,1,735,7793,173,260,1.0120679528005068,global_inner_fold2_fold3,edema:max_dice_tol_0.01_then_higher_sensitivity_tol_0.02_then_lower_hd95_then_volume_ratio_closer_1_then_earlier_checkpoint,False
