lane,fold,checkpoint_step,case_id,status,device,elapsed_seconds,outer_cases_accessed
m0r_faithful_control,2,500,Case2001,COMPLETED,cuda,5.649,False
m0r_faithful_control,2,500,Case2010,COMPLETED,cuda,0.7,False
m0r_faithful_control,2,500,Case2011,COMPLETED,cuda,1.029,False
m0r_faithful_control,2,500,Case2012,COMPLETED,cuda,0.175,False
m0r_faithful_control,2,500,Case2026,COMPLETED,cuda,0.386,False
m0r_faithful_control,2,500,Case2029,COMPLETED,cuda,0.541,False
m0r_faithful_control,2,500,Case3004,COMPLETED,cuda,0.595,False
m0r_faithful_control,2,500,Case3018,COMPLETED,cuda,0.707,False
m0r_faithful_control,2,500,Case3022,COMPLETED,cuda,0.63,False
m0r_faithful_control,2,500,Case3033,COMPLETED,cuda,0.609,False
m0r_faithful_control,2,500,Case3034,COMPLETED,cuda,0.773,False
m0r_faithful_control,2,500,Case3038,COMPLETED,cuda,0.399,False
m0r_faithful_control,2,500,Case3039,COMPLETED,cuda,0.633,False
m0r_faithful_control,2,1000,Case2001,COMPLETED,cuda,4.688,False
m0r_faithful_control,2,1000,Case2010,COMPLETED,cuda,0.646,False
m0r_faithful_control,2,1000,Case2011,COMPLETED,cuda,0.971,False
m0r_faithful_control,2,1000,Case2012,COMPLETED,cuda,0.173,False
m0r_faithful_control,2,1000,Case2026,COMPLETED,cuda,0.382,False
m0r_faithful_control,2,1000,Case2029,COMPLETED,cuda,0.542,False
m0r_faithful_control,2,1000,Case3004,COMPLETED,cuda,0.596,False
m0r_faithful_control,2,1000,Case3018,COMPLETED,cuda,0.66,False
m0r_faithful_control,2,1000,Case3022,COMPLETED,cuda,0.605,False
m0r_faithful_control,2,1000,Case3033,COMPLETED,cuda,0.602,False
m0r_faithful_control,2,1000,Case3034,COMPLETED,cuda,0.774,False
m0r_faithful_control,2,1000,Case3038,COMPLETED,cuda,0.397,False
m0r_faithful_control,2,1000,Case3039,COMPLETED,cuda,0.623,False
m0r_faithful_control,2,1500,Case2001,COMPLETED,cuda,4.459,False
m0r_faithful_control,2,1500,Case2010,COMPLETED,cuda,0.675,False
m0r_faithful_control,2,1500,Case2011,COMPLETED,cuda,1.013,False
m0r_faithful_control,2,1500,Case2012,COMPLETED,cuda,0.174,False
m0r_faithful_control,2,1500,Case2026,COMPLETED,cuda,0.386,False
m0r_faithful_control,2,1500,Case2029,COMPLETED,cuda,0.563,False
m0r_faithful_control,2,1500,Case3004,COMPLETED,cuda,0.603,False
m0r_faithful_control,2,1500,Case3018,COMPLETED,cuda,0.688,False
m0r_faithful_control,2,1500,Case3022,COMPLETED,cuda,0.621,False
m0r_faithful_control,2,1500,Case3033,COMPLETED,cuda,0.602,False
m0r_faithful_control,2,1500,Case3034,COMPLETED,cuda,0.782,False
m0r_faithful_control,2,1500,Case3038,COMPLETED,cuda,0.393,False
m0r_faithful_control,2,1500,Case3039,COMPLETED,cuda,0.633,False
m0r_faithful_control,2,2000,Case2001,COMPLETED,cuda,4.549,False
m0r_faithful_control,2,2000,Case2010,COMPLETED,cuda,0.704,False
m0r_faithful_control,2,2000,Case2011,COMPLETED,cuda,1.073,False
m0r_faithful_control,2,2000,Case2012,COMPLETED,cuda,0.175,False
m0r_faithful_control,2,2000,Case2026,COMPLETED,cuda,0.41,False
m0r_faithful_control,2,2000,Case2029,COMPLETED,cuda,0.546,False
m0r_faithful_control,2,2000,Case3004,COMPLETED,cuda,0.602,False
m0r_faithful_control,2,2000,Case3018,COMPLETED,cuda,0.668,False
m0r_faithful_control,2,2000,Case3022,COMPLETED,cuda,0.633,False
m0r_faithful_control,2,2000,Case3033,COMPLETED,cuda,0.593,False
m0r_faithful_control,2,2000,Case3034,COMPLETED,cuda,0.763,False
m0r_faithful_control,2,2000,Case3038,COMPLETED,cuda,0.413,False
m0r_faithful_control,2,2000,Case3039,COMPLETED,cuda,0.63,False
m0r_faithful_control,2,2500,Case2001,COMPLETED,cuda,4.097,False
m0r_faithful_control,2,2500,Case2010,COMPLETED,cuda,0.667,False
m0r_faithful_control,2,2500,Case2011,COMPLETED,cuda,1.025,False
m0r_faithful_control,2,2500,Case2012,COMPLETED,cuda,0.174,False
m0r_faithful_control,2,2500,Case2026,COMPLETED,cuda,0.4,False
m0r_faithful_control,2,2500,Case2029,COMPLETED,cuda,0.566,False
m0r_faithful_control,2,2500,Case3004,COMPLETED,cuda,0.595,False
m0r_faithful_control,2,2500,Case3018,COMPLETED,cuda,0.678,False
m0r_faithful_control,2,2500,Case3022,COMPLETED,cuda,0.622,False
m0r_faithful_control,2,2500,Case3033,COMPLETED,cuda,0.593,False
m0r_faithful_control,2,2500,Case3034,COMPLETED,cuda,0.765,False
m0r_faithful_control,2,2500,Case3038,COMPLETED,cuda,0.401,False
m0r_faithful_control,2,2500,Case3039,COMPLETED,cuda,0.625,False
m0r_faithful_control,2,3000,Case2001,COMPLETED,cuda,4.445,False
m0r_faithful_control,2,3000,Case2010,COMPLETED,cuda,0.679,False
m0r_faithful_control,2,3000,Case2011,COMPLETED,cuda,1.023,False
m0r_faithful_control,2,3000,Case2012,COMPLETED,cuda,0.174,False
m0r_faithful_control,2,3000,Case2026,COMPLETED,cuda,0.394,False
m0r_faithful_control,2,3000,Case2029,COMPLETED,cuda,0.548,False
m0r_faithful_control,2,3000,Case3004,COMPLETED,cuda,0.6,False
m0r_faithful_control,2,3000,Case3018,COMPLETED,cuda,0.684,False
m0r_faithful_control,2,3000,Case3022,COMPLETED,cuda,0.619,False
