candidate_id,metric_name,anchor_dice,candidate_dice,dice_delta,anchor_hd95,candidate_hd95,hd95_delta,remote_fp_delta,component_delta,hard_subgroup,failure_class,eligible_for_repair_contract
m8_full_srr_context_arbitration_longrun__checkpoint_best__argmax,myops_edema,0.7113886254636737,0.7021683361008108,-0.009220289362862899,9.836891833042968,9.972839594190624,0.13594776114765672,0.20833333333333334,-0.16666666666666696,see m8_hard_subgroup_help_harm.csv,EDEMA_DICE_BELOW_ANCHOR,false
m8_full_srr_context_arbitration_longrun__checkpoint_best__argmax,myops_scar,0.5876342189580602,0.5903317441534507,0.00269752519539046,12.82730070603897,12.673007624022214,-0.15429308201675695,-0.12499999999999997,0.125,see m8_hard_subgroup_help_harm.csv,SCAR_GAIN_SMALL_NOT_ROUTE_RELEVANT,false
m8_full_srr_context_arbitration_longrun__checkpoint_best__pathology_aware,myops_edema,0.7113886254636737,0.7021683361008108,-0.009220289362862899,9.836891833042968,9.972839594190624,0.13594776114765672,0.20833333333333334,-0.16666666666666696,see m8_hard_subgroup_help_harm.csv,EDEMA_DICE_BELOW_ANCHOR,false
m8_full_srr_context_arbitration_longrun__checkpoint_best__pathology_aware,myops_scar,0.5876342189580602,0.5920180698180164,0.004383850859956184,12.82730070603897,12.667003084042761,-0.16029762199620912,-0.12499999999999997,-0.33333333333333304,see m8_hard_subgroup_help_harm.csv,SCAR_GAIN_SMALL_NOT_ROUTE_RELEVANT,diagnostic_only_scar_signal
m8_scar_precision_edema_safe_longrun__checkpoint_best__argmax,myops_edema,0.7113886254636737,0.7040252451611458,-0.007363380302527811,9.836891833042968,9.752586811404074,-0.08430502163889386,0.0,2.75,see m8_hard_subgroup_help_harm.csv,EDEMA_DICE_BELOW_ANCHOR,false
m8_scar_precision_edema_safe_longrun__checkpoint_best__argmax,myops_scar,0.5876342189580602,0.5905676456896255,0.0029334267315652696,12.82730070603897,12.712129934352973,-0.11517077168599776,-0.12499999999999997,-0.08333333333333304,see m8_hard_subgroup_help_harm.csv,SCAR_GAIN_SMALL_NOT_ROUTE_RELEVANT,diagnostic_only_scar_signal
m8_scar_precision_edema_safe_longrun__checkpoint_best__pathology_aware,myops_edema,0.7113886254636737,0.704096954604195,-0.007291670859478683,9.836891833042968,9.752586811404074,-0.08430502163889386,0.0,2.708333333333333,see m8_hard_subgroup_help_harm.csv,EDEMA_DICE_BELOW_ANCHOR,false
m8_scar_precision_edema_safe_longrun__checkpoint_best__pathology_aware,myops_scar,0.5876342189580602,0.5930138633809778,0.005379644422917607,12.82730070603897,12.638326076989138,-0.18897462904983264,-0.04166666666666663,-0.37499999999999956,see m8_hard_subgroup_help_harm.csv,SCAR_GAIN_SMALL_NOT_ROUTE_RELEVANT,diagnostic_only_scar_signal
m8_t2_centerC_edema_repair_longrun__checkpoint_best__argmax,myops_edema,0.7113886254636737,0.7035988472340897,-0.007789778229583932,9.836891833042968,9.74289205679936,-0.09399977624360822,0.3333333333333333,2.166666666666666,see m8_hard_subgroup_help_harm.csv,EDEMA_DICE_BELOW_ANCHOR,false
m8_t2_centerC_edema_repair_longrun__checkpoint_best__argmax,myops_scar,0.5876342189580602,0.5918421801499241,0.00420796119186384,12.82730070603897,12.561668004593605,-0.2656327014453659,0.0,0.4583333333333339,see m8_hard_subgroup_help_harm.csv,SCAR_GAIN_SMALL_NOT_ROUTE_RELEVANT,false
m8_t2_centerC_edema_repair_longrun__checkpoint_best__pathology_aware,myops_edema,0.7113886254636737,0.7024188616378466,-0.008969763825827037,9.836891833042968,16.018064414493427,6.1811725814504594,0.41666666666666663,2.291666666666666,see m8_hard_subgroup_help_harm.csv,EDEMA_DICE_BELOW_ANCHOR,false
m8_t2_centerC_edema_repair_longrun__checkpoint_best__pathology_aware,myops_scar,0.5876342189580602,0.591977372585911,0.00434315362785076,12.82730070603897,12.621894293445548,-0.20540641259342252,-0.08333333333333331,-0.125,see m8_hard_subgroup_help_harm.csv,SCAR_GAIN_SMALL_NOT_ROUTE_RELEVANT,diagnostic_only_scar_signal
