objective,oof_cases,pass_dice_guardrail,scar_delta_component_count_mean_improvement,scar_delta_dice_mean,scar_delta_hd95_mean_improvement,scar_delta_hd_mean_improvement,scar_delta_remote_fp_mean_improvement,scar_delta_small_fp_mean_improvement,threshold
0.04465826149525028,176,True,0.07386363636363669,2.8339973089042125e-05,,,0.005681818181818177,0.06249999999999978,0.7
0.047608378894181395,176,True,0.07954545454545414,3.7440665424215425e-05,,,0.005681818181818177,0.06818181818181812,0.75
0.05351180088387687,176,True,0.09090909090909083,5.5907649413988736e-05,,,0.005681818181818177,0.07954545454545436,0.8
0.05811521929431867,176,True,0.11363636363636331,-1.028475577646848e-05,,,0.005681818181818177,0.08522727272727271,0.85
0.07035851842221023,176,True,0.14204545454545414,-8.002252694594425e-06,,,0.005681818181818177,0.10795454545454541,0.9
0.09629094871519192,176,True,0.18181818181818166,-0.00011969366767339285,,,0.011363636363636354,0.13636363636363624,0.95
0.118020260631051,176,True,0.23295454545454497,-0.00010816009892755662,,,0.011363636363636354,0.17613636363636354,1.0
0.17944156558975438,176,True,0.32954545454545414,-7.968014024772874e-05,,,0.022727272727272707,0.24431818181818166,1.05
0.25018225561415974,176,True,0.44318181818181834,-0.00015053172912304902,,,0.03409090909090906,0.3352272727272727,1.1
0.32883762309285935,176,True,0.5795454545454541,-0.0002957283786253484,,,0.051136363636363646,0.40909090909090895,1.15
0.3923300049759155,176,True,0.6931818181818179,-0.0004734465550373379,,,0.0625,0.4829545454545454,1.2
0.46831061848989275,176,True,0.8238636363636362,-0.0004390772470543869,,,0.07954545454545453,0.5454545454545454,1.25
0.5624395254806893,176,True,0.9659090909090908,-0.0005258728766092124,,,0.09659090909090906,0.659090909090909,1.3
