class_id,component_count_mean,dice_mean,empty_prediction_rate,group,hd95_mean,hd_mean,metric_name,n,pred_gt_volume_ratio_mean,remote_fp_mean,small_fp_mean,variant
4,3.3181818181818183,0.7797948718832686,0.6363636363636364,all_cases,7.276922314931449,10.766868115413025,myops_edema,44,1.6121482631185355,0.045454545454545456,1.8636363636363635,baseline_nnunet501_fold0
4,9.125,0.3944358976789887,0.0,gt_positive_only,20.011536366061485,29.60888731738582,myops_edema,16,1.6121482631185355,0.125,5.125,baseline_nnunet501_fold0
4,9.125,0.3944358976789887,0.0,t2_present,20.011536366061485,29.60888731738582,myops_edema,16,1.6121482631185355,0.125,5.125,baseline_nnunet501_fold0
4,9.125,0.3944358976789887,0.0,complete_modality,20.011536366061485,29.60888731738582,myops_edema,16,1.6121482631185355,0.125,5.125,baseline_nnunet501_fold0
4,7.714285714285714,0.5029744773313501,0.0,CenterB,15.933514343740368,24.05449355554381,myops_edema,7,0.915974670131474,0.0,3.2857142857142856,baseline_nnunet501_fold0
4,10.222222222222221,0.3100170023938187,0.0,CenterC,23.18333127231124,33.92897135437405,myops_edema,9,2.1536166132195835,0.2222222222222222,6.555555555555555,baseline_nnunet501_fold0
4,0.0,1.0,1.0,C0+LGE,0.0,0.0,myops_edema,4,,0.0,0.0,baseline_nnunet501_fold0
4,0.0,1.0,1.0,LGE-only,0.0,0.0,myops_edema,24,,0.0,0.0,baseline_nnunet501_fold0
4,0.0,1.0,1.0,no_T2_empty_GT,0.0,0.0,myops_edema,28,,0.0,0.0,baseline_nnunet501_fold0
5,4.681818181818182,0.5601692281262312,0.022727272727272728,all_cases,13.600533414596173,25.970645720273883,myops_scar,44,1.1342902419246623,0.36363636363636365,2.5454545454545454,baseline_nnunet501_fold0
5,4.627906976744186,0.573196419478004,0.023255813953488372,gt_positive_only,13.600533414596173,25.970645720273883,myops_scar,43,1.1342902419246623,0.20930232558139536,2.4651162790697674,baseline_nnunet501_fold0
5,1.875,0.6933346102422654,0.0,t2_present,9.267223535037347,22.63552550065832,myops_scar,16,0.9503274991252523,0.1875,0.5625,baseline_nnunet501_fold0
