case_id,center,class_id,component_count,dice,gt_empty,hd,hd95,invalid_label_values,metric_name,modality_group,pred_empty,pred_gt_volume_ratio,remote_fp_count,small_fp_count,t2_present,variant
Case1002,CenterA,4,0,1.0,True,0.0,0.0,,myops_edema,LGE-only,True,,0,0,False,baseline_nnunet501_fold0
Case1002,CenterA,5,3,0.6167400881057269,False,10.808474590697703,4.323466070663145,,myops_scar,LGE-only,False,0.6513094083414162,0,1,False,baseline_nnunet501_fold0
Case1002,CenterA,4,0,1.0,True,0.0,0.0,,myops_edema,LGE-only,True,,0,0,False,oof_scar_component_score
Case1002,CenterA,5,1,0.6165148398471937,False,10.808474590697703,4.323466070663145,,myops_scar,LGE-only,False,0.6503394762366634,0,0,False,oof_scar_component_score
Case1007,CenterA,4,0,1.0,True,0.0,0.0,,myops_edema,LGE-only,True,,0,0,False,baseline_nnunet501_fold0
Case1007,CenterA,5,8,0.5810928013876843,False,26.01111444063762,6.836000084877014,,myops_scar,LGE-only,False,1.7572738142686328,0,6,False,baseline_nnunet501_fold0
Case1007,CenterA,4,0,1.0,True,0.0,0.0,,myops_edema,LGE-only,True,,0,0,False,oof_scar_component_score
Case1007,CenterA,5,5,0.581428984668788,False,23.11960525346862,6.775527594415115,,myops_scar,LGE-only,False,1.7556795536070147,0,3,False,oof_scar_component_score
Case1009,CenterA,4,0,1.0,True,0.0,0.0,,myops_edema,LGE-only,True,,0,0,False,baseline_nnunet501_fold0
Case1009,CenterA,5,1,0.6048804535370964,False,25.922696257213826,8.496820117260281,,myops_scar,LGE-only,False,0.9838630806845966,0,0,False,baseline_nnunet501_fold0
Case1009,CenterA,4,0,1.0,True,0.0,0.0,,myops_edema,LGE-only,True,,0,0,False,oof_scar_component_score
Case1009,CenterA,5,1,0.6048804535370964,False,25.922696257213826,8.496820117260281,,myops_scar,LGE-only,False,0.9838630806845966,0,0,False,oof_scar_component_score
Case1010,CenterA,4,0,1.0,True,0.0,0.0,,myops_edema,LGE-only,True,,0,0,False,baseline_nnunet501_fold0
Case1010,CenterA,5,7,0.48279378027020137,False,17.311862947437298,9.103254137198277,,myops_scar,LGE-only,False,0.9498011928429424,0,4,False,baseline_nnunet501_fold0
Case1010,CenterA,4,0,1.0,True,0.0,0.0,,myops_edema,LGE-only,True,,0,0,False,oof_scar_component_score
Case1010,CenterA,5,3,0.48328655269201326,False,17.311862947437298,9.103254137198277,,myops_scar,LGE-only,False,0.9478131212723658,0,0,False,oof_scar_component_score
Case1021,CenterA,4,0,1.0,True,0.0,0.0,,myops_edema,LGE-only,True,,0,0,False,baseline_nnunet501_fold0
Case1021,CenterA,5,4,0.5699192044748291,False,13.418997800884002,7.972077529615252,,myops_scar,LGE-only,False,0.8221970554926388,0,2,False,baseline_nnunet501_fold0
Case1021,CenterA,4,0,1.0,True,0.0,0.0,,myops_edema,LGE-only,True,,0,0,False,oof_scar_component_score
Case1021,CenterA,5,4,0.5699192044748291,False,13.418997800884002,7.972077529615252,,myops_scar,LGE-only,False,0.8221970554926388,0,2,False,oof_scar_component_score
Case1023,CenterA,4,0,1.0,True,0.0,0.0,,myops_edema,LGE-only,True,,0,0,False,baseline_nnunet501_fold0
Case1023,CenterA,5,5,0.6466011466011466,False,15.315952873720619,5.0,,myops_scar,LGE-only,False,1.0521008403361345,0,3,False,baseline_nnunet501_fold0
Case1023,CenterA,4,0,1.0,True,0.0,0.0,,myops_edema,LGE-only,True,,0,0,False,oof_scar_component_score
Case1023,CenterA,5,5,0.6466011466011466,False,15.315952873720619,5.0,,myops_scar,LGE-only,False,1.0521008403361345,0,3,False,oof_scar_component_score
Case1029,CenterA,4,0,1.0,True,0.0,0.0,,myops_edema,LGE-only,True,,0,0,False,baseline_nnunet501_fold0
Case1029,CenterA,5,12,0.16436865021770683,False,59.44398925192494,51.395270620488255,,myops_scar,LGE-only,False,8.422222222222222,4,11,False,baseline_nnunet501_fold0
