variant,class_id,metric_name,group,n,dice_mean,hd_mean,hd95_mean,component_count_mean,remote_fp_mean,empty_prediction_rate,source_path
srr_propref_shared_dual_dict__checkpoint_best__argmax,4,myops_edema,all_cases,44,0.014662945986901502,202.9577260783343,163.20697113740462,52.97727272727273,48.0,0.0,results/20260703_srr_formal_training/variants/srr_propref_shared_dual_dict/subgroup_metrics_checkpoint_best.csv
srr_propref_shared_dual_dict__checkpoint_best__argmax,4,myops_edema,gt_positive_only,16,0.04032310146397913,202.9577260783343,163.20697113740462,80.0,66.3125,0.0,results/20260703_srr_formal_training/variants/srr_propref_shared_dual_dict/subgroup_metrics_checkpoint_best.csv
srr_propref_shared_dual_dict__checkpoint_best__argmax,4,myops_edema,t2_present,16,0.04032310146397913,202.9577260783343,163.20697113740462,80.0,66.3125,0.0,results/20260703_srr_formal_training/variants/srr_propref_shared_dual_dict/subgroup_metrics_checkpoint_best.csv
srr_propref_shared_dual_dict__checkpoint_best__argmax,4,myops_edema,complete_modality,16,0.04032310146397913,202.9577260783343,163.20697113740462,80.0,66.3125,0.0,results/20260703_srr_formal_training/variants/srr_propref_shared_dual_dict/subgroup_metrics_checkpoint_best.csv
srr_propref_shared_dual_dict__checkpoint_best__argmax,4,myops_edema,CenterB,7,0.08650442696991928,207.48553072637938,158.44451098076928,44.714285714285715,28.857142857142858,0.0,results/20260703_srr_formal_training/variants/srr_propref_shared_dual_dict/subgroup_metrics_checkpoint_best.csv
srr_propref_shared_dual_dict__checkpoint_best__argmax,4,myops_edema,CenterC,9,0.004404292737136789,199.4361002409659,166.91110681478764,107.44444444444444,95.44444444444444,0.0,results/20260703_srr_formal_training/variants/srr_propref_shared_dual_dict/subgroup_metrics_checkpoint_best.csv
srr_propref_shared_dual_dict__checkpoint_best__argmax,4,myops_edema,C0+LGE,4,0.0,,,27.75,27.75,0.0,results/20260703_srr_formal_training/variants/srr_propref_shared_dual_dict/subgroup_metrics_checkpoint_best.csv
srr_propref_shared_dual_dict__checkpoint_best__argmax,4,myops_edema,LGE-only,24,0.0,,,39.166666666666664,39.166666666666664,0.0,results/20260703_srr_formal_training/variants/srr_propref_shared_dual_dict/subgroup_metrics_checkpoint_best.csv
srr_propref_shared_dual_dict__checkpoint_best__argmax,4,myops_edema,no_T2_empty_GT,28,0.0,,,37.535714285714285,37.535714285714285,0.0,results/20260703_srr_formal_training/variants/srr_propref_shared_dual_dict/subgroup_metrics_checkpoint_best.csv
srr_propref_shared_dual_dict__checkpoint_best__argmax,5,myops_scar,all_cases,44,0.1665337595497307,167.306480915144,130.7969840193123,20.136363636363637,16.227272727272727,0.0,results/20260703_srr_formal_training/variants/srr_propref_shared_dual_dict/subgroup_metrics_checkpoint_best.csv
