run_name,direction,arm,optimizer_step,target_optimizer_steps,loss,selection_score,selection_cases,checkpoint_path,checkpoint_sha256,elapsed_seconds,loss_dense,loss_query_mask,loss_center,loss_class,matched_queries,unmatched_queries,no_object_loss_nonzero
BC_QUERY_PREFLIGHT,BC,QUERY,200,200,2.2787320613861084,1.0246479986736237,7,/users/a/e/aereinh/.tmp/codex-CARE/20260731_care_qif_v2_signal_audit/query_runs/BC_QUERY_PREFLIGHT/checkpoints/checkpoint_step00200.pt,cc4acfc9e447d64b1731467871507ca4beb873a571cf19951105db765420e129,171,0.281840443611145,0.28338369727134705,0.04669230431318283,0.0031621663365513086,1,31,True
BC_DENSE,BC,DENSE,500,4000,0.5772064477205276,0.9278250234707975,7,/users/a/e/aereinh/.tmp/codex-CARE/20260731_care_qif_v2_signal_audit/query_runs/BC_DENSE/checkpoints/checkpoint_step00500.pt,e71bb609a49880aa07e4e84fe595bca70159e0ab7182e523d28bda8e765008f8,326,0.182974711060524,,,,,,
BC_DENSE,BC,DENSE,1000,4000,0.18420955911278725,0.8573827965746147,7,/users/a/e/aereinh/.tmp/codex-CARE/20260731_care_qif_v2_signal_audit/query_runs/BC_DENSE/checkpoints/checkpoint_step01000.pt,b6573a148bdaed970daf2c9b7baba1f52058fb99612ca24db39117a6a7430cd8,604,0.05026766657829285,,,,,,
BC_DENSE,BC,DENSE,1500,4000,0.09708857536315918,0.8619728137519382,7,/users/a/e/aereinh/.tmp/codex-CARE/20260731_care_qif_v2_signal_audit/query_runs/BC_DENSE/checkpoints/checkpoint_step01500.pt,8bbcaa496795d7cac1023337c5a458d1c329871169cdb43812a26e534f3e0469,880,0.022067032754421234,,,,,,
BC_DENSE,BC,DENSE,2000,4000,0.039073195308446884,0.9228720382898088,7,/users/a/e/aereinh/.tmp/codex-CARE/20260731_care_qif_v2_signal_audit/query_runs/BC_DENSE/checkpoints/checkpoint_step02000.pt,0cb2b08a5b62e1246e00fc5ed7f13806b8202380ac0d5485b4fdfe4afc49aff8,1164,0.01834356039762497,,,,,,
BC_DENSE,BC,DENSE,2500,4000,0.0058040437288582325,0.9181254900516294,7,/users/a/e/aereinh/.tmp/codex-CARE/20260731_care_qif_v2_signal_audit/query_runs/BC_DENSE/checkpoints/checkpoint_step02500.pt,8390fe8fd9888af5f4af37795435865c3c526ba40509cdcc1e6d84b664989c01,1445,0.0022043774370104074,,,,,,
BC_DENSE,BC,DENSE,3000,4000,0.0032705285993870348,0.9187457919777821,7,/users/a/e/aereinh/.tmp/codex-CARE/20260731_care_qif_v2_signal_audit/query_runs/BC_DENSE/checkpoints/checkpoint_step03000.pt,ba8b928211046dcc6189846e84201a3b3cc50be2b523a0e1faa505a9dd39fc92,1727,0.00028429055237211287,,,,,,
BC_DENSE,BC,DENSE,3500,4000,0.004556315019726753,0.8600444615671754,7,/users/a/e/aereinh/.tmp/codex-CARE/20260731_care_qif_v2_signal_audit/query_runs/BC_DENSE/checkpoints/checkpoint_step03500.pt,3af58d31a67628a1e663f3ba37d796cdbf2766fea43b5d0b7e9356073735d5f3,2006,0.0017535132355988026,,,,,,
BC_DENSE,BC,DENSE,4000,4000,0.0022519956410178565,0.8598498332683211,7,/users/a/e/aereinh/.tmp/codex-CARE/20260731_care_qif_v2_signal_audit/query_runs/BC_DENSE/checkpoints/checkpoint_step04000.pt,4e122b96ef06c6daaf54d37c871a431918c17f9552631802c44f78469dc5b318,2285,1.0848046258615796e-05,,,,,,
BC_QUERY,BC,QUERY,500,4000,1.2219588309526443,0.9070635434870705,7,/users/a/e/aereinh/.tmp/codex-CARE/20260731_care_qif_v2_signal_audit/query_runs/BC_QUERY/checkpoints/checkpoint_step00500.pt,6ce53daaabbe1664b53072a3325a85708917f89e9cbd0c6866a8f5527233b927,359,0.1892404556274414,0.20195595920085907,0.03263892978429794,0.0006125777726992965,1,31,True
