direction,arm,intervention,case_count,mean_dice,mean_hd95_mm,mean_hd_mm,mean_precision,mean_recall,pooled_lesion_recall,pooled_small_lesion_recall,mean_remote_fp_count_5mm,mean_remote_fp_volume_mm3_5mm,mean_blood_pool_adjacent_fp_count_5mm,mean_volume_ratio,query_precision,matched_query_recall,duplicate_query_rate,no_object_false_activation
BC,DENSE,query_enabled,45,0.5682731581023,29.13592987816842,79.66608087930246,0.6256373718506841,0.5856250836968007,0.9469696969696969,0.25,3.8,901.3274688709222,6.0,1.1985926615726432,,,,
BC,QUERY,query_enabled,45,0.5773903959752793,27.698475687152577,84.7608815101225,0.6079292006943363,0.6178652836869546,0.9640151515151515,0.75,4.488888888888889,749.1506698850843,7.4,1.2699906247970514,0.9777777777777777,0.9696969696969696,0.0,0.022222222222222223
CB,DENSE,query_enabled,35,0.6020641301450826,24.46249599686253,44.98882730864178,0.5908951864520571,0.66124323158824,0.9857142857142858,,0.2571428571428571,69.11260613751794,2.5714285714285716,1.192327368098256,,,,
CB,QUERY,query_enabled,35,0.5816436854495757,24.765068082320585,41.80411480110783,0.5861408350357263,0.6296845172783438,0.9857142857142858,,0.17142857142857143,10.895957779553205,3.085714285714286,1.1505938529216229,1.0,1.0,0.0,0.0
