direction,target,context,probe_model,feature_index,coefficient
CenterB->CenterC,scar,GT_CONTEXT,raw,0,1.267430002898373
CenterC->CenterB,scar,GT_CONTEXT,raw,0,2.2189476117048343
CenterB->CenterC,scar,GT_CONTEXT,rank_composite,0,2.444058606496646
CenterB->CenterC,scar,GT_CONTEXT,rank_composite,1,0.14884013243102848
CenterB->CenterC,scar,GT_CONTEXT,rank_composite,2,0.09840869171814005
CenterB->CenterC,scar,GT_CONTEXT,rank_composite,3,-1.4303219812233756
CenterB->CenterC,scar,GT_CONTEXT,rank_composite,4,0.2622051996262333
CenterB->CenterC,scar,GT_CONTEXT,rank_composite,5,0.1431148960880397
CenterB->CenterC,scar,GT_CONTEXT,rank_composite,6,-0.6776049033500113
CenterB->CenterC,scar,GT_CONTEXT,rank_composite,7,1.596384343818008
CenterC->CenterB,scar,GT_CONTEXT,rank_composite,0,0.7968631307422385
CenterC->CenterB,scar,GT_CONTEXT,rank_composite,1,1.536633973854765
CenterC->CenterB,scar,GT_CONTEXT,rank_composite,2,-1.4307925452003138
CenterC->CenterB,scar,GT_CONTEXT,rank_composite,3,0.24344661214016836
CenterC->CenterB,scar,GT_CONTEXT,rank_composite,4,0.5433008073421769
CenterC->CenterB,scar,GT_CONTEXT,rank_composite,5,1.161071288491103
CenterC->CenterB,scar,GT_CONTEXT,rank_composite,6,0.06770557946483073
CenterC->CenterB,scar,GT_CONTEXT,rank_composite,7,1.2756284875980055
CenterB->CenterC,scar,DEPLOYABLE_CONTEXT,raw,0,1.267430002898373
CenterC->CenterB,scar,DEPLOYABLE_CONTEXT,raw,0,2.2189476117048343
CenterB->CenterC,scar,DEPLOYABLE_CONTEXT,rank_composite,0,2.366084674582285
CenterB->CenterC,scar,DEPLOYABLE_CONTEXT,rank_composite,1,0.3286836359902762
CenterB->CenterC,scar,DEPLOYABLE_CONTEXT,rank_composite,2,0.018206763357356402
CenterB->CenterC,scar,DEPLOYABLE_CONTEXT,rank_composite,3,-1.4351398310928511
CenterB->CenterC,scar,DEPLOYABLE_CONTEXT,rank_composite,4,0.217043514801185
CenterB->CenterC,scar,DEPLOYABLE_CONTEXT,rank_composite,5,0.1826912841193307
CenterB->CenterC,scar,DEPLOYABLE_CONTEXT,rank_composite,6,-0.6918039738158375
CenterB->CenterC,scar,DEPLOYABLE_CONTEXT,rank_composite,7,1.3801442125688237
CenterC->CenterB,scar,DEPLOYABLE_CONTEXT,rank_composite,0,0.6657440195692872
CenterC->CenterB,scar,DEPLOYABLE_CONTEXT,rank_composite,1,1.6942640799977475
CenterC->CenterB,scar,DEPLOYABLE_CONTEXT,rank_composite,2,-1.4074508969728023
CenterC->CenterB,scar,DEPLOYABLE_CONTEXT,rank_composite,3,0.196523142588052
CenterC->CenterB,scar,DEPLOYABLE_CONTEXT,rank_composite,4,0.4623968636214332
CenterC->CenterB,scar,DEPLOYABLE_CONTEXT,rank_composite,5,1.0789036052563281
CenterC->CenterB,scar,DEPLOYABLE_CONTEXT,rank_composite,6,-0.08185396655812897
CenterC->CenterB,scar,DEPLOYABLE_CONTEXT,rank_composite,7,0.7246525965787839
CenterB->CenterC,injury,GT_CONTEXT,raw,0,1.2197526029874879
CenterC->CenterB,injury,GT_CONTEXT,raw,0,0.9130487227194278
CenterB->CenterC,injury,GT_CONTEXT,rank_composite,0,2.0476592154102553
CenterB->CenterC,injury,GT_CONTEXT,rank_composite,1,-0.609622249834689
CenterB->CenterC,injury,GT_CONTEXT,rank_composite,2,-0.09282299340361849
CenterB->CenterC,injury,GT_CONTEXT,rank_composite,3,-0.2768233866364679
CenterB->CenterC,injury,GT_CONTEXT,rank_composite,4,0.41795628281676495
CenterB->CenterC,injury,GT_CONTEXT,rank_composite,5,-0.06484038306742052
CenterB->CenterC,injury,GT_CONTEXT,rank_composite,6,0.5244625880137915
CenterC->CenterB,injury,GT_CONTEXT,rank_composite,0,0.8202409694746254
CenterC->CenterB,injury,GT_CONTEXT,rank_composite,1,0.7198345161953723
CenterC->CenterB,injury,GT_CONTEXT,rank_composite,2,-0.3099682478509759
CenterC->CenterB,injury,GT_CONTEXT,rank_composite,3,-0.2094410157790439
CenterC->CenterB,injury,GT_CONTEXT,rank_composite,4,0.7132507852001069
CenterC->CenterB,injury,GT_CONTEXT,rank_composite,5,-0.046818929570069535
CenterC->CenterB,injury,GT_CONTEXT,rank_composite,6,0.7047462769436149
CenterB->CenterC,injury,DEPLOYABLE_CONTEXT,raw,0,1.2197526029874879
CenterC->CenterB,injury,DEPLOYABLE_CONTEXT,raw,0,0.9130487227194278
CenterB->CenterC,injury,DEPLOYABLE_CONTEXT,rank_composite,0,2.2822237216840437
CenterB->CenterC,injury,DEPLOYABLE_CONTEXT,rank_composite,1,-0.7006626873479519
CenterB->CenterC,injury,DEPLOYABLE_CONTEXT,rank_composite,2,-0.02866847953282219
CenterB->CenterC,injury,DEPLOYABLE_CONTEXT,rank_composite,3,-0.42244098627918053
CenterB->CenterC,injury,DEPLOYABLE_CONTEXT,rank_composite,4,0.30058509689632656
CenterB->CenterC,injury,DEPLOYABLE_CONTEXT,rank_composite,5,-0.2110830734200895
CenterB->CenterC,injury,DEPLOYABLE_CONTEXT,rank_composite,6,0.14862563110840038
CenterC->CenterB,injury,DEPLOYABLE_CONTEXT,rank_composite,0,0.7699389219588202
CenterC->CenterB,injury,DEPLOYABLE_CONTEXT,rank_composite,1,0.8988867589098648
CenterC->CenterB,injury,DEPLOYABLE_CONTEXT,rank_composite,2,-0.4336493495052112
CenterC->CenterB,injury,DEPLOYABLE_CONTEXT,rank_composite,3,-0.2299687786998325
CenterC->CenterB,injury,DEPLOYABLE_CONTEXT,rank_composite,4,0.5834713488929867
CenterC->CenterB,injury,DEPLOYABLE_CONTEXT,rank_composite,5,-0.1995825687651703
CenterC->CenterB,injury,DEPLOYABLE_CONTEXT,rank_composite,6,0.15215773795643417
