direction,train_center,test_center,target,context,probe_model,train_cases,test_cases,macro_case_AUROC,macro_case_AUPRC,macro_case_AUPRC_lift,pooled_AUROC,pooled_AUPRC,pooled_AUPRC_lift,median_per_case_AUROC,q25_per_case_AUROC,coef_count,scaler_fit_center,threshold_fit_on_test_center,secondary_fold
CenterB->CenterC,CenterB,CenterC,scar,GT_CONTEXT,raw,35,45,0.9086826748836987,0.7955278845090503,3.839899893771208,0.868888127655104,0.7380486545477198,2.7769749347845396,0.9320620451461765,0.8784757591074486,1,CenterB,False,
CenterC->CenterB,CenterC,CenterB,scar,GT_CONTEXT,raw,45,35,0.8260570257445654,0.6075347011022957,2.3266124448548804,0.8013333205711445,0.5499722259573181,2.0462249565196053,0.8484369043259877,0.7929409272562944,1,CenterC,False,
CenterB->CenterC,CenterB,CenterC,scar,GT_CONTEXT,rank_composite,35,45,0.8059200246430819,0.6234453691823687,2.8268910585170244,0.7818823537467564,0.5487066724592192,2.064558571551141,0.862625319626033,0.7362063756342887,8,CenterB,False,
CenterC->CenterB,CenterC,CenterB,scar,GT_CONTEXT,rank_composite,45,35,0.8917162663215398,0.8021943170707758,3.161436058442771,0.8540638942503613,0.6917323559208546,2.573657255970601,0.9014788534227718,0.858390437550475,8,CenterC,False,
CenterB->CenterC,CenterB,CenterC,scar,DEPLOYABLE_CONTEXT,raw,35,45,0.9086826748836987,0.7955278845090503,3.839899893771208,0.868888127655104,0.7380486545477198,2.7769749347845396,0.9320620451461765,0.8784757591074486,1,CenterB,False,
CenterC->CenterB,CenterC,CenterB,scar,DEPLOYABLE_CONTEXT,raw,45,35,0.8260570257445654,0.6075347011022957,2.3266124448548804,0.8013333205711445,0.5499722259573181,2.0462249565196053,0.8484369043259877,0.7929409272562944,1,CenterC,False,
CenterB->CenterC,CenterB,CenterC,scar,DEPLOYABLE_CONTEXT,rank_composite,35,45,0.7962787392385365,0.6022210373142257,2.7122413903912563,0.7688424258034229,0.5280507120538398,1.9868386489604117,0.8456349787596746,0.7174978308120621,8,CenterB,False,
CenterC->CenterB,CenterC,CenterB,scar,DEPLOYABLE_CONTEXT,rank_composite,45,35,0.8980550314694623,0.8104672942067253,3.211275304993987,0.8717687162098098,0.7473623761142031,2.7806341363997475,0.9203110383536015,0.8735052826700733,8,CenterC,False,
CenterB->CenterC,CenterB,CenterC,injury,GT_CONTEXT,raw,35,45,0.7952787455187396,0.7541613925835121,2.2509624221003484,0.6931100726414139,0.6279925068878279,1.643611074912142,0.8152478888048291,0.7235750053393879,1,CenterB,False,
CenterC->CenterB,CenterC,CenterB,injury,GT_CONTEXT,raw,45,35,0.8116249188715836,0.8263447224607505,1.7575254585601812,0.7775078034627881,0.797351576846348,1.6369558023081405,0.8281748902496902,0.759618655111485,1,CenterC,False,
CenterB->CenterC,CenterB,CenterC,injury,GT_CONTEXT,rank_composite,35,45,0.8232038026036842,0.7480607753532524,2.174397575881842,0.7987252279234949,0.7264736774903993,1.9013605558332742,0.8490399970884741,0.7590610196671151,7,CenterB,False,
CenterC->CenterB,CenterC,CenterB,injury,GT_CONTEXT,rank_composite,45,35,0.8180425025907556,0.8182176190068667,1.7197948269151087,0.771567542780824,0.744953885420457,1.5293838008249199,0.8300588122568432,0.8024476767082402,7,CenterC,False,
CenterB->CenterC,CenterB,CenterC,injury,DEPLOYABLE_CONTEXT,raw,35,45,0.7952787455187396,0.7541613925835121,2.2509624221003484,0.6931100726414139,0.6279925068878279,1.643611074912142,0.8152478888048291,0.7235750053393879,1,CenterB,False,
CenterC->CenterB,CenterC,CenterB,injury,DEPLOYABLE_CONTEXT,raw,45,35,0.8116249188715836,0.8263447224607505,1.7575254585601812,0.7775078034627881,0.797351576846348,1.6369558023081405,0.8281748902496902,0.759618655111485,1,CenterC,False,
CenterB->CenterC,CenterB,CenterC,injury,DEPLOYABLE_CONTEXT,rank_composite,35,45,0.8070123939129356,0.7199494776151524,2.0851983308192663,0.7793127493813357,0.6922987008167771,1.8119162240465854,0.8324915652997881,0.7328574878376586,7,CenterB,False,
CenterC->CenterB,CenterC,CenterB,injury,DEPLOYABLE_CONTEXT,rank_composite,45,35,0.8118927181914376,0.8114188837558859,1.7148744601750954,0.7835774065248217,0.7797458737866623,1.6008114481560443,0.8286829048127999,0.7883959374157635,7,CenterC,False,
TRAIN->TEST,CenterB+CenterC,center_stratified_heldout,scar,DEPLOYABLE_CONTEXT,rank_composite,64,16,0.9488340246244833,0.900989885091262,3.4470242979374337,0.936201870588853,0.8802427802677973,3.112617180929274,0.959527104048225,0.9279176287180347,8,TRAIN,False,0
TRAIN->TEST,CenterB+CenterC,center_stratified_heldout,scar,DEPLOYABLE_CONTEXT,rank_composite,64,16,0.9038161271159258,0.8076526951788126,3.806182984969378,0.8893227189203328,0.779395248582357,3.1336866056328136,0.9477281284393041,0.8807566613035247,8,TRAIN,False,1
