direction,arm,case_id,gt_component_count,predicted_component_count,lesion_recall,small_lesion_recall
CB,DENSE,Case2035,1,1,1.0,
CB,QUERY,Case2001,1,1,1.0,
CB,QUERY,Case2002,2,2,1.0,
CB,QUERY,Case2003,1,2,1.0,
CB,QUERY,Case2004,1,2,1.0,
CB,QUERY,Case2005,1,1,1.0,
CB,QUERY,Case2006,1,2,1.0,
CB,QUERY,Case2007,1,2,1.0,
CB,QUERY,Case2008,1,2,1.0,
CB,QUERY,Case2009,1,3,1.0,
CB,QUERY,Case2010,1,2,1.0,
CB,QUERY,Case2011,1,1,1.0,
CB,QUERY,Case2012,1,6,1.0,
CB,QUERY,Case2013,1,3,1.0,
CB,QUERY,Case2014,1,1,1.0,
CB,QUERY,Case2015,1,1,1.0,
CB,QUERY,Case2016,1,3,1.0,
CB,QUERY,Case2017,1,2,1.0,
CB,QUERY,Case2018,1,1,1.0,
CB,QUERY,Case2019,1,2,1.0,
CB,QUERY,Case2020,1,3,1.0,
CB,QUERY,Case2021,1,1,1.0,
CB,QUERY,Case2022,1,1,1.0,
CB,QUERY,Case2023,1,1,1.0,
CB,QUERY,Case2024,1,2,1.0,
CB,QUERY,Case2025,1,1,1.0,
CB,QUERY,Case2026,1,1,1.0,
CB,QUERY,Case2027,1,1,1.0,
CB,QUERY,Case2028,1,2,1.0,
CB,QUERY,Case2029,1,1,1.0,
CB,QUERY,Case2030,1,1,1.0,
CB,QUERY,Case2031,1,2,1.0,
CB,QUERY,Case2032,2,1,0.5,
CB,QUERY,Case2033,1,2,1.0,
CB,QUERY,Case2034,1,2,1.0,
CB,QUERY,Case2035,1,2,1.0,
