target,direction,gt_macro_case_AUROC,deployable_macro_case_AUROC,deployable_minus_gt_AUROC,rank_minus_raw_AUROC
scar,CenterB->CenterC,0.8059200246430819,0.7962787392385365,-0.009641285404545341,-0.11240393564516216
scar,CenterC->CenterB,0.8917162663215398,0.8980550314694623,0.0063387651479225315,0.0719980057248969
injury,CenterB->CenterC,0.8232038026036842,0.8070123939129356,-0.016191408690748643,0.011733648394195995
injury,CenterC->CenterB,0.8180425025907556,0.8118927181914376,-0.006149784399318015,0.00026779931985398964
