direction,arm,intervention,case_id,dice,precision,recall,specificity,hd95_mm,hd_mm,surface_dice,lesion_recall,lesion_precision,predicted_component_count,gt_component_count,remote_fp_component_count_5mm,remote_fp_component_count_10mm,remote_fp_component_count_15mm,remote_fp_volume_mm3_5mm,remote_fp_volume_mm3_10mm,remote_fp_volume_mm3_15mm,prediction_volume_mm3,gt_volume_mm3,volume_ratio,empty_gt,empty_prediction,small_lesion_recall,small_lesion_hit_count,small_lesion_gt_count,blood_pool_adjacent_fp_count_5mm,blood_pool_adjacent_fp_volume_mm3_5mm,query_precision,matched_query_recall,duplicate_query_rate,no_object_false_activation,active_query_count
BC,DENSE,query_enabled,Case3001,0.4905467552376086,0.5111821086261981,0.4715127701375246,0.9988063722558264,91.24990984878971,122.50226922144785,0.6381812318606901,1.0,0.1111111111111111,18,2,12,12,12,1683.9121100274108,1683.9121100274108,1683.9121100274108,11978.738419058624,12986.534303090179,0.9223968565815325,False,False,,0,0,6,4171.5095452951755,,,,,
BC,DENSE,query_enabled,Case3002,0.2780811232449298,0.44368388301182327,0.20249928997443908,0.9990475693308801,87.78590265101691,104.56681768300861,0.3987129987129987,1.0,0.13333333333333333,15,1,12,12,9,3813.481456381851,3813.481456381851,3750.1345883356407,20359.68339005194,44608.864478141186,0.45640443055950014,False,False,,0,0,3,7284.889825314167,,,,,
BC,DENSE,query_enabled,Case3003,0.586552217453505,0.7118055555555556,0.49878345498783455,0.9998131093647971,86.0792811105544,94.10792761560931,0.8186440677966101,1.0,0.125,8,1,7,7,7,414.5997372917874,414.5997372917874,414.5997372917874,1836.9957590774582,2621.546031183456,0.7007299270072993,False,False,,0,0,2,114.81223494234114,,,,,
BC,DENSE,query_enabled,Case3004,0.40063091482649843,0.36940081442699246,0.4376292212267402,0.9987931270590042,60.000009536743164,60.141586004230646,0.5073825503355704,1.0,1.0,1,1,0,0,0,0.0,0.0,0.0,10964.57192253657,9255.144769982877,1.1847002067539627,False,False,,0,0,3,6761.16709592133,,,,,
BC,DENSE,query_enabled,Case3005,0.23573511037067887,0.1600226180378852,0.4474308300395257,0.9968321801872116,91.87397217054615,115.08547655434676,0.3556208670095518,0.5,0.03333333333333333,30,2,29,29,29,13973.60798215261,13973.60798215261,13973.60798215261,43241.16485815729,15465.104197220518,2.7960474308300394,False,False,,0,0,1,22347.99246839455,,,,,
BC,DENSE,query_enabled,Case3006,0.5338938518129269,0.4100080710250202,0.7650602409638554,0.9979148125328039,69.0,140.15794661737877,0.6822824938358577,1.0,0.25,4,1,2,2,2,116.4375,116.4375,116.4375,32059.125,17181.0,1.8659638554216869,False,False,,0,0,4,18746.4375,,,,,
BC,DENSE,query_enabled,Case3007,0.5460060667340748,0.7221396731054978,0.4389450867052023,0.9990110152800784,14.410674567968922,89.83228527394293,0.6756849905221437,1.0,0.2,10,1,5,5,5,1647.0185692014638,1647.0185692014638,1647.0185692014638,42632.44219509943,70137.65230076388,0.6078395953757225,False,False,,0,0,6,8539.157812629128,,,,,
BC,DENSE,query_enabled,Case3008,0.5275922310142842,0.5811636857595653,0.48306360557019196,0.9980493051308548,7.9328468395951255,78.91452121889401,0.6662064204349327,1.0,0.16666666666666666,6,1,1,1,1,36.67613339461006,36.67613339461006,36.67613339461006,53999.49373466422,64965.65761965262,0.8312006021829131,False,False,,0,0,5,22531.371282088785,,,,,
BC,DENSE,query_enabled,Case3009,0.5678048780487804,0.4762684124386252,0.7028985507246377,0.9992736599593703,91.18341587095567,136.1373297133349,0.7127293577981652,1.0,0.0625,16,1,13,13,13,1644.5792193229172,1644.5792193229172,1644.5792193229172,9093.555683314955,6161.590921264144,1.4758454106280192,False,False,,0,0,5,2805.4586682567415,,,,,
BC,DENSE,query_enabled,Case3010,0.18219958046149237,0.10305084745762712,0.7855297157622739,0.9968994210143323,46.567164585590035,104.64753531958311,0.29544449358690844,1.0,0.25,8,2,6,6,6,706.9458664178447,706.9458664178447,706.9458664178447,21952.52953613307,2879.8742137232202,7.622739018087855,False,False,,0,0,5,18961.032290870193,,,,,
BC,DENSE,query_enabled,Case3011,0.5173444976076556,0.6145648312611013,0.4466821585334366,0.9982119697501537,9.505866376464233,15.327748969587885,0.701582349008246,1.0,1.0,3,1,0,0,0,0.0,0.0,0.0,34414.44420979789,47348.89606555852,0.726826749289956,False,False,,0,0,6,13264.537111058868,,,,,
BC,DENSE,query_enabled,Case3012,0.6579378068739771,0.8392484342379958,0.5410497981157469,0.9997405447661365,8.9763145500236,17.329716910804198,0.8014787430683918,1.0,0.6666666666666666,3,1,0,0,0,0.0,0.0,0.0,10693.48496462759,16587.18022696931,0.6446837146702558,False,False,,0,0,7,1718.9944515163352,,,,,
BC,DENSE,query_enabled,Case3013,0.5900806692560502,0.7732967893500392,0.47705314009661837,0.9993682680725521,23.80377645150314,95.4409298590437,0.6985766758494031,0.6666666666666666,0.2857142857142857,7,3,4,4,4,1198.0871221732032,1198.0871221732032,1198.0871221732032,31223.6174492894,50613.068222418995,0.6169082125603864,False,False,,0,0,6,5709.251898519245,,,,,
BC,DENSE,query_enabled,Case3014,0.5872723552281564,0.7343909928352098,0.4892601431980907,0.9993851199016192,5.552406337318034,74.26466494137102,0.8237219843868043,1.0,0.3333333333333333,6,1,3,3,3,230.68756708660774,230.68756708660774,230.68756708660774,14540.758260878436,21826.02046016195,0.6662120695533583,False,False,,0,0,11,3452.8719718769685,,,,,
BC,DENSE,query_enabled,Case3015,0.6722689075630253,0.6666666666666666,0.6779661016949152,0.9986269850584971,3.6453333497047424,35.2675404525458,0.8190230256079191,0.5,1.0,1,2,0,0,0,0.0,0.0,0.0,27682.511821835604,27221.13662480501,1.0169491525423728,False,False,0.0,0,1,2,9212.620869739912,,,,,
BC,DENSE,query_enabled,Case3016,0.5318801089918256,0.5164021164021164,0.5483146067415731,0.9986563388025539,14.18527096618299,102.20948708949983,0.7866053841103086,1.0,0.42857142857142855,7,1,2,2,2,235.56745831847365,235.56745831847365,235.56745831847365,15352.499869721214,14458.968131271831,1.0617977528089888,False,False,,0,0,4,7188.868986615489,,,,,
BC,DENSE,query_enabled,Case3017,0.592794017675051,0.6705113417916186,0.5312214438014011,0.9990167406501443,7.88606178511161,19.630720865103715,0.7346107784431137,1.0,1.0,2,1,0,0,0,0.0,0.0,0.0,16590.367949168296,20940.475961983666,0.792263173926287,False,False,,0,0,6,5364.2827548060495,,,,,
BC,DENSE,query_enabled,Case3018,0.6874324032013844,0.5630758327427356,0.8822876179900055,0.9987096396095639,8.313779367880384,114.94035602076458,0.8405446293494705,1.0,0.1,10,1,8,8,8,1565.2779928843263,1565.2779928843263,1565.2779928843263,34509.48824937163,22023.950509255246,1.5669072737368128,False,False,,0,0,5,13353.77787679441,,,,,
BC,DENSE,query_enabled,Case3019,0.6222602739726028,0.6742115027829314,0.5777424483306837,0.9990457984156776,3.406509809472336,98.61831189819866,0.8354640151515151,0.5,0.16666666666666666,6,2,5,5,5,349.28963198872225,349.28963198872225,349.28963198872225,21891.52460952573,25546.881223361197,0.8569157392686805,False,False,,0,0,8,6668.995066575371,,,,,
BC,DENSE,query_enabled,Case3020,0.4600728495376856,0.7633658763365876,0.32925606577100464,0.9994125691731536,11.694629743594046,70.02456697505013,0.65155603525814,0.5,0.5,4,4,2,2,2,472.0059297862801,472.0059297862801,472.0059297862801,13720.06425635525,31809.372592488904,0.43132143573290554,False,False,0.5,1,2,8,2532.248028718287,,,,,
BC,DENSE,query_enabled,Case3021,0.6150490730643402,0.542158747596814,0.7105831533477321,0.9982794034164215,3.6453333497047424,10.51474904681548,0.8594659706886167,1.0,1.0,1,2,0,0,0,0.0,0.0,0.0,44512.60056325841,33962.09952340892,1.310655147588193,False,False,,0,0,14,20379.704789604995,,,,,
BC,DENSE,query_enabled,Case3022,0.7151675485008818,0.8016474464579901,0.6455293181215176,0.9992859726843039,40.52878484971316,83.57597506068379,0.8185302073940487,1.0,0.09090909090909091,11,1,6,6,6,1800.8516981797798,1800.8516981797798,1800.8516981797798,22585.061586676162,28047.148968758636,0.805253382860175,False,False,,0,0,7,2664.0698675552117,,,,,
