direction,train_center,test_center,case_id,target,context,probe_model,valid_voxels,positive_voxels,AUROC,AUPRC,prevalence,AUPRC_lift
CenterB->CenterC,CenterB,CenterC,Case3001,scar,GT_CONTEXT,raw,8908,2036,0.9068261399580542,0.7761827066829339,0.22855859901212394,3.395989956351461
CenterB->CenterC,CenterB,CenterC,Case3002,scar,GT_CONTEXT,raw,10358,3521,0.6812655897706803,0.45423262177072,0.3399304885112956,1.3362514900031577
CenterB->CenterC,CenterB,CenterC,Case3003,scar,GT_CONTEXT,raw,5734,411,0.9267609277646973,0.5540886959958279,0.07167771189396582,7.73027879036515
CenterB->CenterC,CenterB,CenterC,Case3004,scar,GT_CONTEXT,raw,11060,1451,0.9345049606391436,0.7001715293836945,0.13119349005424955,5.33693805305559
CenterB->CenterC,CenterB,CenterC,Case3005,scar,GT_CONTEXT,raw,11453,1265,0.9270898414161589,0.5734041528567881,0.11045141011088798,5.191460681951616
CenterB->CenterC,CenterB,CenterC,Case3006,scar,GT_CONTEXT,raw,10913,1328,0.9827535494089032,0.933268887599197,0.1216897278475213,7.669249525881052
CenterB->CenterC,CenterB,CenterC,Case3007,scar,GT_CONTEXT,raw,16914,5536,0.8611177437037503,0.7688789305720245,0.32730282606125105,2.349136241274426
CenterB->CenterC,CenterB,CenterC,Case3008,scar,GT_CONTEXT,raw,14943,5314,0.7932144432749315,0.6006652408532297,0.3556180151241384,1.6890742743827272
CenterB->CenterC,CenterB,CenterC,Case3009,scar,GT_CONTEXT,raw,12255,828,0.9624265818434092,0.7335961125352772,0.06756425948592411,10.857754056907998
CenterB->CenterC,CenterB,CenterC,Case3010,scar,GT_CONTEXT,raw,8053,387,0.9844870231385134,0.7414012994066845,0.04805662486030051,15.42766063080628
CenterB->CenterC,CenterB,CenterC,Case3011,scar,GT_CONTEXT,raw,9568,3873,0.7892639141740607,0.7718784732392975,0.4047867892976589,1.9068766413513034
CenterB->CenterC,CenterB,CenterC,Case3012,scar,GT_CONTEXT,raw,10676,2229,0.9376295751255699,0.8133752916845227,0.20878606219557888,3.8957355827832947
CenterB->CenterC,CenterB,CenterC,Case3013,scar,GT_CONTEXT,raw,13877,4140,0.9161394928156408,0.8444344483367766,0.2983353750810694,2.830487159316292
CenterB->CenterC,CenterB,CenterC,Case3014,scar,GT_CONTEXT,raw,11874,2933,0.8942314303263127,0.7376235493877678,0.24701027454943575,2.9862059411627526
CenterB->CenterC,CenterB,CenterC,Case3015,scar,GT_CONTEXT,raw,18808,3658,0.8966629134209211,0.7278050022929614,0.19449170565716717,3.7420876115708084
CenterB->CenterC,CenterB,CenterC,Case3016,scar,GT_CONTEXT,raw,8469,1780,0.9622860607974522,0.8906448154620324,0.21017829731963633,4.23756794502694
CenterB->CenterC,CenterB,CenterC,Case3017,scar,GT_CONTEXT,raw,15105,3283,0.9703917326215604,0.911742116337476,0.21734524991724594,4.194902426828381
CenterB->CenterC,CenterB,CenterC,Case3018,scar,GT_CONTEXT,raw,10826,1801,0.956352841834561,0.8180452582098224,0.16635876593386292,4.917355894158544
CenterB->CenterC,CenterB,CenterC,Case3019,scar,GT_CONTEXT,raw,15660,3145,0.9267358025695079,0.8220812295430074,0.2008301404853129,4.093415597660889
CenterB->CenterC,CenterB,CenterC,Case3020,scar,GT_CONTEXT,raw,14932,4987,0.8777958942622361,0.8166066960086397,0.3339807125636218,2.4450714226591153
CenterB->CenterC,CenterB,CenterC,Case3021,scar,GT_CONTEXT,raw,9312,2778,0.9740017492815451,0.9593820846868324,0.29832474226804123,3.2158984782591014
CenterB->CenterC,CenterB,CenterC,Case3022,scar,GT_CONTEXT,raw,14744,3769,0.8970744794332859,0.8702671974768237,0.25562940857297883,3.4044095408857227
CenterB->CenterC,CenterB,CenterC,Case3023,scar,GT_CONTEXT,raw,12015,2535,0.9296191296532096,0.8184584152061046,0.21098626716604243,3.879202311124792
CenterB->CenterC,CenterB,CenterC,Case3024,scar,GT_CONTEXT,raw,9536,2648,0.9838421432606644,0.9495382950622461,0.27768456375838924,3.4194853405262764
CenterB->CenterC,CenterB,CenterC,Case3025,scar,GT_CONTEXT,raw,13561,6661,0.8218984615183775,0.8333390359269182,0.4911879654892707,1.6965786918187866
CenterB->CenterC,CenterB,CenterC,Case3026,scar,GT_CONTEXT,raw,10763,3348,0.9748352293737628,0.9436718417039426,0.311065688005203,3.033673844760912
CenterB->CenterC,CenterB,CenterC,Case3027,scar,GT_CONTEXT,raw,13038,670,0.8787023807225194,0.2594724692953016,0.05138824973155392,5.049256798018122
CenterB->CenterC,CenterB,CenterC,Case3028,scar,GT_CONTEXT,raw,12658,4486,0.936006107214723,0.8722751781503753,0.3544003792068257,2.4612704424938587
CenterB->CenterC,CenterB,CenterC,Case3029,scar,GT_CONTEXT,raw,7053,1847,0.9724217673123408,0.94187785910599,0.261874379696583,3.5966781484973187
CenterB->CenterC,CenterB,CenterC,Case3030,scar,GT_CONTEXT,raw,14300,8144,0.8456333451575346,0.8856464821102754,0.5695104895104895,1.5551012640197615
CenterB->CenterC,CenterB,CenterC,Case3031,scar,GT_CONTEXT,raw,13942,3089,0.9427198581878666,0.9028756219593786,0.22156075168555445,4.075070223812773
CenterB->CenterC,CenterB,CenterC,Case3032,scar,GT_CONTEXT,raw,11270,0,,,0.0,
CenterB->CenterC,CenterB,CenterC,Case3033,scar,GT_CONTEXT,raw,15060,4946,0.916067265842265,0.8369858876820222,0.32841965471447543,2.5485255698526594
CenterB->CenterC,CenterB,CenterC,Case3034,scar,GT_CONTEXT,raw,15027,3456,0.9738258731519092,0.9114753406071914,0.2299860251547215,3.9631770669283175
CenterB->CenterC,CenterB,CenterC,Case3035,scar,GT_CONTEXT,raw,11622,885,0.8083673910744251,0.20584794761460845,0.07614868353123387,2.703237115454214
CenterB->CenterC,CenterB,CenterC,Case3036,scar,GT_CONTEXT,raw,11465,3566,0.9749232759607999,0.9579162092732696,0.31103358046227647,3.079783886516555
CenterB->CenterC,CenterB,CenterC,Case3037,scar,GT_CONTEXT,raw,8240,2569,0.9896823341443588,0.973314357369358,0.3117718446601942,3.1218802276074387
CenterB->CenterC,CenterB,CenterC,Case3038,scar,GT_CONTEXT,raw,14892,6614,0.6651747890236711,0.6603184373169213,0.4441310770883696,1.4867647669373438
CenterB->CenterC,CenterB,CenterC,Case3039,scar,GT_CONTEXT,raw,12504,3988,0.973301568632624,0.9522707369896959,0.31893793985924507,2.985755590601594
CenterB->CenterC,CenterB,CenterC,Case3040,scar,GT_CONTEXT,raw,13683,3650,0.9655883802629405,0.9350838673023373,0.26675436673244174,3.505411659259693
CenterB->CenterC,CenterB,CenterC,Case3041,scar,GT_CONTEXT,raw,15717,3743,0.9573349568824893,0.9140745455795581,0.23814977412992303,3.8382339387854434
CenterB->CenterC,CenterB,CenterC,Case3042,scar,GT_CONTEXT,raw,14279,6372,0.9691995999317553,0.9591480671320727,0.446249737376567,2.1493526758598347
CenterB->CenterC,CenterB,CenterC,Case3043,scar,GT_CONTEXT,raw,13114,3554,0.7292640386340573,0.681435882722208,0.27100808296477047,2.514448555435857
CenterB->CenterC,CenterB,CenterC,Case3044,scar,GT_CONTEXT,raw,16278,7601,0.868959121235587,0.8678196072136578,0.466949256665438,1.8584880366035945
