rank,user,time,Dice,HD,PRE,SEN,score
1,ZQH,2026-05-06 12:52:15,0.8536,8.6853,0.8575,0.8591,0.8536
2,Sheffield_Heart,2026-08-01 19:35:29,0.736,21.7755,0.7852,0.7186,0.736
3,ZQH,2026-06-09 16:51:25,0.7324,20.4347,0.7826,0.7229,0.7324
4,ZQH,2026-07-12 23:29:35,0.7322,19.7994,0.7887,0.7199,0.7322
5,MaJin,2026-07-28 19:17:46,0.7258,23.8508,0.7538,0.7395,0.7258
6,MaJin,2026-07-29 15:23:38,0.7257,23.8508,0.7544,0.7387,0.7257
7,Monster,2026-07-14 12:08:38,0.7217,21.5463,0.7174,0.7603,0.7217
8,Sheffield_Heart,2026-07-23 09:04:08,0.7215,22.5339,0.7687,0.7064,0.7215
9,Monster,2026-07-24 09:31:17,0.7206,25.3018,0.714,0.762,0.7206
10,Monster,2026-07-11 20:31:08,0.7204,21.9255,0.7138,0.7619,0.7204
11,Sheffield_Heart,2026-07-23 09:03:53,0.7184,23.5763,0.7582,0.7128,0.7184
12,ZQH,2026-06-25 15:45:23,0.7168,20.2337,0.7425,0.7484,0.7168
13,MaJin,2026-07-30 20:54:13,0.7167,21.3517,0.7402,0.742,0.7167
14,Monster,2026-06-23 15:01:55,0.7163,21.6432,0.7144,0.7471,0.7163
15,Monster,2026-06-24 23:55:07,0.7151,21.6432,0.7124,0.7472,0.7151
16,MaJin,2026-07-29 15:59:21,0.7129,20.8433,0.737,0.7384,0.7129
17,MaJin,2026-07-29 15:59:42,0.7129,20.8433,0.737,0.7384,0.7129
18,Sheffield_Heart,2026-07-18 01:08:44,0.7114,24.6787,0.7395,0.7209,0.7114
19,HeartMan,2026-07-14 16:53:01,0.7109,28.2391,0.7919,0.669,0.7109
20,HeartMan,2026-07-14 22:42:15,0.7105,28.2074,0.7923,0.6679,0.7105
21,MaJin,2026-07-29 15:16:59,0.7085,24.3908,0.7272,0.7515,0.7085
22,MaJin,2026-07-29 15:11:58,0.7084,24.4084,0.7275,0.7509,0.7084
23,MaJin,2026-07-09 21:24:43,0.7079,23.6266,0.736,0.7218,0.7079
24,MaJin,2026-07-14 15:41:42,0.7078,23.6496,0.736,0.7218,0.7078
25,ZQH,2026-05-21 11:51:24,0.7058,23.6721,0.7228,0.7479,0.7058
26,ZQH,2026-05-22 21:35:53,0.7058,23.6721,0.7228,0.7479,0.7058
27,MaJin,2026-07-05 21:29:50,0.7004,33.5283,0.7507,0.6966,0.7004
28,MaJin,2026-07-11 14:14:57,0.7,21.6713,0.6689,0.7938,0.7
29,MaJin,2026-07-11 13:59:56,0.6993,22.7773,0.7155,0.7326,0.6993
30,HeartMan,2026-07-09 14:02:05,0.6974,29.1286,0.768,0.6661,0.6974
31,HeartMan,2026-07-09 14:04:26,0.6974,29.1286,0.768,0.6661,0.6974
32,MaJin,2026-06-30 19:44:40,0.6973,24.7829,0.6872,0.7473,0.6973
33,HeartMan,2026-07-14 16:44:04,0.6952,34.8896,0.7723,0.6591,0.6952
34,MaJin,2026-07-10 11:14:17,0.6946,23.987,0.6785,0.7634,0.6946
35,MaJin,2026-07-14 09:52:30,0.6939,23.6316,0.6785,0.7493,0.6939
36,MaJin,2026-07-09 18:55:31,0.6938,24.2848,0.72,0.6991,0.6938
37,MaJin,2026-07-10 17:44:49,0.6935,23.345,0.6867,0.7478,0.6935
38,MaJin,2026-07-10 10:58:39,0.6916,23.5458,0.6898,0.7428,0.6916
39,MaJin,2026-07-10 12:40:41,0.691,23.9241,0.6769,0.7567,0.691
40,MatU(SP+A),2026-07-27 23:21:25,0.6907,25.1816,0.6706,0.7504,0.6907
41,Monster,2026-07-03 11:35:49,0.6897,23.7781,0.6796,0.7402,0.6897
42,MaJin,2026-07-06 14:09:23,0.6895,29.2835,0.7318,0.695,0.6895
43,MatU(SP+A),2026-07-26 09:27:06,0.6894,25.1579,0.6672,0.7527,0.6894
44,MaJin,2026-07-10 13:47:36,0.6888,23.707,0.6833,0.746,0.6888
45,CTest,2026-06-03 16:46:42,0.6884,27.2799,0.6683,0.7539,0.6884
46,Monster,2026-06-04 10:55:31,0.6884,27.2799,0.6683,0.7539,0.6884
47,MaJin,2026-07-10 18:46:42,0.6871,25.0749,0.6952,0.7136,0.6871
48,MaJin,2026-07-02 18:58:26,0.687,31.8642,0.7203,0.7,0.687
49,MaJin,2026-07-10 16:06:40,0.687,23.2558,0.6726,0.7515,0.687
50,MaJin,2026-07-10 11:23:44,0.6863,23.5527,0.6679,0.7631,0.6863
51,MaJin,2026-07-29 16:08:38,0.6832,22.1521,0.7062,0.7476,0.6832
52,HeartMan,2026-07-08 15:04:22,0.6826,44.1125,0.7384,0.6879,0.6826
53,MatU(SP+A),2026-07-26 09:26:49,0.6825,24.1455,0.6546,0.7561,0.6825
54,MaJin,2026-07-10 10:28:13,0.681,30.575,0.6655,0.7479,0.681
55,MaJin,2026-07-29 15:53:12,0.6809,22.1672,0.7043,0.7431,0.6809
56,MatU(SP+A),2026-07-26 09:26:33,0.6799,20.405,0.6667,0.7291,0.6799
57,Sheffield_Heart,2026-07-20 20:53:15,0.6794,23.1368,0.6743,0.7355,0.6794
58,Monster,2026-06-10 23:01:18,0.679,22.1213,0.6379,0.8,0.679
59,MaJin,2026-07-02 19:16:19,0.6786,32.6514,0.7105,0.7165,0.6786
60,Monster,2026-06-23 17:11:50,0.6783,24.8712,0.6738,0.7148,0.6783
61,MaJin,2026-07-09 21:05:16,0.676,23.9627,0.6646,0.7458,0.676
62,ZQH,2026-05-14 21:21:49,0.6706,29.5921,0.6711,0.7215,0.6706
63,ZQH,2026-05-15 13:18:02,0.6706,29.5921,0.6711,0.7215,0.6706
64,Monster,2026-06-09 13:55:04,0.6693,22.628,0.6132,0.8226,0.6693
65,Monster,2026-06-10 23:01:50,0.6693,22.628,0.6131,0.8225,0.6693
66,HeartMan,2026-06-28 17:27:21,0.6692,29.9446,0.7353,0.652,0.6692
67,OrganAgent,2026-05-21 00:23:31,0.6691,21.0898,0.6698,0.7351,0.6691
68,MaJin,2026-07-06 14:14:46,0.6684,34.1105,0.6886,0.702,0.6684
69,MatU(SP+A),2026-07-26 09:10:33,0.6674,24.6573,0.6178,0.7615,0.6674
70,MatU(SP+A),2026-07-26 09:24:02,0.6674,24.6573,0.6178,0.7615,0.6674
71,MatU(SP+A),2026-07-27 10:08:22,0.6674,24.6573,0.6178,0.7615,0.6674
72,Sheffield_Heart,2026-06-06 09:00:32,0.6653,22.305,0.6481,0.7172,0.6653
73,Sheffield_Heart,2026-06-09 23:56:36,0.6653,22.305,0.6481,0.7172,0.6653
74,MaJin,2026-07-04 13:34:15,0.6612,29.3768,0.7012,0.6885,0.6612
75,MaJin,2026-07-15 11:20:09,0.6611,23.2258,0.6243,0.7898,0.6611
76,OrganAgent,2026-07-28 16:08:05,0.6607,21.2882,0.6569,0.7307,0.6607
77,MaJin,2026-07-15 10:07:55,0.6578,23.2051,0.6457,0.7532,0.6578
78,MaJin,2026-07-15 10:10:43,0.6578,23.2051,0.6457,0.7532,0.6578
79,MatU(SP+A),2026-07-27 23:14:33,0.6571,28.6593,0.6383,0.7054,0.6571
80,MaJin,2026-07-15 15:13:28,0.6541,23.733,0.6196,0.7928,0.6541
81,Sheffield_Heart,2026-06-02 03:25:36,0.6515,24.6326,0.6446,0.6877,0.6515
82,Sheffield_Heart,2026-07-06 10:35:30,0.6506,26.804,0.6862,0.6616,0.6506
83,Sheffield_Heart,2026-07-01 06:16:21,0.6505,25.4362,0.655,0.6733,0.6505
84,OrganAgent,2026-05-18 15:45:41,0.6496,22.0125,0.6392,0.7256,0.6496
85,MatU(SP+A),2026-07-26 09:25:25,0.647,25.7111,0.5945,0.7543,0.647
86,Sheffield_Heart,2026-06-26 00:35:18,0.646,26.3995,0.6239,0.7225,0.646
87,Sheffield_Heart,2026-07-06 10:35:41,0.64,26.8717,0.7364,0.6047,0.64
88,Sheffield_Heart,2026-07-01 06:16:07,0.6391,25.7066,0.6284,0.685,0.6391
89,MaJin,2026-07-24 15:21:34,0.6345,26.5179,0.6293,0.7101,0.6345
90,MatU(SP+A),2026-07-26 09:25:54,0.632,26.9968,0.5894,0.7316,0.632
91,zxz,2026-05-19 11:21:39,0.6303,24.1845,0.6255,0.6771,0.6303
92,NCC1H,2026-05-25 18:53:38,0.6281,27.296,0.6143,0.7223,0.6281
93,NCC1H,2026-05-26 23:40:29,0.6281,27.296,0.6143,0.7223,0.6281
94,OrganAgent,2026-06-10 04:46:23,0.6255,30.2965,0.7557,0.576,0.6255
95,MaJin,2026-07-01 23:33:31,0.6184,30.7881,0.6438,0.6861,0.6184
96,zxz,2026-05-17 02:26:55,0.6022,21.8306,0.5836,0.7034,0.6022
97,OrganAgent,2026-07-06 09:13:49,0.5983,26.7067,0.738,0.5748,0.5983
98,OrganAgent,2026-07-08 19:08:16,0.5963,25.2403,0.7775,0.5639,0.5963
99,MaJin,2026-07-25 13:29:43,0.5962,29.9542,0.5884,0.6719,0.5962
100,Sheffield_Heart,2026-07-03 05:54:52,0.5923,25.5282,0.6043,0.6429,0.5923
101,OrganAgent,2026-06-03 23:04:15,0.5897,32.6491,0.7885,0.526,0.5897
102,Sheffield_Heart,2026-07-11 06:41:05,0.5881,25.0935,0.5522,0.6857,0.5881
103,OrganAgent,2026-06-27 22:35:12,0.5676,24.9973,0.5844,0.6346,0.5676
104,MaJin,2026-07-21 14:14:05,0.5668,33.3904,0.5825,0.6756,0.5668
105,MaJin,2026-07-21 10:00:45,0.5668,33.5395,0.5825,0.6754,0.5668
106,jlu_guan,2026-07-09 22:43:01,0.5648,46.4694,0.6044,0.5657,0.5648
107,OrganAgent,2026-06-23 12:20:22,0.5532,23.5024,0.6096,0.5564,0.5532
108,Sheffield_Heart,2026-07-03 05:54:46,0.5311,26.8317,0.5214,0.6112,0.5311
109,MaJin,2026-06-23 14:34:10,0.5191,32.1489,0.5296,0.5466,0.5191
