rank,user,time,Dice,HD,score
1,Xiaohan Yuan,2026-08-01 03:59:13,0.4747,34.3491,0.4747
2,NCC1H,2026-07-29 21:38:51,0.2645,35.9752,0.2645
3,NCC1H,2026-07-30 23:22:10,0.2645,35.9752,0.2645
4,NCC1H,2026-07-06 19:43:32,0.2634,40.1938,0.2634
5,NCC1H,2026-05-14 16:16:23,0.2594,38.1004,0.2594
6,NCC1H,2026-05-13 17:44:57,0.256,40.1528,0.256
7,NCC1H,2026-06-30 18:46:00,0.2533,40.0949,0.2533
8,NCC1H,2026-05-28 23:08:34,0.2533,40.1827,0.2533
9,NCC1H,2026-06-29 19:47:36,0.2513,43.6069,0.2513
10,NCC1H,2026-07-27 23:44:16,0.2505,42.1249,0.2505
11,NCC1H,2026-05-16 19:08:10,0.2504,37.7931,0.2504
12,NCC1H,2026-07-29 21:38:58,0.2499,42.7794,0.2499
13,NCC1H,2026-07-21 22:38:32,0.2477,44.1491,0.2477
14,NCC1H,2026-07-22 16:47:56,0.2477,44.1491,0.2477
15,NCC1H,2026-05-19 20:35:35,0.2468,44.1389,0.2468
16,NCC1H,2026-05-11 13:31:47,0.2464,38.5015,0.2464
17,NCC1H,2026-05-20 23:44:06,0.2442,41.2517,0.2442
18,ZQH,2026-07-13 09:25:57,0.2336,45.9945,0.2336
19,NCC1H,2026-05-26 23:41:03,0.2329,44.7131,0.2329
20,NCC1H,2026-07-13 00:35:19,0.2327,40.1337,0.2327
21,Che Jiang,2026-07-01 13:04:07,0.2285,59.2404,0.2285
22,NCC1H,2026-05-09 15:07:40,0.2285,43.2678,0.2285
23,NCC1H,2026-05-19 20:27:42,0.2253,43.3194,0.2253
24,NCC1H,2026-06-26 13:44:42,0.225,40.5612,0.225
25,ZQH,2026-07-19 21:16:50,0.2215,45.8334,0.2215
26,NCC1H,2026-07-24 22:11:59,0.2185,44.5787,0.2185
27,Che Jiang,2026-07-05 12:59:42,0.2091,44.035,0.2091
28,OrganAgent,2026-06-27 22:35:12,0.2069,48.7463,0.2069
29,OrganAgent,2026-07-08 19:08:16,0.2058,46.6586,0.2058
30,OrganAgent,2026-06-23 12:20:22,0.2053,49.0281,0.2053
31,OrganAgent,2026-06-10 04:46:23,0.1996,49.3764,0.1996
32,ZQH,2026-07-19 11:21:22,0.1989,48.0808,0.1989
33,ZQH,2026-07-19 16:26:14,0.1976,48.0681,0.1976
34,Che Jiang,2026-06-29 13:32:21,0.1976,45.6752,0.1976
35,Che Jiang,2026-07-06 12:23:09,0.1927,42.4826,0.1927
36,Che Jiang,2026-06-23 13:21:36,0.1883,46.0881,0.1883
37,Che Jiang,2026-07-02 22:07:24,0.1882,46.4325,0.1882
38,OrganAgent,2026-07-06 09:13:49,0.1878,48.8241,0.1878
39,Che Jiang,2026-06-26 12:39:54,0.1867,57.8885,0.1867
40,Che Jiang,2026-07-08 17:31:30,0.1863,65.7082,0.1863
41,OrganAgent,2026-05-21 00:23:31,0.1816,52.9706,0.1816
42,OrganAgent,2026-07-28 16:08:05,0.1816,52.9706,0.1816
43,OrganAgent,2026-05-18 15:45:41,0.1748,75.213,0.1748
44,ZQH,2026-06-09 16:51:25,0.17,51.3801,0.17
45,ZQH,2026-05-14 21:21:49,0.1683,46.236,0.1683
46,ZQH,2026-05-15 13:18:02,0.1683,46.236,0.1683
47,ZQH,2026-05-21 11:51:24,0.1683,46.236,0.1683
48,ZQH,2026-05-22 21:35:53,0.1683,46.236,0.1683
49,Monster,2026-07-23 15:59:48,0.1669,55.9714,0.1669
50,OrganAgent,2026-06-03 23:04:15,0.1596,49.9538,0.1596
51,Xiaohan Yuan,2026-07-29 02:06:03,0.1571,49.6355,0.1571
52,Xiaohan Yuan,2026-07-24 03:50:06,0.156,49.8802,0.156
53,Xiaohan Yuan,2026-07-27 15:48:45,0.156,49.8802,0.156
54,Xiaohan Yuan,2026-07-28 03:01:40,0.1448,49.7322,0.1448
55,Xiaohan Yuan,2026-07-28 02:13:34,0.1444,47.9305,0.1444
56,Xiaohan Yuan,2026-07-05 02:07:24,0.1246,52.9475,0.1246
57,Che Jiang,2026-06-10 16:50:33,0.1231,45.7709,0.1231
58,Che Jiang,2026-06-10 17:11:19,0.1231,45.7709,0.1231
59,Xiaohan Yuan,2026-07-07 02:59:47,0.1172,52.6094,0.1172
60,Xiaohan Yuan,2026-07-07 16:25:34,0.1172,52.6094,0.1172
61,Xiaohan Yuan,2026-07-22 04:01:27,0.1109,53.7885,0.1109
62,Che Jiang,2026-06-15 12:16:55,0.1035,45.2035,0.1035
63,ZQH,2026-05-06 12:52:15,0.1016,52.2139,0.1016
64,Sheffield_Heart,2026-06-02 03:25:36,0.0492,64.3442,0.0492
65,Sheffield_Heart,2026-06-06 09:00:32,0.0452,68.024,0.0452
66,HeartMan,2026-07-08 15:04:22,0.0432,201.0151,0.0432
67,HeartMan,2026-07-09 14:02:05,0.0432,201.0151,0.0432
68,HeartMan,2026-07-09 14:04:26,0.0432,201.0151,0.0432
69,HeartMan,2026-07-14 16:44:04,0.0432,201.0151,0.0432
70,HeartMan,2026-07-14 16:53:01,0.0432,201.0151,0.0432
71,HeartMan,2026-07-14 22:42:15,0.0432,201.0151,0.0432
72,HeartMan,2026-06-28 17:27:21,0.0361,188.8398,0.0361
73,TANUH,2026-06-23 17:59:22,0.0013,122.325,0.0013
74,TANUH,2026-06-23 19:24:38,0.0013,122.325,0.0013
