rank,user,time,Dice,HD,PRE,SEN,score
1,ZQH,2026-05-06 12:52:15,0.839,6.2775,0.8252,0.8563,0.839
2,Monster,2026-07-11 20:31:08,0.7323,14.7812,0.7148,0.7694,0.7323
3,Monster,2026-07-24 09:31:17,0.7323,14.7812,0.7148,0.7694,0.7323
4,Monster,2026-07-14 12:08:38,0.7322,14.7812,0.7147,0.7693,0.7322
5,Monster,2026-06-23 15:01:55,0.7239,15.3081,0.7195,0.7451,0.7239
6,Monster,2026-06-24 23:55:07,0.7237,15.3081,0.7192,0.7451,0.7237
7,ZQH,2026-07-12 23:29:35,0.72,12.5062,0.7247,0.7472,0.72
8,ZQH,2026-06-09 16:51:25,0.714,13.9073,0.7174,0.7373,0.714
9,Sheffield_Heart,2026-06-06 09:00:32,0.7087,16.1831,0.6869,0.7546,0.7087
10,Sheffield_Heart,2026-06-09 23:56:36,0.7087,16.1831,0.6869,0.7546,0.7087
11,CTest,2026-06-03 16:46:42,0.7068,16.1211,0.6757,0.7669,0.7068
12,Monster,2026-06-04 10:55:31,0.7068,16.1211,0.6757,0.7669,0.7068
13,MaJin,2026-07-28 19:17:46,0.705,19.8936,0.6909,0.7494,0.705
14,MaJin,2026-07-29 15:23:38,0.705,19.8936,0.6914,0.7486,0.705
15,Sheffield_Heart,2026-07-23 09:04:08,0.7021,17.4137,0.7299,0.6956,0.7021
16,OrganAgent,2026-07-06 09:13:49,0.6965,13.7827,0.7,0.7478,0.6965
17,OrganAgent,2026-07-08 19:08:16,0.6965,13.7827,0.7,0.7478,0.6965
18,Sheffield_Heart,2026-07-23 09:03:53,0.6952,17.7288,0.6918,0.7209,0.6952
19,Monster,2026-07-03 11:35:49,0.6913,17.7937,0.6604,0.7475,0.6913
20,ZQH,2026-06-25 15:45:23,0.6911,13.5719,0.6601,0.7823,0.6911
21,MaJin,2026-07-30 20:54:13,0.6909,17.0638,0.6747,0.7498,0.6909
22,Sheffield_Heart,2026-06-02 03:25:36,0.6871,18.8667,0.6647,0.7312,0.6871
23,Sheffield_Heart,2026-07-01 06:16:21,0.6857,20.231,0.665,0.7202,0.6857
24,MaJin,2026-07-29 15:59:21,0.6849,15.9286,0.6718,0.7424,0.6849
25,MaJin,2026-07-29 15:59:42,0.6849,15.9286,0.6718,0.7424,0.6849
26,OrganAgent,2026-06-10 04:46:23,0.6841,25.8151,0.7492,0.6554,0.6841
27,Sheffield_Heart,2026-07-18 01:08:44,0.6839,19.744,0.6658,0.7359,0.6839
28,OrganAgent,2026-06-03 23:04:15,0.6833,25.7857,0.7331,0.6669,0.6833
29,MaJin,2026-07-09 21:24:43,0.6825,21.6906,0.6663,0.7305,0.6825
30,MaJin,2026-07-14 15:41:42,0.6824,21.6906,0.6663,0.7304,0.6824
31,ZQH,2026-05-21 11:51:24,0.6809,18.6108,0.6457,0.7815,0.6809
32,ZQH,2026-05-22 21:35:53,0.6809,18.6108,0.6457,0.7815,0.6809
33,Monster,2026-06-10 23:01:18,0.6774,16.3086,0.628,0.804,0.6774
34,MaJin,2026-06-30 19:44:40,0.6767,22.4248,0.6336,0.7401,0.6767
35,Sheffield_Heart,2026-07-01 06:16:07,0.6746,20.7667,0.6417,0.7364,0.6746
36,Monster,2026-06-09 13:55:04,0.6739,16.0572,0.6075,0.83,0.6739
37,Monster,2026-06-10 23:01:50,0.6739,16.0572,0.6075,0.83,0.6739
38,HeartMan,2026-07-14 16:53:01,0.6722,24.2551,0.7558,0.6209,0.6722
39,HeartMan,2026-07-14 22:42:15,0.6713,24.1916,0.7566,0.6187,0.6713
40,MatU(SP+A),2026-07-27 23:21:25,0.6694,20.3338,0.6222,0.7647,0.6694
41,MatU(SP+A),2026-07-26 09:27:06,0.669,20.8096,0.6216,0.768,0.669
42,MaJin,2026-07-29 15:16:59,0.6674,20.6093,0.6216,0.7844,0.6674
43,MaJin,2026-07-29 15:11:58,0.6673,20.6443,0.6219,0.7837,0.6673
44,Monster,2026-06-23 17:11:50,0.6658,17.4526,0.6266,0.7319,0.6658
45,MaJin,2026-07-06 14:09:23,0.6652,29.4548,0.7004,0.6498,0.6652
46,MaJin,2026-07-05 21:29:50,0.6645,31.7402,0.6933,0.6653,0.6645
47,MaJin,2026-07-09 18:55:31,0.6609,21.6174,0.6664,0.6745,0.6609
48,MaJin,2026-07-10 11:14:17,0.6599,24.5292,0.6196,0.7567,0.6599
