stat_scope,stat_name,count,mean,min,max,source_path
training_log,baseline_gate_mean,121,0.00024822695111317183,1.5460069846540136e-07,0.01798621006309986,/users/a/e/aereinh/CARE/results/20260705_srr_v3_m3_myops_min_effective_pilot_training/variants/srr_v3_m3_shared_dual_dict_pilot/training_log.csv
training_log,baseline_residual_abs_mean,121,0.0009912947723215205,6.053257379790011e-07,0.07188092917203903,/users/a/e/aereinh/CARE/results/20260705_srr_v3_m3_myops_min_effective_pilot_training/variants/srr_v3_m3_shared_dual_dict_pilot/training_log.csv
training_log,baseline_preserve_gate_mean,121,0.001497281564232907,-0.0,0.10791726410388947,/users/a/e/aereinh/CARE/results/20260705_srr_v3_m3_myops_min_effective_pilot_training/variants/srr_v3_m3_shared_dual_dict_pilot/training_log.csv
training_log,gate_open_rate_mean_gt_0.01,121,0.008264462809917356,,,/users/a/e/aereinh/CARE/results/20260705_srr_v3_m3_myops_min_effective_pilot_training/variants/srr_v3_m3_shared_dual_dict_pilot/training_log.csv
decode_delta,Case3004:myops_scar:changed_voxels_vs_nnunet,7124,0.0051641599758754575,,,/users/a/e/aereinh/CARE/results/20260705_srr_v3_m3_myops_min_effective_pilot_training/variants/srr_v3_m3_shared_dual_dict_pilot/predictions/fold_0/checkpoint_best/pathology_aware/Case3004.nii.gz;/users/a/e/aereinh/CARE/data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_0/validation/Case3004.nii.gz
decode_delta,Case3004:myops_edema:changed_voxels_vs_nnunet,27380,0.01984765583091943,,,/users/a/e/aereinh/CARE/results/20260705_srr_v3_m3_myops_min_effective_pilot_training/variants/srr_v3_m3_shared_dual_dict_pilot/predictions/fold_0/checkpoint_best/pathology_aware/Case3004.nii.gz;/users/a/e/aereinh/CARE/data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_0/validation/Case3004.nii.gz
decode_delta,Case3012:myops_scar:changed_voxels_vs_nnunet,6354,0.00558522210355603,,,/users/a/e/aereinh/CARE/results/20260705_srr_v3_m3_myops_min_effective_pilot_training/variants/srr_v3_m3_shared_dual_dict_pilot/predictions/fold_0/checkpoint_best/pathology_aware/Case3012.nii.gz;/users/a/e/aereinh/CARE/data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_0/validation/Case3012.nii.gz
decode_delta,Case3012:myops_edema:changed_voxels_vs_nnunet,27443,0.024122639311911886,,,/users/a/e/aereinh/CARE/results/20260705_srr_v3_m3_myops_min_effective_pilot_training/variants/srr_v3_m3_shared_dual_dict_pilot/predictions/fold_0/checkpoint_best/pathology_aware/Case3012.nii.gz;/users/a/e/aereinh/CARE/data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_0/validation/Case3012.nii.gz
decode_delta,Case3023:myops_scar:changed_voxels_vs_nnunet,333,0.00048177292436165086,,,/users/a/e/aereinh/CARE/results/20260705_srr_v3_m3_myops_min_effective_pilot_training/variants/srr_v3_m3_shared_dual_dict_pilot/predictions/fold_0/checkpoint_best/pathology_aware/Case3023.nii.gz;/users/a/e/aereinh/CARE/data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_0/validation/Case3023.nii.gz
decode_delta,Case3023:myops_edema:changed_voxels_vs_nnunet,22900,0.0331309308344799,,,/users/a/e/aereinh/CARE/results/20260705_srr_v3_m3_myops_min_effective_pilot_training/variants/srr_v3_m3_shared_dual_dict_pilot/predictions/fold_0/checkpoint_best/pathology_aware/Case3023.nii.gz;/users/a/e/aereinh/CARE/data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_0/validation/Case3023.nii.gz
decode_delta,Case3038:myops_scar:changed_voxels_vs_nnunet,358,0.00046424532901766723,,,/users/a/e/aereinh/CARE/results/20260705_srr_v3_m3_myops_min_effective_pilot_training/variants/srr_v3_m3_shared_dual_dict_pilot/predictions/fold_0/checkpoint_best/pathology_aware/Case3038.nii.gz;/users/a/e/aereinh/CARE/data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_0/validation/Case3038.nii.gz
decode_delta,Case3038:myops_edema:changed_voxels_vs_nnunet,17725,0.022985330885022772,,,/users/a/e/aereinh/CARE/results/20260705_srr_v3_m3_myops_min_effective_pilot_training/variants/srr_v3_m3_shared_dual_dict_pilot/predictions/fold_0/checkpoint_best/pathology_aware/Case3038.nii.gz;/users/a/e/aereinh/CARE/data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_0/validation/Case3038.nii.gz
decode_delta,Case5005:myops_scar:changed_voxels_vs_nnunet,855,0.00217437744140625,,,/users/a/e/aereinh/CARE/results/20260705_srr_v3_m3_myops_min_effective_pilot_training/variants/srr_v3_m3_shared_dual_dict_pilot/predictions/fold_0/checkpoint_best/pathology_aware/Case5005.nii.gz;/users/a/e/aereinh/CARE/data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_0/validation/Case5005.nii.gz
decode_delta,Case5005:myops_edema:changed_voxels_vs_nnunet,0,0.0,,,/users/a/e/aereinh/CARE/results/20260705_srr_v3_m3_myops_min_effective_pilot_training/variants/srr_v3_m3_shared_dual_dict_pilot/predictions/fold_0/checkpoint_best/pathology_aware/Case5005.nii.gz;/users/a/e/aereinh/CARE/data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_0/validation/Case5005.nii.gz
decode_delta,Case7005:myops_scar:changed_voxels_vs_nnunet,706,0.0022981770833333335,,,/users/a/e/aereinh/CARE/results/20260705_srr_v3_m3_myops_min_effective_pilot_training/variants/srr_v3_m3_shared_dual_dict_pilot/predictions/fold_0/checkpoint_best/pathology_aware/Case7005.nii.gz;/users/a/e/aereinh/CARE/data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_0/validation/Case7005.nii.gz
decode_delta,Case7005:myops_edema:changed_voxels_vs_nnunet,0,0.0,,,/users/a/e/aereinh/CARE/results/20260705_srr_v3_m3_myops_min_effective_pilot_training/variants/srr_v3_m3_shared_dual_dict_pilot/predictions/fold_0/checkpoint_best/pathology_aware/Case7005.nii.gz;/users/a/e/aereinh/CARE/data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_0/validation/Case7005.nii.gz
decode_delta,Case8011:myops_scar:changed_voxels_vs_nnunet,95,0.00024159749348958334,,,/users/a/e/aereinh/CARE/results/20260705_srr_v3_m3_myops_min_effective_pilot_training/variants/srr_v3_m3_shared_dual_dict_pilot/predictions/fold_0/checkpoint_best/pathology_aware/Case8011.nii.gz;/users/a/e/aereinh/CARE/data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_0/validation/Case8011.nii.gz
decode_delta,Case8011:myops_edema:changed_voxels_vs_nnunet,0,0.0,,,/users/a/e/aereinh/CARE/results/20260705_srr_v3_m3_myops_min_effective_pilot_training/variants/srr_v3_m3_shared_dual_dict_pilot/predictions/fold_0/checkpoint_best/pathology_aware/Case8011.nii.gz;/users/a/e/aereinh/CARE/data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_0/validation/Case8011.nii.gz
