variant,model_variant,step,stage,loss,evidence_loss,final_loss,scar_proposal_loss,edema_proposal_loss,proposal_margin_loss,scar_component_ranking_loss,edema_component_ranking_loss,component_proposal_ranking_loss,roi_cover_loss,roi_remote_loss,semantic_retrieval_loss,baseline_preservation_loss,baseline_preserve_voxels,baseline_preserve_gate_mean,proposal_weight,refine_weight,edema_supervised_batch_fraction,anchor_present_batch_fraction,component_present_batch_fraction,baseline_gate_mean,baseline_residual_abs_mean,baseline_gate_status,local_refinement_status,anatomy_roi_prior_status,encoder_profile,encoder_scale_channels,p_union_mean,p_lv_mean,p_rv_mean,union_distance_mean,lv_distance_mean,rv_distance_mean,scar_anatomy_soft_gate_mean,edema_anatomy_soft_gate_mean,empty_union_fallback_fraction,prototype_source_scar,prototype_source_edema,batch_cases,elapsed_seconds
srr_v3_m3_shared_dual_dict_pilot,srr_propref_shared_dual_dict,1,evidence_warmup,4.108841896057129,4.106127738952637,4.09193229675293,0.42934417724609375,0.22624324262142181,0.28103822469711304,2.1337554454803467,11.146321296691895,6.64003849029541,0.3943706452846527,0.02052576281130314,0.004263562615960836,0.02714264579117298,50028.0,0.10791726410388947,0.0,0.0,0.5,0.5,0.5,0.01798621006309986,0.07188092917203903,baseline_preserving_residual,enabled_crop_soft_roi,enabled_distance_soft_gates,strong_4scale,8;16;32;64,0.7730723023414612,0.30656781792640686,0.2922768294811249,0.16077595949172974,0.5509442090988159,0.5959233641624451,0.5096365213394165,0.2438686043024063,0.0,train_oof_runtime_features_fold0,train_oof_runtime_features_fold0,"Case2004,Case2004",0.41340474894968793
srr_v3_m3_shared_dual_dict_pilot,srr_propref_shared_dual_dict,50,evidence_warmup,2.544152021408081,2.543583869934082,2.5247364044189453,0.4280683100223541,0.547297477722168,0.245935320854187,1.4884119033813477,9.19752311706543,5.342967510223389,0.5111880898475647,0.012013396248221397,0.003614653367549181,0.005681167356669903,87502.0,0.022620152682065964,0.0,0.0,1.0,1.0,0.5,0.004339919425547123,0.017340239137411118,baseline_preserving_residual,enabled_crop_soft_roi,enabled_distance_soft_gates,strong_4scale,8;16;32;64,0.5297027230262756,0.17978054285049438,0.14691120386123657,0.3736979067325592,0.7661687135696411,0.7935165166854858,0.365323930978775,0.34274235367774963,0.0,train_oof_runtime_features_fold0,train_oof_runtime_features_fold0,"Case3001,Case3001",18.134617105999496
srr_v3_m3_shared_dual_dict_pilot,srr_propref_shared_dual_dict,100,evidence_warmup,2.5175509452819824,2.51727032661438,2.4921658039093018,0.3244132995605469,0.43728405237197876,0.24976855516433716,1.5243477821350098,8.899041175842285,5.211694717407227,0.4147564768791199,0.005708709824830294,0.003304427722468972,0.0028063845820724964,109096.0,0.011142414063215256,0.0,0.0,0.5,1.0,1.0,0.001992823090404272,0.00795009359717369,baseline_preserving_residual,enabled_crop_soft_roi,enabled_distance_soft_gates,strong_4scale,8;16;32;64,0.4711073338985443,0.1577019989490509,0.13669255375862122,0.36588054895401,0.7649445533752441,0.7813946604728699,0.35231366753578186,0.16948659718036652,0.0,train_oof_runtime_features_fold0,train_oof_runtime_features_fold0,"Case3001,Case6002",36.19941978598945
srr_v3_m3_shared_dual_dict_pilot,srr_propref_shared_dual_dict,150,evidence_warmup,2.476729393005371,2.4764273166656494,2.489790201187134,0.529317319393158,0.40398871898651123,0.23110376298427582,-0.0,1.0829122066497803,0.5414561033248901,0.4926576614379883,0.001674757106229663,0.0037501202896237373,0.003019988304004073,48082.0,0.011953018605709076,0.0,0.0,1.0,1.0,1.0,0.0014732916606590152,0.00588169414550066,baseline_preserving_residual,enabled_crop_soft_roi,enabled_distance_soft_gates,strong_4scale,8;16;32;64,0.5196146368980408,0.17908088862895966,0.14856091141700745,0.3215976357460022,0.6907814145088196,0.770492672920227,0.3719652593135834,0.3468088209629059,0.0,train_oof_runtime_features_fold0,train_oof_runtime_features_fold0,"Case3032,Case3032",54.13303441699827
srr_v3_m3_shared_dual_dict_pilot,srr_propref_shared_dual_dict,200,evidence_warmup,2.0794312953948975,2.0793378353118896,2.0732157230377197,0.5010324120521545,0.7138739228248596,0.21971789002418518,-0.0,0.9208602905273438,0.4604301452636719,0.5158170461654663,0.0019513412844389677,0.001975748222321272,0.0009346902370452881,44662.0,0.003715252038091421,0.0,0.0,0.5,0.5,0.0,0.0006717536016367376,0.0026853354647755623,baseline_preserving_residual,enabled_crop_soft_roi,enabled_distance_soft_gates,strong_4scale,8;16;32;64,0.4112198054790497,0.14297260344028473,0.11516571044921875,0.41635772585868835,0.7722026705741882,0.8039005398750305,0.29805174469947815,0.12659065425395966,0.0,train_oof_runtime_features_fold0,train_oof_runtime_features_fold0,"Case5001,Case3008",71.25265023694374
srr_v3_m3_shared_dual_dict_pilot,srr_propref_shared_dual_dict,250,evidence_warmup,1.8507392406463623,1.8506247997283936,1.9015119075775146,0.3079530596733093,0.41060030460357666,0.3184177875518799,3.8244357109069824,8.892765998840332,6.358600616455078,0.46252086758613586,0.004016207065433264,0.003703458234667778,0.001144681591540575,75168.0,0.004524288699030876,0.0,0.0,1.0,1.0,1.0,0.000678330019582063,0.0027055745013058186,baseline_preserving_residual,enabled_crop_soft_roi,enabled_distance_soft_gates,strong_4scale,8;16;32;64,0.5183988809585571,0.17205946147441864,0.1211870014667511,0.31936115026474,0.7000762224197388,0.7923740744590759,0.38024887442588806,0.35893604159355164,0.0,train_oof_runtime_features_fold0,train_oof_runtime_features_fold0,"Case2001,Case3008",89.3481356719858
srr_v3_m3_shared_dual_dict_pilot,srr_propref_shared_dual_dict,300,evidence_warmup,1.7767077684402466,1.7766196727752686,1.9108290672302246,0.4349476993083954,0.24614223837852478,0.25803065299987793,1.0795080661773682,12.856043815612793,6.967775821685791,0.3504515290260315,0.004366761539131403,0.0032252082601189613,0.0008803912787698209,50028.0,0.003472115145996213,0.0,0.0,0.5,0.5,0.5,0.0003774110518861562,0.0015048481291159987,baseline_preserving_residual,enabled_crop_soft_roi,enabled_distance_soft_gates,strong_4scale,8;16;32;64,0.4733208119869232,0.14422056078910828,0.11187119036912918,0.3468589186668396,0.7376852631568909,0.7786475419998169,0.34420159459114075,0.17821025848388672,0.0,train_oof_runtime_features_fold0,train_oof_runtime_features_fold0,"Case2004,Case2004",107.21555655298289
srr_v3_m3_shared_dual_dict_pilot,srr_propref_shared_dual_dict,300,evidence_warmup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108.54376619495451
srr_v3_m3_shared_dual_dict_pilot,srr_propref_shared_dual_dict,350,evidence_warmup,1.644087553024292,1.6439924240112305,1.6886801719665527,0.540797770023346,0.38324329257011414,0.20659957826137543,-0.0,0.059392690658569336,0.029696345329284668,0.49783626198768616,0.0019690776243805885,0.0042926413007080555,0.0009508535731583834,47555.0,0.0037658209912478924,0.0,0.0,1.0,1.0,1.0,0.0004302380548324436,0.0017164611490443349,baseline_preserving_residual,enabled_crop_soft_roi,enabled_distance_soft_gates,strong_4scale,8;16;32;64,0.5634148120880127,0.1758500635623932,0.13204731047153473,0.24774090945720673,0.6743357181549072,0.7419368624687195,0.41476503014564514,0.3908630311489105,0.0,train_oof_runtime_features_fold0,train_oof_runtime_features_fold0,"Case3032,Case3032",126.71958816098049
srr_v3_m3_shared_dual_dict_pilot,srr_propref_shared_dual_dict,400,evidence_warmup,1.497556447982788,1.4975035190582275,1.7012882232666016,0.3880680203437805,0.41466349363327026,0.2669445872306824,1.6576075553894043,12.438152313232422,7.047880172729492,0.4464649558067322,0.003910242114216089,0.004202619194984436,0.0005294496077112854,74595.0,0.002089579589664936,0.0,0.0,1.0,1.0,1.0,0.00033015513326972723,0.001316300593316555,baseline_preserving_residual,enabled_crop_soft_roi,enabled_distance_soft_gates,strong_4scale,8;16;32;64,0.5123417973518372,0.16594752669334412,0.1711205244064331,0.2666357159614563,0.706473171710968,0.646147608757019,0.39552122354507446,0.3822510242462158,0.0,train_oof_runtime_features_fold0,train_oof_runtime_features_fold0,"Case3008,Case2004",144.45547763997456
