metric_name,group,case_count,srr_dice_mean,nnunet_dice_mean,dice_delta_mean,hd95_delta_mean,component_count_delta_mean,remote_fp_delta_mean
myops_edema,all_cases,12,0.48594882522593547,0.6182826315808282,-0.13233380635489272,81.95546881856701,116.41666666666667,108.75
myops_edema,gt_positive_only,7,0.11876941467303223,0.34562736842427694,-0.22685795375124468,140.49508940325774,199.57142857142858,186.42857142857142
myops_edema,t2_present,7,0.11876941467303223,0.34562736842427694,-0.22685795375124468,140.49508940325774,199.57142857142858,186.42857142857142
myops_edema,no_t2,5,1.0,1.0,0.0,0.0,0.0,0.0
myops_edema,CenterC,4,0.08032901504974713,0.30860789183047294,-0.22827887678072578,151.55333351229217,271.0,256.5
myops_edema,remote_fp_baseline_positive,1,0.010918720717050317,0.16291793313069908,-0.15199921241364875,142.47345436793196,224.0,219.0
myops_scar,all_cases,12,0.3861645006311587,0.5038751428010139,-0.11771064216985518,77.28026579058738,31.416666666666668,25.166666666666668
myops_scar,gt_positive_only,12,0.3861645006311587,0.5038751428010139,-0.11771064216985518,77.28026579058738,31.416666666666668,25.166666666666668
myops_scar,t2_present,7,0.5240133385297562,0.7122576338408518,-0.18824429531109563,101.75944006785852,31.142857142857142,28.571428571428573
myops_scar,no_t2,5,0.19317612757312227,0.21213965534524082,-0.018963527772118547,34.441710805362895,31.8,20.4
myops_scar,CenterC,4,0.500741478511556,0.7177453232000335,-0.2170038446884774,104.70836540307714,43.5,41.5
myops_scar,remote_fp_baseline_positive,5,0.250990248154708,0.3504065894030877,-0.09941634124837972,65.82260045814222,43.6,35.0
