case_id,fold,pathology,candidate_lane,candidate_checkpoint_step,candidate_dice,stock_dice,delta_dice,candidate_hd95_mm,stock_hd95_mm,delta_hd95_mm,candidate_exact_hd_mm,stock_exact_hd_mm,candidate_precision,stock_precision,delta_precision,candidate_sensitivity,stock_sensitivity,delta_sensitivity,candidate_lesion_recall,stock_lesion_recall,candidate_small_lesion_recall,stock_small_lesion_recall,candidate_remote_fp_count,stock_remote_fp_count,candidate_remote_fp_volume_mm3,stock_remote_fp_volume_mm3,candidate_blood_pool_adjacent_fp_count,stock_blood_pool_adjacent_fp_count,candidate_volume_ratio,stock_volume_ratio,help_harm_neutral
Case2019,2,scar,m0r_selected_outer,3500,0.7651452282157676,0.7436762225969646,0.02146900561880294,10.0,19.340321611121333,-9.340321611121333,35.59346214848709,36.1615902384435,0.7329093799682035,0.7229508196721312,0.009958560296072339,0.8003472222222222,0.765625,0.03472222222222221,1.0,1.0,,,3,2,721.2456920908561,1818.7934844030283,1,0,1.0920138888888888,1.0590277777777777,help
Case2019,2,pure_edema,m0r_selected_outer,4000,0.6788842036976971,0.6344086021505376,0.04447560154715946,15.11852784639705,17.708333730697632,-2.5898058843005813,45.386195830737144,44.934849628419954,0.7242214532871972,0.7055306427503737,0.018690810536823532,0.6388888888888888,0.5763125763125763,0.06257631257631258,0.6,0.4,0.5,0.25,5,6,6742.0792956319165,6898.871837390798,4,7,0.8821733821733821,0.8168498168498168,help
Case2034,2,scar,m0r_selected_outer,3500,0.7747273411056789,0.7875912408759124,-0.0128638997702335,3.984375,2.9697777826169083,1.0145972173830917,8.909333347850724,7.513009550107068,0.7797123391370174,0.7696148359486448,0.010097503188372658,0.7698056801195815,0.8064275037369207,-0.03662182361733923,1.0,1.0,,,0,0,0.0,0.0,9,7,0.9872944693572496,1.047832585949178,harm
Case2034,2,pure_edema,m0r_selected_outer,4000,0.5533742331288344,0.5759774284562676,-0.022603195327433268,11.42496324529099,13.46870569549434,-2.04374245020335,30.662146636009112,35.88396147871985,0.43673337637185283,0.45078864353312303,-0.014055267161270202,0.7550223214285714,0.7974330357142857,-0.0424107142857143,0.3333333333333333,0.3333333333333333,0.0,0.0,0,0,0.0,0.0,19,14,1.7287946428571428,1.7689732142857142,harm
Case3008,2,scar,m0r_selected_outer,3500,0.6170474516695957,0.6042684029661783,0.012779048703417395,7.553666204834559,10.43864612341326,-2.8849799185787015,16.768533408641815,17.020232784078992,0.5787998681173755,0.5816504178272981,-0.0028505497099226007,0.6607075649228453,0.6287165976665412,0.031990967256304126,1.0,1.0,,,1,0,709.0719122957945,0.0,6,6,1.1415129845690628,1.0809183289424162,help
Case3008,2,pure_edema,m0r_selected_outer,4000,0.15955723542116632,0.310107948969578,-0.15055071354841168,23.01155037087213,19.011732752928467,3.9998176179436626,28.64777469601788,29.18088777211022,0.7396745932415519,0.8191834089436163,-0.07950881570206436,0.08942351339083068,0.1912543501286125,-0.10183083673778182,0.25,0.25,0.0,0.0,2,1,1051.3824906454884,12.225377798203354,9,16,0.12089574822212135,0.23346951127250717,harm
Case2021,3,scar,m0r_selected_outer,3500,0.7914783731439639,0.7924121577926277,-0.0009337846486638934,7.44140625,6.1363407943762835,1.3050654556237165,17.419885414000692,17.419885414000692,0.9311392405063291,0.9344178952719878,-0.003278654765658695,0.688248502994012,0.687874251497006,0.00037425149700598404,1.0,1.0,,,0,0,0.0,0.0,2,1,0.7391467065868264,0.7361526946107785,neutral
Case2021,3,pure_edema,m0r_selected_outer,4000,0.5832387745177501,0.5758297602032714,0.007409014314478712,20.055298080036145,20.0,0.055298080036145336,43.3176041054841,30.476134171320357,0.5040627626786215,0.49039761969164186,0.013665142986979628,0.691923076923077,0.6973076923076923,-0.005384615384615321,0.75,1.0,0.6666666666666666,1.0,2,0,3521.8199157714844,0.0,12,14,1.3726923076923077,1.4219230769230768,neutral
Case3009,3,scar,m0r_selected_outer,3500,0.683997689196996,0.7301587301587301,-0.04616104096173412,11.665066719055176,2.580210858917402,9.084855860137774,85.26864275057032,13.123200058937073,0.655592469545958,0.8070175438596491,-0.15142507431369112,0.714975845410628,0.6666666666666666,0.048309178743961345,1.0,1.0,,,2,1,907.8672613456829,96.73995407781868,2,1,1.0905797101449275,0.8260869565217391,harm
Case3009,3,pure_edema,m0r_selected_outer,4000,0.3147502903600465,0.33762376237623765,-0.022873472016191165,11.032780697136218,10.43864612341326,0.5941345737229575,15.223358999228449,14.08061618106986,0.25784966698382494,0.25277983691623424,0.005069830067590708,0.4038748137108793,0.5081967213114754,-0.10432190760059612,0.5,0.5,0.0,0.0,2,1,14.88306985812595,7.441534929062975,7,6,1.5663189269746647,2.0104321907600595,harm
Case2019,2,scar,m2_selected_outer,4500,0.7384937238493724,0.7436762225969646,-0.005182498747592246,6.384830526905883,19.340321611121333,-12.95549108421545,14.276915082977354,36.1615902384435,0.9289473684210526,0.7229508196721312,0.20599654874892148,0.6128472222222222,0.765625,-0.1527777777777778,1.0,1.0,,,0,2,0.0,1818.7934844030283,2,0,0.6597222222222222,1.0590277777777777,neutral
Case2019,2,pure_edema,m2_selected_outer,2500,0.645145976738666,0.6344086021505376,0.010737374588128401,12.756058039361246,17.708333730697632,-4.952275691336386,31.106092669558354,44.934849628419954,0.5277669902912622,0.7055306427503737,-0.17776365245911152,0.8296703296703297,0.5763125763125763,0.25335775335775346,0.6,0.4,0.5,0.25,1,6,689.8871837390798,6898.871837390798,19,7,1.572039072039072,0.8168498168498168,help
Case2034,2,scar,m2_selected_outer,4500,0.680952380952381,0.7875912408759124,-0.10663885992353139,4.199900017411129,2.9697777826169083,1.2301222347942207,14.118162407538206,7.513009550107068,0.5657764589515332,0.7696148359486448,-0.2038383769971116,0.8550074738415545,0.8064275037369207,0.048579970104633774,1.0,1.0,,,0,0,0.0,0.0,4,7,1.5112107623318385,1.047832585949178,harm
Case2034,2,pure_edema,m2_selected_outer,2500,0.45951704545454547,0.5759774284562676,-0.11646038300172218,16.09708957552123,13.46870569549434,2.6283838800268917,38.538516903952726,35.88396147871985,0.33697916666666666,0.45078864353312303,-0.11380947686645637,0.7220982142857143,0.7974330357142857,-0.0753348214285714,0.3333333333333333,0.3333333333333333,0.0,0.0,0,0,0.0,0.0,11,14,2.142857142857143,1.7689732142857142,harm
Case3008,2,scar,m2_selected_outer,4500,0.3859869939165093,0.6042684029661783,-0.21828140904966903,13.3560016142948,10.43864612341326,2.9173554908815404,21.920550657631313,17.020232784078992,0.43601895734597157,0.5816504178272981,-0.14563146048132652,0.3462551750094091,0.6287165976665412,-0.2824614226571321,1.0,1.0,,,2,0,122.25377798203354,0.0,8,6,0.7941287165976666,1.0809183289424162,harm
