pathology,m2_checkpoint_step,m2_dice_positive_gt_mean,stock_dice_positive_gt_mean,delta_dice_positive_gt_mean,delta_hd95_mm_positive_gt_mean,delta_sensitivity_positive_gt_mean,delta_precision_positive_gt_mean,harm_fraction,case3008_delta_dice,case3009_delta_dice,gate_pass
scar,4500,0.622901260533028,0.673015974528387,-0.05011471399535905,-1.789971749201964,-0.05633589137491257,-0.0380339710955343,0.59375,-0.21828140904966903,-0.15263383684436316,False
pure_edema,2500,0.4847518446386539,0.4658254398274189,0.018926404811234976,-1.3052110167901532,0.08930561630936024,-0.039615645212274786,0.46875,0.05714548724937546,0.1899092772713395,False
