case_id,fold,pathology,candidate_lane,candidate_checkpoint_step,candidate_dice,stock_dice,delta_dice,candidate_hd95_mm,stock_hd95_mm,delta_hd95_mm,candidate_exact_hd_mm,stock_exact_hd_mm,candidate_precision,stock_precision,delta_precision,candidate_sensitivity,stock_sensitivity,delta_sensitivity,candidate_lesion_recall,stock_lesion_recall,candidate_small_lesion_recall,stock_small_lesion_recall,candidate_remote_fp_count,stock_remote_fp_count,candidate_remote_fp_volume_mm3,stock_remote_fp_volume_mm3,candidate_blood_pool_adjacent_fp_count,stock_blood_pool_adjacent_fp_count,candidate_volume_ratio,stock_volume_ratio,help_harm_neutral
Case2006,2,scar,m0r_selected_outer,3500,0.7235387045813586,0.6955066921606119,0.02803201242074671,4.816791157065174,5.34375,-0.5269588429348264,20.044568566170394,20.044568566170394,0.7411003236245954,0.7593945720250522,-0.018294248400456792,0.7067901234567902,0.6415343915343915,0.06525573192239864,1.0,1.0,,,0,0,0.0,0.0,14,10,0.9537037037037037,0.8447971781305115,help
Case2006,2,pure_edema,m0r_selected_outer,4000,0.3607257203842049,0.37984405911788666,-0.01911833873368174,14.936235318455626,19.451543610421385,-4.515308291965759,39.291100625700295,38.464793568122545,0.8445308162132149,0.8322284548699643,0.012302361343250579,0.2293425814234017,0.24607961399276237,-0.016737032569360683,0.2,0.2,0.125,0.125,0,0,0.0,0.0,6,12,0.271562123039807,0.2956875753920386,harm
Case2009,2,scar,m0r_selected_outer,3500,0.4492970385880945,0.4244203111241561,0.024876727463938375,40.45441485084804,41.19329080118812,-0.7388759503400806,47.83094262363669,49.15856935882339,0.48925081433224754,0.4521575984990619,0.037093215833185644,0.4153761061946903,0.39988938053097345,0.015486725663716838,1.0,1.0,,,1,1,8784.3017578125,9190.00244140625,11,12,0.849004424778761,0.8844026548672567,help
Case2009,2,pure_edema,m0r_selected_outer,4000,0.7407499379190464,0.6999218546496484,0.04082808326939802,6.772135291490417,7.152172009475513,-0.38003671798509586,24.008156979712126,24.624747183029616,0.6776465243071331,0.6674118231495281,0.010234701157605053,0.8168127053669222,0.7357612267250822,0.08105147864184004,0.4,0.4,0.25,0.25,3,2,194.03076171875,141.11328125,45,24,1.2053669222343921,1.1024096385542168,help
Case2014,2,scar,m0r_selected_outer,3500,0.7381425104787117,0.7165473866840165,0.021595123794695192,5.225232512488828,5.225232512488828,0.0,21.378492638859402,23.59157203575387,0.6967930029154519,0.6663977410246067,0.030395261890845182,0.7847091932457786,0.774859287054409,0.009849906191369606,1.0,1.0,,,1,2,966.1080932617188,672.0751953125,4,5,1.126172607879925,1.1627579737335836,help
Case2014,2,pure_edema,m0r_selected_outer,4000,0.6827713059472716,0.6960429409561852,-0.013271635008913596,5.225232512488828,4.099009622190768,1.1262228902980604,30.695182506803516,29.33061650728238,0.7107480214449834,0.7389345348529022,-0.02818651340791878,0.6569136385087305,0.6578574799433695,-0.0009438414346389923,0.25,0.25,0.0,0.0,2,2,1617.1809387207031,42.00469970703125,15,19,0.9242567248702218,0.8902784332232185,harm
Case2019,2,scar,m0r_selected_outer,3500,0.7651452282157676,0.7436762225969646,0.02146900561880294,10.0,19.340321611121333,-9.340321611121333,35.59346214848709,36.1615902384435,0.7329093799682035,0.7229508196721312,0.009958560296072339,0.8003472222222222,0.765625,0.03472222222222221,1.0,1.0,,,3,2,721.2456920908561,1818.7934844030283,1,0,1.0920138888888888,1.0590277777777777,help
Case2019,2,pure_edema,m0r_selected_outer,4000,0.6788842036976971,0.6344086021505376,0.04447560154715946,15.11852784639705,17.708333730697632,-2.5898058843005813,45.386195830737144,44.934849628419954,0.7242214532871972,0.7055306427503737,0.018690810536823532,0.6388888888888888,0.5763125763125763,0.06257631257631258,0.6,0.4,0.5,0.25,5,6,6742.0792956319165,6898.871837390798,4,7,0.8821733821733821,0.8168498168498168,help
Case2022,2,scar,m0r_selected_outer,3500,0.6934715025906736,0.6937984496124031,-0.00032694702172952894,8.63728838473121,9.98046875,-1.3431803652687897,21.42318167342786,20.414080812874488,0.7128248828291436,0.7437673130193906,-0.030942430190247006,0.6751412429378532,0.6501210653753027,0.025020177562550483,1.0,1.0,,,0,0,0.0,0.0,1,0,0.947134786117837,0.87409200968523,neutral
Case2022,2,pure_edema,m0r_selected_outer,4000,0.6369294605809128,0.6249347939488784,0.011994666632034412,10.101131232334899,9.017432390323894,1.083698842011005,25.750729152392612,25.432994996599795,0.7313006193425441,0.7229061066859763,0.008394512656567765,0.5641308342521132,0.5503491363469313,0.013781697905181911,0.5,0.5,0.0,0.0,1,1,1463.653564453125,1219.7113037109375,12,17,0.7714075707460493,0.7613009922822491,help
