lane,fold,checkpoint_step,case_id,status,device,elapsed_seconds,outer_cases_accessed
m1_myopsnet_l_care,2,3000,Case2026,COMPLETED,cuda,1.242,False
m1_myopsnet_l_care,2,3000,Case2029,COMPLETED,cuda,1.22,False
m1_myopsnet_l_care,2,3000,Case3004,COMPLETED,cuda,1.383,False
m1_myopsnet_l_care,2,3000,Case3018,COMPLETED,cuda,1.525,False
m1_myopsnet_l_care,2,3000,Case3022,COMPLETED,cuda,1.47,False
m1_myopsnet_l_care,2,3000,Case3033,COMPLETED,cuda,1.453,False
m1_myopsnet_l_care,2,3000,Case3034,COMPLETED,cuda,1.658,False
m1_myopsnet_l_care,2,3000,Case3038,COMPLETED,cuda,1.132,False
m1_myopsnet_l_care,2,3000,Case3039,COMPLETED,cuda,1.393,False
m1_myopsnet_l_care,2,3500,Case2001,COMPLETED,cuda,7.08,False
m1_myopsnet_l_care,2,3500,Case2010,COMPLETED,cuda,1.543,False
m1_myopsnet_l_care,2,3500,Case2011,COMPLETED,cuda,1.802,False
m1_myopsnet_l_care,2,3500,Case2012,COMPLETED,cuda,0.995,False
m1_myopsnet_l_care,2,3500,Case2026,COMPLETED,cuda,1.315,False
m1_myopsnet_l_care,2,3500,Case2029,COMPLETED,cuda,1.336,False
m1_myopsnet_l_care,2,3500,Case3004,COMPLETED,cuda,1.258,False
m1_myopsnet_l_care,2,3500,Case3018,COMPLETED,cuda,1.559,False
m1_myopsnet_l_care,2,3500,Case3022,COMPLETED,cuda,1.501,False
m1_myopsnet_l_care,2,3500,Case3033,COMPLETED,cuda,1.446,False
m1_myopsnet_l_care,2,3500,Case3034,COMPLETED,cuda,1.607,False
m1_myopsnet_l_care,2,3500,Case3038,COMPLETED,cuda,1.251,False
m1_myopsnet_l_care,2,3500,Case3039,COMPLETED,cuda,1.403,False
m1_myopsnet_l_care,2,4000,Case2001,COMPLETED,cuda,8.203,False
m1_myopsnet_l_care,2,4000,Case2010,COMPLETED,cuda,1.541,False
m1_myopsnet_l_care,2,4000,Case2011,COMPLETED,cuda,1.829,False
m1_myopsnet_l_care,2,4000,Case2012,COMPLETED,cuda,1.0,False
m1_myopsnet_l_care,2,4000,Case2026,COMPLETED,cuda,1.288,False
m1_myopsnet_l_care,2,4000,Case2029,COMPLETED,cuda,1.319,False
m1_myopsnet_l_care,2,4000,Case3004,COMPLETED,cuda,1.241,False
m1_myopsnet_l_care,2,4000,Case3018,COMPLETED,cuda,1.32,False
m1_myopsnet_l_care,2,4000,Case3022,COMPLETED,cuda,1.492,False
m1_myopsnet_l_care,2,4000,Case3033,COMPLETED,cuda,1.518,False
m1_myopsnet_l_care,2,4000,Case3034,COMPLETED,cuda,1.596,False
m1_myopsnet_l_care,2,4000,Case3038,COMPLETED,cuda,1.14,False
m1_myopsnet_l_care,2,4000,Case3039,COMPLETED,cuda,1.41,False
m1_myopsnet_l_care,2,4500,Case2001,COMPLETED,cuda,8.228,False
m1_myopsnet_l_care,2,4500,Case2010,COMPLETED,cuda,1.511,False
m1_myopsnet_l_care,2,4500,Case2011,COMPLETED,cuda,1.821,False
m1_myopsnet_l_care,2,4500,Case2012,COMPLETED,cuda,0.963,False
m1_myopsnet_l_care,2,4500,Case2026,COMPLETED,cuda,1.244,False
m1_myopsnet_l_care,2,4500,Case2029,COMPLETED,cuda,1.221,False
m1_myopsnet_l_care,2,4500,Case3004,COMPLETED,cuda,1.238,False
m1_myopsnet_l_care,2,4500,Case3018,COMPLETED,cuda,1.324,False
m1_myopsnet_l_care,2,4500,Case3022,COMPLETED,cuda,1.496,False
m1_myopsnet_l_care,2,4500,Case3033,COMPLETED,cuda,1.453,False
m1_myopsnet_l_care,2,4500,Case3034,COMPLETED,cuda,1.604,False
m1_myopsnet_l_care,2,4500,Case3038,COMPLETED,cuda,1.107,False
m1_myopsnet_l_care,2,4500,Case3039,COMPLETED,cuda,1.347,False
m1_myopsnet_l_care,2,5000,Case2001,COMPLETED,cuda,8.155,False
m1_myopsnet_l_care,2,5000,Case2010,COMPLETED,cuda,1.591,False
m1_myopsnet_l_care,2,5000,Case2011,COMPLETED,cuda,1.826,False
m1_myopsnet_l_care,2,5000,Case2012,COMPLETED,cuda,0.964,False
m1_myopsnet_l_care,2,5000,Case2026,COMPLETED,cuda,1.249,False
m1_myopsnet_l_care,2,5000,Case2029,COMPLETED,cuda,1.312,False
m1_myopsnet_l_care,2,5000,Case3004,COMPLETED,cuda,1.373,False
m1_myopsnet_l_care,2,5000,Case3018,COMPLETED,cuda,1.563,False
m1_myopsnet_l_care,2,5000,Case3022,COMPLETED,cuda,1.514,False
m1_myopsnet_l_care,2,5000,Case3033,COMPLETED,cuda,1.457,False
m1_myopsnet_l_care,2,5000,Case3034,COMPLETED,cuda,1.673,False
m1_myopsnet_l_care,2,5000,Case3038,COMPLETED,cuda,1.253,False
m1_myopsnet_l_care,2,5000,Case3039,COMPLETED,cuda,1.403,False
m1_myopsnet_l_care,2,5500,Case2001,COMPLETED,cuda,7.993,False
m1_myopsnet_l_care,2,5500,Case2010,COMPLETED,cuda,1.516,False
m1_myopsnet_l_care,2,5500,Case2011,COMPLETED,cuda,1.822,False
m1_myopsnet_l_care,2,5500,Case2012,COMPLETED,cuda,0.988,False
m1_myopsnet_l_care,2,5500,Case2026,COMPLETED,cuda,1.246,False
m1_myopsnet_l_care,2,5500,Case2029,COMPLETED,cuda,1.306,False
m1_myopsnet_l_care,2,5500,Case3004,COMPLETED,cuda,1.293,False
m1_myopsnet_l_care,2,5500,Case3018,COMPLETED,cuda,1.544,False
m1_myopsnet_l_care,2,5500,Case3022,COMPLETED,cuda,1.484,False
m1_myopsnet_l_care,2,5500,Case3033,COMPLETED,cuda,1.448,False
m1_myopsnet_l_care,2,5500,Case3034,COMPLETED,cuda,1.606,False
m1_myopsnet_l_care,2,5500,Case3038,COMPLETED,cuda,1.205,False
m1_myopsnet_l_care,2,5500,Case3039,COMPLETED,cuda,1.384,False
m1_myopsnet_l_care,2,6000,Case2001,COMPLETED,cuda,7.152,False
m1_myopsnet_l_care,2,6000,Case2010,COMPLETED,cuda,1.535,False
m1_myopsnet_l_care,2,6000,Case2011,COMPLETED,cuda,1.855,False
m1_myopsnet_l_care,2,6000,Case2012,COMPLETED,cuda,0.966,False
m1_myopsnet_l_care,2,6000,Case2026,COMPLETED,cuda,1.265,False
m1_myopsnet_l_care,2,6000,Case2029,COMPLETED,cuda,1.328,False
m1_myopsnet_l_care,2,6000,Case3004,COMPLETED,cuda,1.24,False
m1_myopsnet_l_care,2,6000,Case3018,COMPLETED,cuda,1.315,False
m1_myopsnet_l_care,2,6000,Case3022,COMPLETED,cuda,1.481,False
m1_myopsnet_l_care,2,6000,Case3033,COMPLETED,cuda,1.264,False
m1_myopsnet_l_care,2,6000,Case3034,COMPLETED,cuda,1.598,False
m1_myopsnet_l_care,2,6000,Case3038,COMPLETED,cuda,1.194,False
m1_myopsnet_l_care,2,6000,Case3039,COMPLETED,cuda,1.392,False
m1_myopsnet_l_care,3,500,Case2016,COMPLETED,cuda,9.66,False
m1_myopsnet_l_care,3,500,Case2023,COMPLETED,cuda,1.301,False
m1_myopsnet_l_care,3,500,Case2025,COMPLETED,cuda,1.433,False
m1_myopsnet_l_care,3,500,Case2030,COMPLETED,cuda,1.151,False
m1_myopsnet_l_care,3,500,Case2031,COMPLETED,cuda,0.955,False
m1_myopsnet_l_care,3,500,Case3004,COMPLETED,cuda,1.255,False
m1_myopsnet_l_care,3,500,Case3006,COMPLETED,cuda,1.35,False
m1_myopsnet_l_care,3,500,Case3011,COMPLETED,cuda,1.226,False
m1_myopsnet_l_care,3,500,Case3028,COMPLETED,cuda,1.505,False
m1_myopsnet_l_care,3,500,Case3030,COMPLETED,cuda,1.244,False
m1_myopsnet_l_care,3,500,Case3031,COMPLETED,cuda,1.201,False
m1_myopsnet_l_care,3,500,Case3039,COMPLETED,cuda,1.267,False
m1_myopsnet_l_care,3,500,Case3040,COMPLETED,cuda,1.301,False
m1_myopsnet_l_care,3,1000,Case2016,COMPLETED,cuda,7.313,False
m1_myopsnet_l_care,3,1000,Case2023,COMPLETED,cuda,1.242,False
m1_myopsnet_l_care,3,1000,Case2025,COMPLETED,cuda,1.313,False
m1_myopsnet_l_care,3,1000,Case2030,COMPLETED,cuda,1.171,False
m1_myopsnet_l_care,3,1000,Case2031,COMPLETED,cuda,1.007,False
m1_myopsnet_l_care,3,1000,Case3004,COMPLETED,cuda,1.307,False
m1_myopsnet_l_care,3,1000,Case3006,COMPLETED,cuda,1.287,False
m1_myopsnet_l_care,3,1000,Case3011,COMPLETED,cuda,1.217,False
m1_myopsnet_l_care,3,1000,Case3028,COMPLETED,cuda,1.333,False
m1_myopsnet_l_care,3,1000,Case3030,COMPLETED,cuda,1.289,False
m1_myopsnet_l_care,3,1000,Case3031,COMPLETED,cuda,1.235,False
m1_myopsnet_l_care,3,1000,Case3039,COMPLETED,cuda,1.301,False
m1_myopsnet_l_care,3,1000,Case3040,COMPLETED,cuda,1.406,False
m1_myopsnet_l_care,3,1500,Case2016,COMPLETED,cuda,7.477,False
m1_myopsnet_l_care,3,1500,Case2023,COMPLETED,cuda,1.333,False
m1_myopsnet_l_care,3,1500,Case2025,COMPLETED,cuda,1.477,False
m1_myopsnet_l_care,3,1500,Case2030,COMPLETED,cuda,1.18,False
m1_myopsnet_l_care,3,1500,Case2031,COMPLETED,cuda,1.097,False
m1_myopsnet_l_care,3,1500,Case3004,COMPLETED,cuda,1.3,False
m1_myopsnet_l_care,3,1500,Case3006,COMPLETED,cuda,1.441,False
m1_myopsnet_l_care,3,1500,Case3011,COMPLETED,cuda,1.219,False
m1_myopsnet_l_care,3,1500,Case3028,COMPLETED,cuda,1.618,False
