lane,fold,checkpoint_step,pathology,case_count,dice_mean,hd95_vox_mean,exact_hd_vox_mean,precision_mean,sensitivity_mean,lesion_recall_mean,small_lesion_recall_mean,remote_fp_count_sum,remote_fp_voxels_sum,blood_pool_adjacent_fp_count_sum,blood_pool_adjacent_fp_voxels_sum,pred_component_count_sum,gt_component_count_sum,volume_ratio_mean
m1_myopsnet_l_care,2,500,scar,13,0.4593751825536174,19.14671759955472,27.039953395863726,0.41447718819831797,0.5741357602205608,0.9230769230769231,,34,2096,123,28941,71,14,1.4556385369785108
m1_myopsnet_l_care,2,500,pure_edema,13,0.07066224970198937,23.373926565724286,29.169597463705294,0.2815468010279215,0.04757734757695774,0.12488149105796165,0.027777777777777776,17,410,116,2605,235,136,0.14371150227390497
m1_myopsnet_l_care,2,1000,scar,13,0.2591027386639809,14.32624513073994,19.801712020933213,0.4705286474108624,0.2406312221387198,0.8461538461538461,,7,122,78,9302,54,14,0.4513107316845908
m1_myopsnet_l_care,2,1000,pure_edema,13,0.1935538803779824,20.628173572503652,27.035221093394604,0.289031200926783,0.22711439313990683,0.27467140702434817,0.19704861111111108,10,164,96,16579,39,136,0.6289394603595704
m1_myopsnet_l_care,2,1500,scar,13,0.20812124875309757,15.005899660709943,21.14800553798992,0.4391971535371538,0.14177026496980327,0.7692307692307693,,4,107,56,3463,71,14,0.23297202266943723
m1_myopsnet_l_care,2,1500,pure_edema,13,0.03989447797972417,24.428732306070735,30.176878307553977,0.17212366335439203,0.023358933398098008,0.06043956043956045,0.0,3,19,12,712,32,136,0.052698092505272624
m1_myopsnet_l_care,2,2000,scar,13,0.4928516190417059,12.503959468460161,21.082926653776287,0.4415873964006528,0.6158863694015477,0.8461538461538461,,12,719,121,29729,35,14,1.3557050622352043
m1_myopsnet_l_care,2,2000,pure_edema,13,0.14019266863127686,16.765113225794348,23.303722579735645,0.20668956355580032,0.1385592336610522,0.20720749838396896,0.027777777777777776,9,91,127,8517,115,136,0.38148022633339956
m1_myopsnet_l_care,2,2500,scar,13,0.4622968502055417,9.256540941998557,16.75148578572178,0.6587215492705619,0.4283914429734532,0.9230769230769231,,3,61,107,9831,28,14,0.6938104939168974
m1_myopsnet_l_care,2,2500,pure_edema,13,0.1428802694381326,16.23972852480986,22.34344455800459,0.26070342318784095,0.12791753303749315,0.27259211376858433,0.12037037037037036,3,172,80,8252,58,136,0.3497711256635216
m1_myopsnet_l_care,2,3000,scar,13,0.31584613098276115,14.600902648699027,23.64479064157692,0.5454189190152221,0.28018455216547866,0.8461538461538461,,8,353,41,6758,39,14,0.5053649522385306
m1_myopsnet_l_care,2,3000,pure_edema,13,0.19040480674074803,26.55578501782037,39.57263991782715,0.186640320907909,0.24490313871088204,0.34099870717517783,0.1898148148148148,14,5891,136,17715,81,136,1.126185785471884
m1_myopsnet_l_care,2,3500,scar,13,0.4413666581962919,13.5469918842242,21.493911169298613,0.45688279840325297,0.477517453198487,0.9230769230769231,,11,363,113,22583,48,14,1.0564873842038467
m1_myopsnet_l_care,2,3500,pure_edema,13,0.20626218337625296,21.55836035288159,27.03645454859812,0.29080425955300526,0.24019288875268918,0.29609169111431555,0.1111111111111111,10,231,144,18667,84,136,0.7648947204864798
m1_myopsnet_l_care,2,4000,scar,13,0.48464027087450157,12.866708285057616,19.721562842298788,0.5625387419975199,0.5487746545345557,1.0,,5,157,146,21802,28,14,1.103779244437233
m1_myopsnet_l_care,2,4000,pure_edema,13,0.19299054100082633,20.17141099811606,26.25315882333134,0.2214469074186437,0.23203551097162817,0.2665481577246283,0.10185185185185186,5,224,152,16782,79,136,0.6703211755492501
m1_myopsnet_l_care,2,4500,scar,13,0.34423949021036526,10.871817445105615,18.73070582969632,0.500382530662883,0.3085565421711021,0.7692307692307693,,7,443,100,10541,43,14,0.563568128905635
m1_myopsnet_l_care,2,4500,pure_edema,13,0.1951643519798076,17.98975896963003,24.44337804933395,0.26950643998082163,0.23946191853120125,0.3509534583063995,0.1785300925925926,8,250,134,20716,66,136,0.7788262131959655
m1_myopsnet_l_care,2,5000,scar,13,0.4187502046468844,11.497483201825917,19.75829766962946,0.47041988157880493,0.4383262335214087,0.8461538461538461,,8,820,111,21088,41,14,0.9702544635161348
m1_myopsnet_l_care,2,5000,pure_edema,13,0.2216070450313756,18.097561273600036,24.072727980011717,0.3148041079242613,0.28685706228238167,0.39726352079293253,0.22747189153439154,8,570,174,27492,84,136,1.2156726429412446
m1_myopsnet_l_care,2,5500,scar,13,0.24173006713290843,14.46651422030295,23.079681549036636,0.3877927525742658,0.18536078127178107,0.8461538461538461,,14,468,78,10404,56,14,0.4484490220676139
m1_myopsnet_l_care,2,5500,pure_edema,13,0.20465565580057346,20.330867244855344,26.387474887926455,0.3145390860185148,0.2278035297111076,0.29005602240896355,0.09986772486772487,7,336,146,16604,63,136,0.7498709113454809
m1_myopsnet_l_care,2,6000,scar,13,0.46269495099275637,14.209547122773536,21.89753862887218,0.40837104918407924,0.5941510471176485,0.8461538461538461,,11,649,115,32336,30,14,1.3724294930446548
m1_myopsnet_l_care,2,6000,pure_edema,13,0.16901009311104948,19.03359054971897,25.255764269771543,0.1845756889172381,0.19319254081195725,0.25,0.08333333333333333,2,26,124,13967,61,136,0.5438644398305307
