variant,step,loss,anatomy_loss,scar_loss,edema_loss,retrieval_loss,edema_supervised_batch_fraction,batch_cases,elapsed_seconds
conditional_dualhead_control,1,3.5706374645233154,1.5484434366226196,1.0230309963226318,0.9854727983474731,0.0,1.0,"Case2022,Case3043",0.7096158936619759
conditional_dualhead_control,1,3.5706374645233154,,,,,,,0.9083438329398632
conditional_dualhead_control,500,1.2255035638809204,0.23075927793979645,0.4902257025241852,0.5030332803726196,-0.0,1.0,"Case3027,Case2030",17.909270329400897
conditional_dualhead_control,1000,1.2134325504302979,0.458074688911438,0.4433768689632416,0.31147265434265137,-0.0,0.5,"Case7001,Case2022",34.823859844356775
conditional_dualhead_control,1500,0.9692373871803284,0.06720283627510071,0.4465382993221283,0.45515015721321106,-0.0,1.0,"Case2026,Case3032",51.16176305897534
conditional_dualhead_control,2000,1.2266018390655518,0.18275491893291473,0.5266261696815491,0.5160511136054993,-0.0,0.5,"Case8010,Case2015",68.04739738069475
conditional_dualhead_control,2500,1.1046439409255981,0.36182594299316406,0.384044885635376,0.3582667112350464,-0.0,1.0,"Case3016,Case3020",84.99505432508886
conditional_dualhead_control,3000,0.938079297542572,0.2689874768257141,0.37904858589172363,0.2895805537700653,-0.0,0.5,"Case2014,Case2005",101.62737825140357
conditional_dualhead_control,3500,1.1451842784881592,0.40703269839286804,0.3296647369861603,0.4077732264995575,-0.0,0.5,"Case3039,Case3033",115.68851684965193
conditional_dualhead_control,4000,0.9607238173484802,0.13330410420894623,0.4488825798034668,0.3777327239513397,-0.0,0.5,"Case3025,Case8002",129.77396891266108
conditional_dualhead_control,4500,0.9222587943077087,0.20596130192279816,0.36734384298324585,0.3485616147518158,-0.0,1.0,"Case2015,Case2016",145.041348868981
conditional_dualhead_control,5000,0.8867268562316895,0.1092759445309639,0.37345802783966064,0.4034896492958069,-0.0,0.5,"Case8030,Case3006",162.25523603335023
conditional_dualhead_control,5000,0.8867268562316895,,,,,,,162.4709606617689
conditional_dualhead_control,5500,0.7660808563232422,0.24298688769340515,0.19089990854263306,0.33165886998176575,-0.0,1.0,"Case3029,Case3037",179.622169110924
conditional_dualhead_control,6000,0.8017446398735046,0.24249602854251862,0.3174043297767639,0.24137112498283386,-0.0,0.5,"Case3037,Case1018",196.96342052146792
conditional_dualhead_control,6500,0.7602039575576782,0.11106399446725845,0.24639299511909485,0.4023369550704956,-0.0,1.0,"Case3041,Case3043",214.11705399304628
conditional_dualhead_control,7000,0.727374792098999,0.1608904004096985,0.2226213961839676,0.3434014320373535,-0.0,1.0,"Case3031,Case2015",231.5803407691419
conditional_dualhead_control,7500,1.1906009912490845,0.34872421622276306,0.37840336561203003,0.46278437972068787,-0.0,0.5,"Case1077,Case3041",248.52917528152466
conditional_dualhead_control,8000,1.2555758953094482,0.24128855764865875,0.5139748454093933,0.5001400709152222,-0.0,0.5,"Case1068,Case2021",264.8437853883952
conditional_dualhead_control,8500,1.0969330072402954,0.1207457035779953,0.47185707092285156,0.5040180087089539,-0.0,0.5,"Case3006,Case8014",281.3890894148499
conditional_dualhead_control,9000,0.8962960243225098,0.394567608833313,0.5010151267051697,-0.0,-0.0,0.0,"Case1022,Case1076",297.9839688166976
conditional_dualhead_control,9500,1.2430881261825562,0.39396893978118896,0.4189737141132355,0.4297371506690979,-0.0,0.5,"Case3041,Case1032",312.0357113722712
conditional_dualhead_control,10000,0.9469203352928162,0.15996935963630676,0.4201194941997528,0.3664308786392212,-0.0,0.5,"Case3014,Case8026",322.9387245681137
conditional_dualhead_control,10000,0.9469203352928162,,,,,,,323.04317756555974
conditional_dualhead_control,10500,1.1388201713562012,0.18289482593536377,0.5252256989479065,0.4296906292438507,-0.0,1.0,"Case2010,Case3032",334.56252037175
conditional_dualhead_control,11000,1.4430272579193115,0.4816987216472626,0.39398467540740967,0.5667858123779297,-0.0,0.5,"Case1022,Case3001",346.0242200046778
conditional_dualhead_control,11500,0.9051735997200012,0.20673447847366333,0.37652891874313354,0.32148951292037964,-0.0,0.5,"Case3017,Case3029",359.10609109699726
conditional_dualhead_control,12000,0.5603765249252319,0.06726478785276413,0.4927482604980469,-0.0,-0.0,0.0,"Case8027,Case8032",372.2635361235589
conditional_dualhead_control,12500,0.890252411365509,0.23291358351707458,0.28468161821365356,0.3719612956047058,-0.0,1.0,"Case3037,Case2018",385.5802716333419
conditional_dualhead_control,13000,0.9554144144058228,0.1879137009382248,0.41067269444465637,0.3563219904899597,-0.0,0.5,"Case3014,Case8012",399.46574313752353
conditional_dualhead_control,13500,1.2053905725479126,0.23778998851776123,0.4672444462776184,0.49999070167541504,-0.0,0.5,"Case3031,Case1037",410.6858645044267
conditional_dualhead_control,14000,0.7831640243530273,0.3225780129432678,0.4598214328289032,-0.0,-0.0,0.0,"Case1036,Case8024",423.4387875981629
conditional_dualhead_control,14500,0.6893000602722168,0.20224371552467346,0.48665034770965576,-0.0,-0.0,0.0,"Case3022,Case1028",439.22606954723597
conditional_dualhead_control,15000,0.8731802105903625,0.2281094640493393,0.3171871304512024,0.3271421492099762,-0.0,1.0,"Case2011,Case2011",456.6095087695867
conditional_dualhead_control,15000,0.8731802105903625,,,,,,,456.8237883616239
conditional_dualhead_control,15500,0.9017635583877563,0.25528302788734436,0.34657788276672363,0.29937219619750977,-0.0,1.0,"Case2014,Case3015",473.8147786259651
conditional_dualhead_control,16000,1.4532686471939087,0.5100744962692261,0.5130112767219543,0.429567813873291,-0.0,0.5,"Case2023,Case7004",490.60767667368054
conditional_dualhead_control,16500,0.7237799763679504,0.26433658599853516,0.45883089303970337,-0.0,-0.0,0.0,"Case1056,Case1019",504.90909502096474
conditional_dualhead_control,17000,1.0016577243804932,0.19296035170555115,0.4333857595920563,0.37490466237068176,-0.0,1.0,"Case2022,Case3014",518.7540250532329
conditional_dualhead_control,17500,0.8240386843681335,0.24762089550495148,0.15797989070415497,0.41781964898109436,-0.0,1.0,"Case3036,Case2021",533.3575702365488
conditional_dualhead_control,18000,1.355332851409912,0.3421424925327301,0.5116705894470215,0.5010533332824707,-0.0,0.5,"Case1067,Case2029",550.2797685880214
conditional_dualhead_control,18500,1.2428088188171387,0.22344018518924713,0.5046876668930054,0.5140677094459534,-0.0,0.5,"Case3001,Case1003",567.310477361083
conditional_dualhead_control,19000,1.0692516565322876,0.124027781188488,0.4447808265686035,0.5002346634864807,-0.0,0.5,"Case3018,Case3007",584.2617785483599
conditional_dualhead_control,19500,0.7519740462303162,0.09874707460403442,0.3504788279533386,0.30235883593559265,-0.0,1.0,"Case2026,Case3010",600.8073930796236
conditional_dualhead_control,20000,1.1053898334503174,0.25266963243484497,0.35444146394729614,0.4977080225944519,-0.0,0.5,"Case1015,Case3019",617.5629838537425
conditional_dualhead_control,20000,1.1053898334503174,,,,,,,617.7727336809039
conditional_dualhead_control,20500,1.0170542001724243,0.20260415971279144,0.4412829279899597,0.3727852404117584,-0.0,1.0,"Case3028,Case3030",634.51815106906
conditional_dualhead_control,21000,1.164207100868225,0.27793994545936584,0.48084989190101624,0.4046629071235657,-0.0,0.5,"Case2030,Case1001",651.7141061536968
conditional_dualhead_control,21500,1.3964753150939941,0.4950941801071167,0.46275585889816284,0.4380080997943878,-0.0,0.5,"Case1078,Case2013",668.6405078284442
conditional_dualhead_control,22000,0.9579474925994873,0.10598035901784897,0.4866553544998169,0.36513423919677734,-0.0,1.0,"Case3002,Case3002",685.4979855529964
conditional_dualhead_control,22500,1.3205301761627197,0.30954086780548096,0.5021107196807861,0.5084009766578674,-0.0,0.5,"Case3043,Case1034",698.7510411571711
conditional_dualhead_control,23000,1.0448905229568481,0.32996121048927307,0.39085152745246887,0.3237174153327942,-0.0,0.5,"Case7008,Case3029",712.3710934855044
conditional_dualhead_control,23500,0.7252070307731628,0.14044779539108276,0.3006897270679474,0.2835957109928131,-0.0,1.0,"Case2015,Case2034",727.9050421528518
conditional_dualhead_control,24000,1.103304147720337,0.14334508776664734,0.49312785267829895,0.466351717710495,-0.0,0.5,"Case2019,Case2023",745.2442249879241
conditional_dualhead_control,24500,0.5589934587478638,0.14428892731666565,0.41439172625541687,-0.0,-0.0,0.0,"Case2024,Case8026",762.3008069414645
conditional_dualhead_control,25000,0.8999873399734497,0.11871565133333206,0.42130762338638306,0.359719455242157,-0.0,0.5,"Case3032,Case3025",779.1950544640422
conditional_dualhead_control,25000,0.8999873399734497,,,,,,,779.4121902976185
conditional_dualhead_control,25500,0.6987263560295105,0.2950768768787384,0.40298590064048767,-0.0,-0.0,0.0,"Case1036,Case8026",796.2254869285971
conditional_dualhead_control,26000,0.8930532336235046,0.13821490108966827,0.4068252742290497,0.34760382771492004,-0.0,1.0,"Case3010,Case3013",812.8604283854365
conditional_dualhead_control,26500,1.0847265720367432,0.17484204471111298,0.3770081698894501,0.532444179058075,-0.0,0.5,"Case3019,Case5006",830.1087286882102
conditional_dualhead_control,27000,0.8764500021934509,0.17276643216609955,0.34860163927078247,0.35444727540016174,-0.0,0.5,"Case2021,Case1005",846.9062927495688
conditional_dualhead_control,27500,0.7343728542327881,0.17137520015239716,0.3383866250514984,0.22420240938663483,-0.0,0.5,"Case3035,Case2025",863.4579909611493
conditional_dualhead_control,28000,1.1757453680038452,0.1795995533466339,0.4647049307823181,0.5308271646499634,-0.0,0.5,"Case2035,Case3027",879.0161785520613
conditional_dualhead_control,28500,0.7662819623947144,0.2576943337917328,0.5083450675010681,-0.0,-0.0,0.0,"Case1012,Case6008",892.1995962075889
conditional_dualhead_control,29000,0.8207383155822754,0.19211238622665405,0.3827126920223236,0.24550017714500427,-0.0,0.5,"Case3032,Case2015",905.87974505499
conditional_dualhead_control,29500,0.9369920492172241,0.08071764558553696,0.3689456582069397,0.48707032203674316,-0.0,1.0,"Case3018,Case3032",922.5790313575417
conditional_dualhead_control,30000,0.8580340147018433,0.1513654738664627,0.2771705985069275,0.4289175271987915,-0.0,1.0,"Case3043,Case3018",939.4790772665292
conditional_dualhead_control,30000,0.8580340147018433,,,,,,,939.676466004923
conditional_dualhead_control,30500,1.293280839920044,0.2725180387496948,0.5074834823608398,0.512998640537262,-0.0,0.5,"Case2030,Case7010",956.1438854206353
conditional_dualhead_control,31000,1.0799144506454468,0.21896213293075562,0.43447956442832947,0.42609089612960815,-0.0,0.5,"Case3017,Case3009",973.1512502320111
conditional_dualhead_control,31500,0.9899730086326599,0.30523592233657837,0.3881758153438568,0.2960343658924103,-0.0,0.5,"Case1011,Case2010",989.8525368496776
conditional_dualhead_control,32000,0.8435834050178528,0.18997099995613098,0.33825618028640747,0.3149968981742859,-0.0,0.5,"Case2034,Case2027",1006.6384385377169
conditional_dualhead_control,32500,0.9885951280593872,0.18324027955532074,0.4153590500354767,0.3892686665058136,-0.0,1.0,"Case3009,Case2022",1023.7911647241563
conditional_dualhead_control,33000,0.8473130464553833,0.04172411933541298,0.343971848487854,0.46142643690109253,-0.0,0.5,"Case3039,Case3041",1040.4706198628992
conditional_dualhead_control,33500,0.5988568663597107,0.16945114731788635,0.42920681834220886,-0.0,-0.0,0.0,"Case5007,Case3014",1057.5249597411603
conditional_dualhead_control,34000,0.9140201210975647,0.27181580662727356,0.34273722767829895,0.29911863803863525,-0.0,1.0,"Case3015,Case2029",1070.6991974413395
conditional_dualhead_control,34500,0.8307469487190247,0.16501852869987488,0.30860036611557007,0.3566022217273712,-0.0,1.0,"Case2026,Case2011",1080.8185865897685
conditional_dualhead_control,35000,1.0601494312286377,0.35555005073547363,0.3956259489059448,0.30855509638786316,-0.0,0.5,"Case2034,Case1048",1090.337377961725
conditional_dualhead_control,35000,1.0601494312286377,,,,,,,1090.4516980610788
conditional_dualhead_control,35500,1.0424435138702393,0.28114554286003113,0.32938921451568604,0.4312165379524231,-0.0,0.5,"Case1051,Case3041",1101.3327416907996
conditional_dualhead_control,36000,0.7895186543464661,0.12772367894649506,0.3367197513580322,0.3245284855365753,-0.0,0.5,"Case8002,Case2021",1112.1224023886025
conditional_dualhead_control,36500,0.7333888411521912,0.08603617548942566,0.44227859377861023,0.2046651542186737,-0.0,1.0,"Case3008,Case3010",1122.9257279727608
