case_count,comparison_tier,empty_predictions,gt_positive_cases,mean_Dice,mean_HD95,mean_component_count,mean_exact_HD,mean_precision,mean_recall,mean_remote_FP_mm3,mean_volume_ratio,model_id,pathology,source_path,source_status,status,subgroup
7,,0,7,0.30087046426496444,25.226960697393714,2.857142857142857,36.9240142606395,0.3179362382415814,0.3462582333242704,4751.093947579938,1.2272533235960565,mosaic_fold0_random_init,pure_edema,,,,CenterB
9,,0,9,0.19917472654504798,20.88323059140807,4.222222222222222,28.74292704870772,0.1787306360464661,0.31227725098002246,466.10004396991616,2.635816889217626,mosaic_fold0_random_init,pure_edema,,,,CenterC
16,,0,16,0.24366661179751148,22.783612512776788,3.625,32.32215270392787,0.23963308700682906,0.3271439307556309,2340.784876799301,2.0195703292581895,mosaic_fold0_random_init,pure_edema,,,,GT-positive
16,,0,16,0.24366661179751148,22.783612512776788,3.625,32.32215270392787,0.23963308700682906,0.3271439307556309,2340.784876799301,2.0195703292581895,mosaic_fold0_random_init,pure_edema,,,,T2-present
44,,0,16,0.08860604065364053,22.783612512776788,3.6136363636363638,32.32215270392787,0.08713930436611966,0.7553250657293205,45423.8609466331,2.0195703292581895,mosaic_fold0_random_init,pure_edema,,,,all
4,,0,0,0.0,,3.75,,0.0,1.0,15874.774932861328,,mosaic_fold0_random_init,pure_edema,,,,modality:C0+LGE
16,,0,16,0.24366661179751148,22.783612512776788,3.625,32.32215270392787,0.23963308700682906,0.3271439307556309,2340.784876799301,2.0195703292581895,mosaic_fold0_random_init,pure_edema,,,,modality:C0+LGE+T2
24,,0,0,0.0,,3.5833333333333335,,0.0,1.0,79070.7593288176,,mosaic_fold0_random_init,pure_edema,,,,modality:LGE-only
7,,0,7,0.5323205622051889,24.15095655316134,1.0,36.517019531764966,0.4674484788350012,0.6438358524342949,1173.704169737915,1.2599046772941616,mosaic_fold0_random_init,scar,,,,CenterB
9,,0,9,0.5695987862597076,17.9903120911055,1.0,24.480361905643534,0.5490852471688581,0.6749065163920283,218.87566681028545,1.4177513023202235,mosaic_fold0_random_init,scar,,,,CenterC
43,,0,43,0.34710622576988265,28.074713795326204,1.0,38.946136113534635,0.315352169143653,0.43307711251923525,6229.370542211441,1.7812866306736426,mosaic_fold0_random_init,scar,,,,GT-positive
16,,0,16,0.5532895632358557,20.68559404325493,1.0,29.746399617071656,0.5133691610227957,0.6613131009105199,636.6131368411234,1.3486934038713216,mosaic_fold0_random_init,scar,,,,T2-present
44,,0,43,0.33921744791147623,28.074713795326204,1.0,38.946136113534635,0.30818507439038817,0.4459617235983435,6087.793938979362,1.7812866306736426,mosaic_fold0_random_init,scar,,,,all
4,,0,3,0.10295688532909446,39.828771589517395,1.0,46.80621207355154,0.1005223336374694,0.36608312378007846,8495.521545410156,0.8291218239868569,mosaic_fold0_random_init,scar,,,,modality:C0+LGE
16,,0,16,0.5532895632358557,20.68559404325493,1.0,29.746399617071656,0.5133691610227957,0.6613131009105199,636.6131368411234,1.3486934038713216,mosaic_fold0_random_init,scar,,,,modality:C0+LGE+T2
24,,0,24,0.23587946479228683,31.531536405766488,1.0,44.096784282841156,0.20600614009426965,0.31570723869327005,9320.626539333054,2.188702716044372,mosaic_fold0_random_init,scar,,,,modality:LGE-only
7,,0,7,0.5029744773313501,15.933514343740368,7.714285714285714,24.054493555543814,0.5664575663130916,0.49456750520856435,541.7742047991071,0.915974670131474,nnunet_fold0,pure_edema,,,,CenterB
9,,0,9,0.3100170023938187,23.18333127231124,10.222222222222221,33.928971354374056,0.34097625003116505,0.40340466764768235,0.0,2.1536166132195835,nnunet_fold0,pure_edema,,,,CenterC
16,,0,16,0.3944358976789887,20.011536366061485,9.125,29.60888731738582,0.43962432590450795,0.4432884090805682,237.02621459960938,1.6121482631185355,nnunet_fold0,pure_edema,,,,GT-positive
16,,0,16,0.3944358976789887,20.011536366061485,9.125,29.60888731738582,0.43962432590450795,0.4432884090805682,237.02621459960938,1.6121482631185355,nnunet_fold0,pure_edema,,,,T2-present
