stage,local_step,total_step,teacher_roi_fraction,loss,scar_active_loss,edema_active_loss,scar_p_coarse,edema_p_coarse,scar_refiner,edema_refiner,scar_proposal,edema_proposal,scar_utility,edema_utility,containment,identity,remote,grad_norm,elapsed_seconds
PREFLIGHT,1,1,0.75,8.806192398071289,3.5169718265533447,4.805047035217285,1.6099655628204346,2.0551273822784424,1.445359706878662,1.57444167137146,0.13197962939739227,0.163741797208786,0.7913134694099426,2.187213897705078,0.014657171443104744,0.03194580599665642,0.003879152936860919,34.92438888549805,1.0
PREFLIGHT,25,25,0.75,6.329342842102051,2.7130563259124756,3.530555248260498,1.4461774826049805,1.8793675899505615,0.9784790873527527,0.7603274583816528,0.05766045302152634,0.10188330709934235,0.5191388130187988,1.6798368692398071,0.026076948270201683,0.014157301746308804,0.0020937465596944094,23.807371139526367,9.0
PREFLIGHT,50,50,0.75,4.461360454559326,1.8344557285308838,2.529252052307129,1.3735690116882324,1.7779738903045654,0.2357673943042755,0.14325176179409027,0.068819560110569,0.1008482426404953,0.38141930103302,1.1152045726776123,0.026487354189157486,0.02711998112499714,0.003803163766860962,16.59260368347168,17.4
PREFLIGHT,75,75,0.75,4.586184978485107,1.9082458019256592,2.6278605461120605,1.3341734409332275,1.6866896152496338,0.41636866331100464,0.5363027453422546,0.0403113029897213,0.07205516844987869,0.27509605884552,0.7376807332038879,0.03568914160132408,0.007633551023900509,0.00101114297285676,15.419225692749023,25.7
PREFLIGHT,100,100,0.75,3.6339659690856934,1.5689913034439087,2.000561237335205,1.277514934539795,1.607682704925537,0.145975261926651,0.10478031635284424,0.04596219211816788,0.0772237703204155,0.24504022300243378,0.4989725947380066,0.02396426722407341,0.012790045700967312,0.0015285112895071507,12.998908042907715,34.0
PREFLIGHT,125,125,0.75,4.0740065574646,1.736820936203003,2.302543878555298,1.269989252090454,1.6066513061523438,0.366554856300354,0.5246331095695496,0.02949768304824829,0.05731325224041939,0.17105615139007568,0.2852054238319397,0.023685477674007416,0.0036904653534293175,0.00042819103691726923,11.152092933654785,42.4
PREFLIGHT,150,150,0.75,3.202285051345825,1.3970959186553955,1.7573869228363037,1.211838960647583,1.5153220891952515,0.09187668561935425,0.08606454730033875,0.031640395522117615,0.06096440926194191,0.15512023866176605,0.2510361671447754,0.025616072118282318,0.0057259490713477135,0.0005913679488003254,9.290139198303223,50.7
PREFLIGHT,175,175,0.75,3.7851402759552,1.6115423440933228,2.145784854888916,1.2113542556762695,1.5349620580673218,0.32887205481529236,0.5223478674888611,0.021879950538277626,0.04724661633372307,0.12075208872556686,0.12970364093780518,0.025054097175598145,0.001674665603786707,0.00017308193491771817,5.098998546600342,59.0
PREFLIGHT,200,200,0.75,2.936704158782959,1.298277735710144,1.5993107557296753,1.1528831720352173,1.4339605569839478,0.07820991426706314,0.06481323391199112,0.023030702024698257,0.0483580157160759,0.1113385260105133,0.15271598100662231,0.023668667301535606,0.0025718840770423412,0.0002383609680691734,6.087374687194824,67.4
PREFLIGHT,225,225,0.75,3.6264469623565674,1.5404831171035767,2.063243865966797,1.1700433492660522,1.4809383153915405,0.3117196559906006,0.521431028842926,0.016669902950525284,0.03734227269887924,0.10077031701803207,0.08440673351287842,0.02028306946158409,0.0008194920956157148,8.234232518589124e-05,9.912574768066406,75.7
PREFLIGHT,250,250,0.75,2.8043179512023926,1.260880947113037,1.5149673223495483,1.116179347038269,1.374359130859375,0.08886562287807465,0.06119786202907562,0.018092580139636993,0.03778489679098129,0.09357920289039612,0.1210358738899231,0.020769428461790085,0.0014232929097488523,0.0001218054530909285,9.835440635681152,84.0
PREFLIGHT,275,275,0.75,3.4877350330352783,1.4730498790740967,1.9975464344024658,1.134974479675293,1.4337067604064941,0.2889232337474823,0.5178467631340027,0.01266391295939684,0.029465284198522568,0.08564036339521408,0.06252062320709229,0.019594427198171616,0.0004431976121850312,4.359389640740119e-05,4.497975826263428,92.4
PREFLIGHT,300,300,0.75,2.636317729949951,1.1708587408065796,1.4478076696395874,1.074579119682312,1.325958013534546,0.04602556303143501,0.056966688483953476,0.013421072624623775,0.02838478609919548,0.0870872512459755,0.10138136148452759,0.016680879518389702,0.0007754839607514441,6.229249993339181e-05,6.300590515136719,100.7
