variant,model_variant,step,stage,loss,baseline_gate_status,batch_cases,evidence_loss,final_loss,scar_proposal_loss,edema_proposal_loss,proposal_margin_loss,scar_component_ranking_loss,edema_component_ranking_loss,component_proposal_ranking_loss,roi_cover_loss,roi_remote_loss,semantic_retrieval_loss,baseline_preservation_loss,baseline_preserve_voxels,baseline_preserve_gate_mean,proposal_weight,refine_weight,edema_supervised_batch_fraction,anchor_present_batch_fraction,component_present_batch_fraction,baseline_gate_mean,baseline_residual_abs_mean,encoder_profile,encoder_scale_channels,p_union_mean,p_lv_mean,p_rv_mean,union_distance_mean,lv_distance_mean,rv_distance_mean,scar_anatomy_soft_gate_mean,edema_anatomy_soft_gate_mean,empty_union_fallback_fraction,prototype_source_scar,prototype_source_edema,elapsed_seconds,local_refinement_status,anatomy_roi_prior_status
closed_gate_identity_fallback,closed_gate_identity_fallback,0,identity_export_only,,closed_gate_identity_exact_nnunet_export,"Case1002,Case2002,Case3004,Case3011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nnunet_context_identity,nnunet_context_only_no_srr_correction,0,identity_export_only,,closed_gate_identity_exact_nnunet_export,"Case1002,Case2002,Case3004,Case3011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
srr_propref_no_proto_cascade,,1,evidence_warmup,2.6778416633605957,baseline_preserving_residual,"Case1015,Case1015",2.6751365661621094,2.664321184158325,0.46359366178512573,-0.0,0.25,2.7184765338897705,-0.0,1.3592382669448853,0.2563849687576294,0.04462580010294914,0.003165893256664276,0.027051132172346115,149674.0,0.10791725665330887,0.0,0.0,0.0,1.0,1.0,0.01798621006309986,0.0718708410859108,tiny_3scale,4;8;16,0.7982587218284607,0.31075748801231384,0.27343136072158813,0.11583947390317917,0.44150006771087646,0.5735890865325928,0.5816537737846375,0.0,0.0,no_proto_variant,no_proto_variant,4.832958807004616,,
srr_propref_no_proto_cascade,,2,evidence_warmup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.85576887615025,,
srr_propref_no_proto_cascade,,3,proposal_dictionary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.702240996994078,,
srr_propref_no_proto_cascade,,4,proposal_dictionary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.68771968409419,,
srr_propref_no_proto_cascade,,6,soft_roi_refinement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.99165268312208,,
srr_propref_scar_precision,,1,evidence_warmup,3.070142984390259,baseline_preserving_residual,"Case1015,Case1015",3.0674378871917725,3.0467607975006104,0.3243198096752167,-0.0,0.3888574242591858,5.276547431945801,-0.0,2.6382737159729004,0.246506005525589,0.03383422642946243,0.003165893256664276,0.027051087468862534,149674.0,0.10791725665330887,0.0,0.0,0.0,1.0,1.0,0.01798621006309986,0.0718705877661705,tiny_3scale,4;8;16,0.7982587218284607,0.31075748801231384,0.27343136072158813,0.11583947390317917,0.44150006771087646,0.5735890865325928,0.5816537737846375,0.0,0.0,train_oof_runtime_features_fold0,train_oof_runtime_features_fold0,4.856882995925844,,
srr_propref_scar_precision,,2,evidence_warmup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.19775131205097,,
srr_propref_scar_precision,,3,proposal_dictionary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.675472592003644,,
srr_propref_scar_precision,,4,proposal_dictionary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.02824154589325,,
srr_propref_scar_precision,,6,soft_roi_refinement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.17376683303155,,
srr_propref_shared_dual_dict,,1,evidence_warmup,2.8086087703704834,baseline_preserving_residual,"Case1015,Case1015",2.805903673171997,2.793334484100342,0.32432109117507935,-0.0,0.3888697624206543,5.276547431945801,-0.0,2.6382737159729004,0.24700164794921875,0.03384093940258026,0.003165893256664276,0.02705109491944313,149674.0,0.10791725665330887,0.0,0.0,0.0,1.0,1.0,0.01798621006309986,0.07187064737081528,tiny_3scale,4;8;16,0.7982587218284607,0.31075748801231384,0.27343136072158813,0.11583947390317917,0.44150006771087646,0.5735890865325928,0.5816537737846375,0.0,0.0,train_oof_runtime_features_fold0,train_oof_runtime_features_fold0,5.040204250020906,,
srr_propref_shared_dual_dict,,2,evidence_warmup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.723225564928725,,
srr_propref_shared_dual_dict,,3,proposal_dictionary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.62083022389561,,
srr_propref_shared_dual_dict,,4,proposal_dictionary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.93478585081175,,
srr_propref_shared_dual_dict,,6,soft_roi_refinement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.80774952680804,,
srr_v25_no_anatomy_roi,srr_propref_shared_dual_dict,1,evidence_warmup,2.8086087703704834,baseline_preserving_residual,"Case1015,Case1015",2.805903673171997,2.80179500579834,0.32393431663513184,-0.0,0.3888697624206543,5.245721340179443,-0.0,2.6228606700897217,0.26688095927238464,0.07347258925437927,0.003165893256664276,0.027051370590925217,149674.0,0.10791725665330887,0.0,0.0,0.0,1.0,1.0,0.01798621006309986,0.0718715637922287,tiny_3scale,4;8;16,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,train_oof_runtime_features_fold0,train_oof_runtime_features_fold0,4.655224312096834,enabled_crop_soft_roi,disabled_neutral_context
srr_v25_no_anatomy_roi,srr_propref_shared_dual_dict,2,evidence_warmup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.246863873908296,,
srr_v25_no_anatomy_roi,srr_propref_shared_dual_dict,3,proposal_dictionary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.58941727411002,,
srr_v25_no_anatomy_roi,srr_propref_shared_dual_dict,4,proposal_dictionary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.37771109002642,,
srr_v25_no_anatomy_roi,srr_propref_shared_dual_dict,6,soft_roi_refinement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.4061194609385,,
srr_v25_no_anchor,srr_propref_shared_dual_dict,1,evidence_warmup,2.8047215938568115,anchor_missing_passthrough,"Case1015,Case1015",2.8047215938568115,2.799762010574341,0.5475165843963623,-0.0,0.388872355222702,1.6962765455245972,-0.0,0.8481382727622986,0.26682987809181213,0.03169170394539833,0.0035934532061219215,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,tiny_3scale,4;8;16,0.7978956699371338,0.311620831489563,0.27242711186408997,0.11690846085548401,0.4427644610404968,0.5789320468902588,0.6005248427391052,0.0,0.0,train_runtime_features_fold0_no_nnunet_anchor,train_runtime_features_fold0_no_nnunet_anchor,4.854773381957784,enabled_crop_soft_roi,enabled_distance_soft_gates
srr_v25_no_anchor,srr_propref_shared_dual_dict,2,evidence_warmup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.079651078907773,,
srr_v25_no_anchor,srr_propref_shared_dual_dict,3,proposal_dictionary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.16778528993018,,
srr_v25_no_anchor,srr_propref_shared_dual_dict,4,proposal_dictionary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.35594720998779,,
srr_v25_no_anchor,srr_propref_shared_dual_dict,6,soft_roi_refinement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.71365652093664,,
srr_v25_no_local_refine,srr_propref_shared_dual_dict,1,evidence_warmup,2.808608055114746,baseline_preserving_residual,"Case1015,Case1015",2.805903673171997,2.0631792545318604,0.32432109117507935,-0.0,0.3888697624206543,5.276547431945801,-0.0,2.6382737159729004,0.24700164794921875,0.03384093940258026,0.003165893256664276,0.0270428154617548,149674.0,0.10791725665330887,0.0,0.0,0.0,1.0,1.0,0.01798621006309986,0.06514367461204529,tiny_3scale,4;8;16,0.7982587218284607,0.31075748801231384,0.27343136072158813,0.11583947390317917,0.44150006771087646,0.5735890865325928,0.5816537737846375,0.0,0.0,train_oof_runtime_features_fold0,train_oof_runtime_features_fold0,4.469432043842971,disabled_bypass_to_proposal_logits,enabled_distance_soft_gates
srr_v25_no_local_refine,srr_propref_shared_dual_dict,2,evidence_warmup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.44354076893069,,
srr_v25_no_local_refine,srr_propref_shared_dual_dict,3,proposal_dictionary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.919304177863523,,
srr_v25_no_local_refine,srr_propref_shared_dual_dict,4,proposal_dictionary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.28723713499494,,
srr_v25_no_local_refine,srr_propref_shared_dual_dict,6,soft_roi_refinement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.9577774759382,,
