C,f1,fn,fp,harmful_retained_fp,helpful_retained_tp,precision,recall,score,threshold,tn,tp
0.05,0.9295039164490861,18,9,9,178,0.9518716577540107,0.9081632653061225,155.5,0.3,15,178
0.05,0.9202127659574467,23,7,7,173,0.9611111111111111,0.8826530612244898,153.25,0.35,17,173
0.05,0.9051490514905149,29,6,6,167,0.9653179190751445,0.8520408163265306,147.75,0.4,18,167
0.05,0.8839779005524863,36,6,6,160,0.963855421686747,0.8163265306122449,139.0,0.45,18,160
0.05,0.8788732394366197,40,3,3,156,0.9811320754716981,0.7959183673469388,140.0,0.5,21,156
0.05,0.8587896253602306,47,2,2,149,0.9867549668874173,0.7602040816326531,133.25,0.55,22,149
0.05,0.8108108108108109,61,2,2,135,0.9854014598540146,0.6887755102040817,115.75,0.6,22,135
0.05,0.7625,74,2,2,122,0.9838709677419355,0.6224489795918368,99.5,0.65,22,122
0.05,0.6973684210526316,90,2,2,106,0.9814814814814815,0.5408163265306123,79.5,0.7,22,106
0.1,0.9319371727748691,18,8,8,178,0.956989247311828,0.9081632653061225,157.5,0.3,16,178
0.1,0.9173333333333333,24,7,7,172,0.9608938547486033,0.8775510204081632,152.0,0.35,17,172
0.1,0.9027027027027027,29,7,7,167,0.9597701149425287,0.8520408163265306,145.75,0.4,17,167
0.1,0.899182561307902,31,6,6,165,0.9649122807017544,0.8418367346938775,145.25,0.45,18,165
0.1,0.8839779005524863,36,6,6,160,0.963855421686747,0.8163265306122449,139.0,0.5,18,160
0.1,0.8788732394366197,40,3,3,156,0.9811320754716981,0.7959183673469388,140.0,0.55,21,156
0.1,0.8488372093023255,50,2,2,146,0.9864864864864865,0.7448979591836735,129.5,0.6,22,146
0.1,0.8072289156626505,62,2,2,134,0.9852941176470589,0.6836734693877551,114.5,0.65,22,134
0.1,0.7701863354037266,72,2,2,124,0.9841269841269841,0.6326530612244898,102.0,0.7,22,124
0.2,0.9399477806788511,16,7,7,180,0.9625668449197861,0.9183673469387755,162.0,0.3,17,180
0.2,0.9173333333333333,24,7,7,172,0.9608938547486033,0.8775510204081632,152.0,0.35,17,172
0.2,0.9056603773584904,28,7,7,168,0.96,0.8571428571428571,147.0,0.4,17,168
0.2,0.8967391304347827,31,7,7,165,0.9593023255813954,0.8418367346938775,143.25,0.45,17,165
0.2,0.8961748633879782,32,6,6,164,0.9647058823529412,0.8367346938775511,144.0,0.5,18,164
0.2,0.8919667590027699,35,4,4,161,0.9757575757575757,0.8214285714285714,144.25,0.55,20,161
0.2,0.8693181818181819,43,3,3,153,0.9807692307692307,0.7806122448979592,136.25,0.6,21,153
0.2,0.8396501457725947,52,3,3,144,0.9795918367346939,0.7346938775510204,125.0,0.65,21,144
0.2,0.8108108108108109,61,2,2,135,0.9854014598540146,0.6887755102040817,115.75,0.7,22,135
0.5,0.9371727748691099,17,7,7,179,0.9623655913978495,0.9132653061224489,160.75,0.3,17,179
0.5,0.923076923076923,22,7,7,174,0.9613259668508287,0.8877551020408163,154.5,0.35,17,174
0.5,0.9115281501340482,26,7,7,170,0.96045197740113,0.8673469387755102,149.5,0.4,17,170
0.5,0.9027027027027027,29,7,7,167,0.9597701149425287,0.8520408163265306,145.75,0.45,17,167
0.5,0.8937329700272479,32,7,7,164,0.9590643274853801,0.8367346938775511,142.0,0.5,17,164
0.5,0.8956043956043956,33,5,5,163,0.9702380952380952,0.8316326530612245,144.75,0.55,19,163
0.5,0.8913649025069638,36,3,3,160,0.9815950920245399,0.8163265306122449,145.0,0.6,21,160
0.5,0.8788732394366197,40,3,3,156,0.9811320754716981,0.7959183673469388,140.0,0.65,21,156
0.5,0.8430232558139535,51,3,3,145,0.9797297297297297,0.7397959183673469,126.25,0.7,21,145
1.0,0.9399477806788511,16,7,7,180,0.9625668449197861,0.9183673469387755,162.0,0.3,17,180
1.0,0.9287598944591029,20,7,7,176,0.9617486338797814,0.8979591836734694,157.0,0.35,17,176
1.0,0.9202127659574467,23,7,7,173,0.9611111111111111,0.8826530612244898,153.25,0.4,17,173
1.0,0.9056603773584904,28,7,7,168,0.96,0.8571428571428571,147.0,0.45,17,168
1.0,0.8997289972899729,30,7,7,166,0.9595375722543352,0.8469387755102041,144.5,0.5,17,166
1.0,0.8986301369863015,32,5,5,164,0.9704142011834319,0.8367346938775511,146.0,0.55,19,164
1.0,0.8895027624309392,35,5,5,161,0.9698795180722891,0.8214285714285714,142.25,0.6,19,161
1.0,0.8851540616246498,38,3,3,158,0.9813664596273292,0.8061224489795918,142.5,0.65,21,158
1.0,0.8660968660968661,44,3,3,152,0.9806451612903225,0.7755102040816326,135.0,0.7,21,152
2.0,0.9427083333333334,15,7,7,181,0.9627659574468085,0.923469387755102,163.25,0.3,17,181
2.0,0.9287598944591029,20,7,7,176,0.9617486338797814,0.8979591836734694,157.0,0.35,17,176
2.0,0.923076923076923,22,7,7,174,0.9613259668508287,0.8877551020408163,154.5,0.4,17,174
2.0,0.9168900804289545,25,6,6,171,0.9661016949152542,0.8724489795918368,152.75,0.45,18,171
2.0,0.908108108108108,28,6,6,168,0.9655172413793104,0.8571428571428571,149.0,0.5,18,168
2.0,0.9046321525885558,30,5,5,166,0.9707602339181286,0.8469387755102041,148.5,0.55,19,166
2.0,0.8986301369863015,32,5,5,164,0.9704142011834319,0.8367346938775511,146.0,0.6,19,164
2.0,0.8857938718662953,37,4,4,159,0.9754601226993865,0.8112244897959183,141.75,0.65,20,159
2.0,0.8693181818181819,43,3,3,153,0.9807692307692307,0.7806122448979592,136.25,0.7,21,153
