loss_name,raw_value,total_ratio
anatomy_ce,3.640180826187134,0.32815712949212156
anatomy_dice,0.9999855160713196,0.09014727348898806
distance,0.8118104338645935,0.07318355718822846
edema_binary_t2_gated,0.9938217997550964,0.0895916232205221
edema_boundary,0.4074763357639313,0.03673341272453193
edema_context,1.4934430122375488,0.1346317656612884
edema_dense,0.9938217997550964,0.0895916232205221
edema_extent,1.4847118854522705,0.13384466698682781
edema_extent_area,0.08213427662849426,0.007404288341233336
edema_extent_presence,2.887289524078369,0.26028504831905935
injury,1.04586923122406,0.09428362521817642
no_t2_edema_exclusive_total_loss,5.435707092285156,0.49002127128740725
relation,0.010384498164057732,0.0009361477551385265
scar_center,0.18191871047019958,0.01639971327779861
scar_component,0.9920350909233093,0.08943055395790207
scar_context,1.2092682123184204,0.109013811205675
scar_dense,1.0033355951309204,0.09044927835640058
scar_extent,0.44500160217285156,0.04011626217519418
scar_extent_area,0.15537966787815094,0.01400725629494099
scar_extent_presence,0.7346235513687134,0.06622526939876588
six_class_ce,3.6404030323028564,0.3281771610577423
six_class_dice,0.9999850392341614,0.09014723050279573
wall,2.765258550643921,0.2492841294462123
