JobID,JobName,Partition,State,ExitCode,Elapsed
61517360,M1_MYOPSNET_L_CARE,volta-gpu,COMPLETED,0:0,00:03:03
61517360.batch,batch,,COMPLETED,0:0,00:03:03
61517360.extern,extern,,COMPLETED,0:0,00:03:03
61517361,M2_I_MMSEG_CARE,volta-gpu,COMPLETED,0:0,00:00:08
61517361.batch,batch,,COMPLETED,0:0,00:00:08
61517361.extern,extern,,COMPLETED,0:0,00:00:08
61517362,M3_CARE_TDS,a100-gpu,CANCELLED by 397557,0:0,00:00:00
61517363,M0_TD_NNUNET,htzhulab,FAILED,1:0,00:02:41
61517363.batch,batch,,FAILED,1:0,00:02:41
61517363.extern,extern,,COMPLETED,0:0,00:02:41
61528800,M0TDNNUNet,htzhulab,COMPLETED,0:0,00:25:46
61528800.batch,batch,,COMPLETED,0:0,00:25:46
61528800.extern,extern,,COMPLETED,0:0,00:25:46
61546557,M0EvalF3,htzhulab,FAILED,1:0,00:00:22
61546557.batch,batch,,FAILED,1:0,00:00:22
61546557.extern,extern,,COMPLETED,0:0,00:00:22
