JOBID|USER|NAME|PARTITION|STATE|TIME|TIME_LEFT|NODES|NODELIST(REASON)|TRES_PER_NODE
60818065_[5-9]|minhengc|myelin_devext|volta-gpu|PENDING|0:00|3-00:00:00|1|(JobHeldUser)|gres/gpu:1
60818819_[0-9]|minhengc|ddpm_dx|volta-gpu|PENDING|0:00|11-00:00:00|1|(JobHeldUser)|gres/gpu:1
60818818_[0-9]|minhengc|latfm_dx|volta-gpu|PENDING|0:00|3-00:00:00|1|(JobHeldUser)|gres/gpu:1
60818817_[0-9]|minhengc|myelin_devext|volta-gpu|PENDING|0:00|6-00:00:00|1|(JobHeldUser)|gres/gpu:1
60818816_[0-9]|minhengc|myelin_devext|volta-gpu|PENDING|0:00|6-00:00:00|1|(JobHeldUser)|gres/gpu:1
60818815_[0-9]|minhengc|myelin_devext|volta-gpu|PENDING|0:00|6-00:00:00|1|(JobHeldUser)|gres/gpu:1
60818814_[0-9]|minhengc|myelin_devext|volta-gpu|PENDING|0:00|6-00:00:00|1|(JobHeldUser)|gres/gpu:1
60818813_[0-9]|minhengc|myelin_devext|volta-gpu|PENDING|0:00|6-00:00:00|1|(JobHeldUser)|gres/gpu:1
60818812_[0-9]|minhengc|myelin_devext|volta-gpu|PENDING|0:00|6-00:00:00|1|(JobHeldUser)|gres/gpu:1
60818811_[0-9]|minhengc|myelin_devext|volta-gpu|PENDING|0:00|6-00:00:00|1|(JobHeldUser)|gres/gpu:1
60818810_[0-9]|minhengc|myelin_devext|volta-gpu|PENDING|0:00|6-00:00:00|1|(JobHeldUser)|gres/gpu:1
60818809_[0-9]|minhengc|myelin_devext|volta-gpu|PENDING|0:00|3-00:00:00|1|(JobHeldUser)|gres/gpu:1
60818808_[0-9]|minhengc|myelin_devext|volta-gpu|PENDING|0:00|3-00:00:00|1|(JobHeldUser)|gres/gpu:1
60818807_[0-9]|minhengc|myelin_devext|volta-gpu|PENDING|0:00|3-00:00:00|1|(JobHeldUser)|gres/gpu:1
60818806_[0-9]|minhengc|myelin_devext|volta-gpu|PENDING|0:00|3-00:00:00|1|(JobHeldUser)|gres/gpu:1
60818592_[0-9]|minhengc|myelin_devext|volta-gpu|PENDING|0:00|5-00:00:00|1|(JobHeldUser)|gres/gpu:1
60818066_[0-9]|minhengc|myelin_devext|volta-gpu|PENDING|0:00|3-00:00:00|1|(JobHeldUser)|gres/gpu:1
61476476_7|weitongz|sft12_bestofn|volta-gpu|RUNNING|1:29:34|2:30:26|1|g0311|gres/gpu:tesla_v100-sxm2-16gb:1
61486138_8|weitongz|sft12_bestofn|volta-gpu|RUNNING|1:29:34|2:30:26|1|g0301|gres/gpu:tesla_v100-sxm2-16gb:1
61488936_8|weitongz|sft12_bestofn|volta-gpu|RUNNING|2:35:50|1:24:10|1|g0306|gres/gpu:tesla_v100-sxm2-16gb:1
61352998|nanijin|bcp1215a42b37_v_b2|volta-gpu|RUNNING|1-14:20:29|9:39:31|1|g0314|gres/gpu:1
61352760|nanijin|bcp1215a42_v_b2|volta-gpu|RUNNING|1-16:00:29|7:59:31|1|g0301|gres/gpu:1
61352974|nanijin|bcp1215_v_b2|volta-gpu|RUNNING|1-14:17:11|9:42:49|1|g0316|gres/gpu:1
61432318|nanijin|bcp1215b37_lr1e2_v|volta-gpu|RUNNING|11:24:26|1-12:35:34|1|g0315|gres/gpu:1
61432317|nanijin|bcp1215b37_lr1e4_v|volta-gpu|RUNNING|11:27:09|1-12:32:51|1|g0308|gres/gpu:1
61430508|nanijin|bcp1215_lr5e4_v|volta-gpu|RUNNING|20:14:21|1-03:45:39|1|g0302|gres/gpu:1
61430506|nanijin|bcp1215_lr5e3_v|volta-gpu|RUNNING|22:51:32|1-01:08:28|1|g0310|gres/gpu:1
61430504|nanijin|bcp1215_lr1e1_v|volta-gpu|RUNNING|23:27:52|1-00:32:08|1|g0309|gres/gpu:1
61430502|nanijin|bcp1215_lr1e2_v|volta-gpu|RUNNING|23:28:02|1-00:31:58|1|g0303|gres/gpu:1
61430500|nanijin|bcp1215_lr1e4_v|volta-gpu|RUNNING|23:32:29|1-00:27:31|1|g0304|gres/gpu:1
61427783|nanijin|bcp1447lr5_v_b2_r|volta-gpu|RUNNING|7:07:00|1-16:53:00|1|g0313|gres/gpu:1
61427785|nanijin|bcp_art34_v_b2|volta-gpu|RUNNING|8:22|1-23:51:38|1|g0312|gres/gpu:1
61427784|nanijin|bcp_a34b14_v_b2|volta-gpu|RUNNING|6:50:03|1-17:09:57|1|g0305|gres/gpu:1
59775810|solomono|75E5-RFD-backbone-gen|volta-gpu|RUNNING|10-13:19:27|10:40:33|1|g0301|gres/gpu:1
61196284_8|minhengc|stfcgla_ci|volta-gpu|RUNNING|1-02:31:10|1-21:28:50|1|g0305|gres/gpu:1
61459415|kirikot|0055_7|volta-gpu|RUNNING|12:29:57|10-11:30:03|1|g0307|gres/gpu:1
61459728|kirikot|0057|volta-gpu|RUNNING|12:21:16|10-11:38:44|1|g0303|gres/gpu:1
61471300_9|minhengc|stfcgla_it|volta-gpu|RUNNING|9:24:08|3-14:35:52|1|g0313|gres/gpu:1
61471300_8|minhengc|stfcgla_it|volta-gpu|RUNNING|9:40:06|3-14:19:54|1|g0307|gres/gpu:1
61471300_7|minhengc|stfcgla_it|volta-gpu|RUNNING|9:50:36|3-14:09:24|1|g0314|gres/gpu:1
61125130|solomono|2y7q_Ce3_domain_trimmed_rfd_bb_gen_VeryLargeCampaign_6htps|volta-gpu|RUNNING|3-04:21:51|7-19:38:09|1|g0302|gres/gpu:1
61471300_1|minhengc|stfcgla_it|volta-gpu|RUNNING|10:10:32|3-13:49:28|1|g0311|gres/gpu:1
61471300_2|minhengc|stfcgla_it|volta-gpu|RUNNING|10:10:32|3-13:49:28|1|g0311|gres/gpu:1
61471300_3|minhengc|stfcgla_it|volta-gpu|RUNNING|10:10:32|3-13:49:28|1|g0310|gres/gpu:1
61471300_4|minhengc|stfcgla_it|volta-gpu|RUNNING|10:10:32|3-13:49:28|1|g0310|gres/gpu:1
61471300_5|minhengc|stfcgla_it|volta-gpu|RUNNING|10:10:32|3-13:49:28|1|g0312|gres/gpu:1
61471300_6|minhengc|stfcgla_it|volta-gpu|RUNNING|10:10:32|3-13:49:28|1|g0312|gres/gpu:1
61471300_0|minhengc|stfcgla_it|volta-gpu|RUNNING|10:10:33|3-13:49:27|1|g0309|gres/gpu:1
61486641_19|olsonlc|pool2_gpu_v100|volta-gpu|RUNNING|26:23|2-23:33:37|1|g0316|gres/gpu:1
61486641_18|olsonlc|pool2_gpu_v100|volta-gpu|RUNNING|29:35|2-23:30:25|1|g0306|gres/gpu:1
61486641_17|olsonlc|pool2_gpu_v100|volta-gpu|RUNNING|55:15|2-23:04:45|1|g0311|gres/gpu:1
61486641_16|olsonlc|pool2_gpu_v100|volta-gpu|RUNNING|4:19:52|2-19:40:08|1|g0304|gres/gpu:1
61486641_15|olsonlc|pool2_gpu_v100|volta-gpu|RUNNING|4:40:42|2-19:19:18|1|g0308|gres/gpu:1
61486641_14|olsonlc|pool2_gpu_v100|volta-gpu|RUNNING|4:59:07|2-19:00:53|1|g0315|gres/gpu:1
61486641_13|olsonlc|pool2_gpu_v100|volta-gpu|RUNNING|5:11:25|2-18:48:35|1|g0309|gres/gpu:1
61486641_12|olsonlc|pool2_gpu_v100|volta-gpu|RUNNING|5:21:56|2-18:38:04|1|g0313|gres/gpu:1
61486641_11|olsonlc|pool2_gpu_v100|volta-gpu|RUNNING|5:26:28|2-18:33:32|1|g0303|gres/gpu:1
61486641_10|olsonlc|pool2_gpu_v100|volta-gpu|RUNNING|5:57:18|2-18:02:42|1|g0316|gres/gpu:1
61486641_9|olsonlc|pool2_gpu_v100|volta-gpu|RUNNING|6:02:44|2-17:57:16|1|g0303|gres/gpu:1
61486641_8|olsonlc|pool2_gpu_v100|volta-gpu|RUNNING|6:03:30|2-17:56:30|1|g0304|gres/gpu:1
61486641_7|olsonlc|pool2_gpu_v100|volta-gpu|RUNNING|6:13:35|2-17:46:25|1|g0304|gres/gpu:1
61486641_6|olsonlc|pool2_gpu_v100|volta-gpu|RUNNING|6:19:42|2-17:40:18|1|g0306|gres/gpu:1
61486641_5|olsonlc|pool2_gpu_v100|volta-gpu|RUNNING|6:29:32|2-17:30:28|1|g0305|gres/gpu:1
61486641_4|olsonlc|pool2_gpu_v100|volta-gpu|RUNNING|6:40:29|2-17:19:31|1|g0309|gres/gpu:1
61486641_3|olsonlc|pool2_gpu_v100|volta-gpu|RUNNING|6:43:53|2-17:16:07|1|g0314|gres/gpu:1
61486641_0|olsonlc|pool2_gpu_v100|volta-gpu|RUNNING|6:44:13|2-17:15:47|1|g0302|gres/gpu:1
61486641_1|olsonlc|pool2_gpu_v100|volta-gpu|RUNNING|6:44:13|2-17:15:47|1|g0305|gres/gpu:1
61486641_2|olsonlc|pool2_gpu_v100|volta-gpu|RUNNING|6:44:13|2-17:15:47|1|g0302|gres/gpu:1
61383466_1|damaddio|prod|volta-gpu|RUNNING|9:54:04|1-14:05:56|1|g0307|gres/gpu:1
61383323_2|damaddio|prod|volta-gpu|RUNNING|13:39:04|1-10:20:56|1|g0315|gres/gpu:1
61383323_1|damaddio|prod|volta-gpu|RUNNING|13:54:36|1-10:05:24|1|g0308|gres/gpu:1
61383321_2|damaddio|prod|volta-gpu|RUNNING|14:38:50|1-09:21:10|1|g0314|gres/gpu:1
61383321_1|damaddio|prod|volta-gpu|RUNNING|15:01:47|1-08:58:13|1|g0308|gres/gpu:1
61460442|solomono|FcER1A_bound|volta-gpu|RUNNING|11:57:48|10-12:02:12|1|g0307|gres/gpu:1
61455022|solomono|ce4_domain_binder_design_rfd3_ce4_dimer_rfd2|volta-gpu|RUNNING|13:22:50|10-10:37:10|1|g0315|gres/gpu:1
61454934|solomono|rfd3|volta-gpu|RUNNING|13:32:33|10-10:27:27|1|g0316|gres/gpu:1
61392257_2|damaddio|prod|volta-gpu|RUNNING|8:15:51|1-15:44:09|1|g0306|gres/gpu:1
61392257_1|damaddio|prod|volta-gpu|RUNNING|8:42:24|1-15:17:36|1|g0313|gres/gpu:1
61392255_2|damaddio|prod|volta-gpu|RUNNING|8:58:26|1-15:01:34|1|g0310|gres/gpu:1
61392255_1|damaddio|prod|volta-gpu|RUNNING|9:00:06|1-14:59:54|1|g0312|gres/gpu:1
