JOBID|USER|NAME|PARTITION|STATE|TIME|TIME_LEFT|NODES|NODELIST(REASON)|TRES_PER_NODE
61483073|xuejun1|effsweep_permfit_4feat_additive_es05|a100-gpu|PENDING|0:00|8:00:00|1|(Priority)|gres/gpu:1
61483071|xuejun1|effsweep_permfit_4feat_additive_es025|a100-gpu|PENDING|0:00|8:00:00|1|(Priority)|gres/gpu:1
61483068|xuejun1|effsweep_delong_4feat_additive_es075|a100-gpu|PENDING|0:00|8:00:00|1|(Priority)|gres/gpu:1
61483070|xuejun1|effsweep_delong_4feat_additive_es100|a100-gpu|PENDING|0:00|8:00:00|1|(Priority)|gres/gpu:1
61483066|xuejun1|effsweep_delong_4feat_additive_es05|a100-gpu|PENDING|0:00|8:00:00|1|(Priority)|gres/gpu:1
61483065|xuejun1|effsweep_delong_4feat_additive_es025|a100-gpu|PENDING|0:00|8:00:00|1|(Resources)|gres/gpu:1
61485217|xuejun1|type1_cont_permfit_4feat_interaction|a100-gpu|PENDING|0:00|8:00:00|1|(Priority)|gres/gpu:1
61485216|xuejun1|type1_cont_permfit_4feat_additive|a100-gpu|PENDING|0:00|8:00:00|1|(Priority)|gres/gpu:1
61485215|xuejun1|type1_cont_permfit_15feat_interaction|a100-gpu|PENDING|0:00|10:00:00|1|(Priority)|gres/gpu:1
61485214|xuejun1|type1_cont_permfit_15feat_additive|a100-gpu|PENDING|0:00|10:00:00|1|(Priority)|gres/gpu:1
60995599|harrisbl|gridsearch_agentvit_test|a100-gpu|PENDING|0:00|2-08:00:00|1|(Priority)|gres/gpu:1
60995598|harrisbl|gridsearch_agentvit_test|a100-gpu|PENDING|0:00|2-08:00:00|1|(Priority)|gres/gpu:1
60995597|harrisbl|gridsearch_agentvit_test|a100-gpu|PENDING|0:00|2-08:00:00|1|(Priority)|gres/gpu:1
60995596|harrisbl|gridsearch_agentvit_test|a100-gpu|PENDING|0:00|2-08:00:00|1|(Priority)|gres/gpu:1
60995595|harrisbl|gridsearch_agentvit_test|a100-gpu|PENDING|0:00|2-08:00:00|1|(Priority)|gres/gpu:1
60995594|harrisbl|gridsearch_agentvit_test|a100-gpu|PENDING|0:00|2-08:00:00|1|(Priority)|gres/gpu:1
60995593|harrisbl|gridsearch_agentvit_test|a100-gpu|PENDING|0:00|2-08:00:00|1|(Priority)|gres/gpu:1
60995592|harrisbl|gridsearch_agentvit_test|a100-gpu|PENDING|0:00|2-08:00:00|1|(Priority)|gres/gpu:1
60995614|harrisbl|gridsearch_agentvit_test|a100-gpu|PENDING|0:00|2-08:00:00|1|(Priority)|gres/gpu:1
60995613|harrisbl|gridsearch_agentvit_test|a100-gpu|PENDING|0:00|2-08:00:00|1|(Priority)|gres/gpu:1
60995612|harrisbl|gridsearch_agentvit_test|a100-gpu|PENDING|0:00|2-08:00:00|1|(Priority)|gres/gpu:1
60995611|harrisbl|gridsearch_agentvit_test|a100-gpu|PENDING|0:00|2-08:00:00|1|(Priority)|gres/gpu:1
60995610|harrisbl|gridsearch_agentvit_test|a100-gpu|PENDING|0:00|2-08:00:00|1|(Priority)|gres/gpu:1
60995609|harrisbl|gridsearch_agentvit_test|a100-gpu|PENDING|0:00|2-08:00:00|1|(Priority)|gres/gpu:1
60995608|harrisbl|gridsearch_agentvit_test|a100-gpu|PENDING|0:00|2-08:00:00|1|(Priority)|gres/gpu:1
60995607|harrisbl|gridsearch_agentvit_test|a100-gpu|PENDING|0:00|2-08:00:00|1|(Priority)|gres/gpu:1
60995606|harrisbl|gridsearch_agentvit_test|a100-gpu|PENDING|0:00|2-08:00:00|1|(Priority)|gres/gpu:1
60995605|harrisbl|gridsearch_agentvit_test|a100-gpu|PENDING|0:00|2-08:00:00|1|(Priority)|gres/gpu:1
