subset,class,case_metric_rows,mean_Dice,mean_HD95_mm,mean_exact_HD_mm,mean_precision,mean_sensitivity,mean_component_count,mean_remote_fp_volume_mm3,mean_blood_pool_adjacent_fp_volume_mm3,mean_volume_ratio
all_outer,scar,88,0.523500573079597,22.899074927837937,45.21542023104784,0.5571567770942838,0.5798703810407247,4.863636363636363,3894.4952037052876,6469.974338458042,8.446722340910263
sentinel_outer,scar,7,0.5816865458195701,42.69071049669315,48.96819634740693,0.5980091193229775,0.6474726343844605,1.8571428571428572,6666.4412213861115,6243.584462076443,1.4755759235859849
complete_modality,scar,32,0.6518492577318509,22.338870038874564,35.820819124592205,0.6617304479370612,0.7369334581330649,2.03125,3231.2504148787557,3597.9704357040264,13.713155911516592
centerB,scar,14,0.6919581371709524,13.149366594073097,30.9418235772631,0.7111235018257137,0.6959842437881409,2.0714285714285716,2615.5189336091285,3327.151822704408,0.996713496355645
centerC,scar,18,0.6206534626125496,29.906696405181656,39.838815457686785,0.623313628245887,0.7687828470680057,2.0,3710.152678088466,3808.6071347037287,23.60372223441955
no_t2,scar,56,0.4501584675640234,23.22674193836368,50.71037559520113,0.49740039375555384,0.4901200512736733,6.482142857142857,4273.492225891878,8111.119425746053,5.437331729135218
all_outer,edema,88,0.7953093461967583,7.083419956210938,12.932929685401335,0.8528355923384122,0.7789476082483149,4.75,1110.910893615627,1028.4999132960495,0.2577074231180452
sentinel_outer,edema,7,0.3564320981932369,31.48854415586256,44.45689752815007,0.4455839952276279,0.37005648332151264,8.714285714285714,3550.2315200323987,2451.2837238862244,0.8401035392183578
complete_modality,edema,32,0.43710070204108536,19.479404879580084,35.56555663485368,0.5952978789306338,0.392105922682866,13.0625,3055.004957442973,2828.374761564136,0.7086954135746243
centerB,edema,14,0.52086444660442,19.82815604370926,39.51213648288582,0.6143195275074327,0.4962865577401399,10.0,5953.3807697957245,3887.7418741518777,0.8412104705771445
centerC,edema,18,0.3719511229362696,19.208153974146274,32.49599453082866,0.5805032633709014,0.3110765398605418,15.444444444444445,800.7126589463901,2004.4225628847812,0.6056281470171085
no_t2,edema,56,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
