variant,step,loss,anatomy_loss,scar_loss,edema_loss,retrieval_loss,soft_containment_loss,component_compactness_loss,proposal_bce_loss,proposal_margin_loss,proposal_uncertainty_loss,edema_supervised_batch_fraction,batch_cases,elapsed_seconds
srr_v2_proposal_uncertainty_hardneg,1,4.387908458709717,1.4711017608642578,1.0415250062942505,0.8319438695907593,3.373212166479789e-05,0.0,0.0,0.8971855640411377,0.2693534791469574,1.4344154596328735,1.0,Case2022,0.6852666977792978
srr_v2_proposal_uncertainty_hardneg,1,4.387908458709717,,,,,,,,,,,,0.8998167123645544
srr_v2_proposal_uncertainty_hardneg,250,1.8906856775283813,0.639784038066864,0.4080426096916199,0.4125089645385742,6.958635640330613e-05,-0.0,-0.0,0.3151746392250061,0.08814714848995209,0.7894572019577026,1.0,Case2029,11.539438743144274
srr_v2_proposal_uncertainty_hardneg,500,0.9640516042709351,0.17706669867038727,0.5443793535232544,-0.0,0.0031915593426674604,-0.0,-0.0,0.25409385561943054,0.0019023888744413853,0.19898122549057007,0.0,Case8033,22.599136240780354
srr_v2_proposal_uncertainty_hardneg,750,1.2752741575241089,0.259161114692688,0.5906121730804443,-0.0,0.003219613106921315,-0.0,-0.0,0.26995182037353516,0.35520458221435547,1.2064238786697388,0.0,Case8010,33.7071746122092
srr_v2_proposal_uncertainty_hardneg,1000,1.6529505252838135,0.35100021958351135,0.357778936624527,0.4600415527820587,0.00016587493882980198,-0.0,-0.0,0.37154680490493774,0.2136489599943161,0.7271645665168762,1.0,Case2030,44.185696206986904
srr_v2_proposal_uncertainty_hardneg,1250,1.8029192686080933,0.6391749978065491,0.37994369864463806,0.3725769519805908,0.00015630728739779443,-0.0,-0.0,0.29583215713500977,0.14358046650886536,0.7218136787414551,1.0,Case2027,54.415842754766345
srr_v2_proposal_uncertainty_hardneg,1500,2.275012254714966,0.6440553069114685,0.5076196193695068,0.4574396014213562,0.00013442688214126974,-0.0,-0.0,0.5995639562606812,0.39268726110458374,0.8443129658699036,1.0,Case3013,65.47740527614951
srr_v2_proposal_uncertainty_hardneg,1750,1.1880940198898315,0.4040706753730774,0.539054811000824,-0.0,0.0031905840151011944,-0.0,-0.0,0.25536996126174927,0.005415638908743858,0.23663635551929474,0.0,Case1064,77.67494691722095
srr_v2_proposal_uncertainty_hardneg,2000,1.3428876399993896,0.40432649850845337,0.3048139214515686,0.27577880024909973,0.0001342345931334421,-0.0,-0.0,0.2546638250350952,0.15413789451122284,0.7975338697433472,1.0,Case2022,88.62685264274478
srr_v2_proposal_uncertainty_hardneg,2250,2.3405251502990723,0.5072230696678162,0.5050757527351379,0.5487593412399292,0.00012415240053087473,-0.0,-0.0,0.6146334409713745,0.6361024975776672,1.11220383644104,1.0,Case2013,98.61586046032608
srr_v2_proposal_uncertainty_hardneg,2500,1.0503168106079102,0.3814261257648468,0.3985103666782379,-0.0,0.0031439808662980795,-0.0,-0.0,0.18569768965244293,0.2002750039100647,0.7074125409126282,0.0,Case1077,108.75764875859022
srr_v2_proposal_uncertainty_hardneg,2500,1.0503168106079102,,,,,,,,,,,,108.97342061065137
srr_v2_proposal_uncertainty_hardneg,2750,2.0495543479919434,0.6415053009986877,0.45567744970321655,0.4204992353916168,0.00012071869423380122,-0.0,-0.0,0.4649283289909363,0.20996539294719696,0.7272304892539978,1.0,Case3013,118.92093586549163
srr_v2_proposal_uncertainty_hardneg,3000,1.5717624425888062,0.028633832931518555,0.5049713253974915,0.516507089138031,8.857380453264341e-05,-0.0,-0.0,0.5374723672866821,0.02994842827320099,0.25806644558906555,1.0,Case3032,129.10439534671605
