phase,case_id,control,graph_symbol,changed_logits,changed_voxels,changed_components,expected_behavior,observed_behavior,pass
d2_hierarchical_psip,Case1053,positive_negative_prototype_swap,ProposalDictionary.positive<->negative,True,134,3,known_bad_detected,KNOWN_BAD_DETECTED_HARMFUL,True
d2_hierarchical_psip,Case1053,anchor_residual_control_off_path,SRRProposeRefineMyoPS.forward(force_closed_gate=True),False,0,0,zero_effect,CONTROL_ZERO_EFFECT,True
d2_hierarchical_psip,Case1062,no_op,SRRProposeRefineMyoPS.forward/no_op_control,False,0,0,zero_effect,CONTROL_ZERO_EFFECT,True
d2_hierarchical_psip,Case1062,positive_negative_prototype_swap,ProposalDictionary.positive<->negative,True,869,-1,known_bad_detected,KNOWN_BAD_DETECTED_HARMFUL,True
d2_hierarchical_psip,Case1062,anchor_residual_control_off_path,SRRProposeRefineMyoPS.forward(force_closed_gate=True),False,0,0,zero_effect,CONTROL_ZERO_EFFECT,True
d2_hierarchical_psip,Case1070,no_op,SRRProposeRefineMyoPS.forward/no_op_control,False,0,0,zero_effect,CONTROL_ZERO_EFFECT,True
d2_hierarchical_psip,Case1070,positive_negative_prototype_swap,ProposalDictionary.positive<->negative,True,444,-4,known_bad_detected,KNOWN_BAD_DETECTED_HARMFUL,True
d2_hierarchical_psip,Case1070,anchor_residual_control_off_path,SRRProposeRefineMyoPS.forward(force_closed_gate=True),False,0,0,zero_effect,CONTROL_ZERO_EFFECT,True
d2_hierarchical_psip,Case1073,no_op,SRRProposeRefineMyoPS.forward/no_op_control,False,0,0,zero_effect,CONTROL_ZERO_EFFECT,True
d2_hierarchical_psip,Case1073,positive_negative_prototype_swap,ProposalDictionary.positive<->negative,True,186,-3,known_bad_detected,KNOWN_BAD_DETECTED_HARMFUL,True
d2_hierarchical_psip,Case1073,anchor_residual_control_off_path,SRRProposeRefineMyoPS.forward(force_closed_gate=True),False,0,0,zero_effect,CONTROL_ZERO_EFFECT,True
d2_hierarchical_psip,Case1080,no_op,SRRProposeRefineMyoPS.forward/no_op_control,False,0,0,zero_effect,CONTROL_ZERO_EFFECT,True
d2_hierarchical_psip,Case1080,positive_negative_prototype_swap,ProposalDictionary.positive<->negative,True,48,-2,known_bad_detected,KNOWN_BAD_DETECTED_HARMFUL,True
d2_hierarchical_psip,Case1080,anchor_residual_control_off_path,SRRProposeRefineMyoPS.forward(force_closed_gate=True),False,0,0,zero_effect,CONTROL_ZERO_EFFECT,True
d2_hierarchical_psip,Case2002,no_op,SRRProposeRefineMyoPS.forward/no_op_control,False,0,0,zero_effect,CONTROL_ZERO_EFFECT,True
d2_hierarchical_psip,Case2002,positive_negative_prototype_swap,ProposalDictionary.positive<->negative,True,244,1,known_bad_detected,KNOWN_BAD_DETECTED_HARMFUL,True
d2_hierarchical_psip,Case2002,anchor_residual_control_off_path,SRRProposeRefineMyoPS.forward(force_closed_gate=True),False,0,0,zero_effect,CONTROL_ZERO_EFFECT,True
d2_hierarchical_psip,Case2007,no_op,SRRProposeRefineMyoPS.forward/no_op_control,False,0,0,zero_effect,CONTROL_ZERO_EFFECT,True
d2_hierarchical_psip,Case2007,positive_negative_prototype_swap,ProposalDictionary.positive<->negative,True,155,-6,known_bad_detected,KNOWN_BAD_DETECTED_HARMFUL,True
d2_hierarchical_psip,Case2007,anchor_residual_control_off_path,SRRProposeRefineMyoPS.forward(force_closed_gate=True),False,0,0,zero_effect,CONTROL_ZERO_EFFECT,True
d2_hierarchical_psip,Case2008,no_op,SRRProposeRefineMyoPS.forward/no_op_control,False,0,0,zero_effect,CONTROL_ZERO_EFFECT,True
d2_hierarchical_psip,Case2008,positive_negative_prototype_swap,ProposalDictionary.positive<->negative,True,207,4,known_bad_detected,KNOWN_BAD_DETECTED_HARMFUL,True
d2_hierarchical_psip,Case2008,anchor_residual_control_off_path,SRRProposeRefineMyoPS.forward(force_closed_gate=True),False,0,0,zero_effect,CONTROL_ZERO_EFFECT,True
d2_hierarchical_psip,Case2017,no_op,SRRProposeRefineMyoPS.forward/no_op_control,False,0,0,zero_effect,CONTROL_ZERO_EFFECT,True
d2_hierarchical_psip,Case2017,positive_negative_prototype_swap,ProposalDictionary.positive<->negative,True,111,-3,known_bad_detected,KNOWN_BAD_DETECTED_HARMFUL,True
d2_hierarchical_psip,Case2017,anchor_residual_control_off_path,SRRProposeRefineMyoPS.forward(force_closed_gate=True),False,0,0,zero_effect,CONTROL_ZERO_EFFECT,True
d2_hierarchical_psip,Case2020,no_op,SRRProposeRefineMyoPS.forward/no_op_control,False,0,0,zero_effect,CONTROL_ZERO_EFFECT,True
d2_hierarchical_psip,Case2020,positive_negative_prototype_swap,ProposalDictionary.positive<->negative,True,66,1,known_bad_detected,KNOWN_BAD_DETECTED_HARMFUL,True
d2_hierarchical_psip,Case2020,anchor_residual_control_off_path,SRRProposeRefineMyoPS.forward(force_closed_gate=True),False,0,0,zero_effect,CONTROL_ZERO_EFFECT,True
d2_hierarchical_psip,Case2031,no_op,SRRProposeRefineMyoPS.forward/no_op_control,False,0,0,zero_effect,CONTROL_ZERO_EFFECT,True
d2_hierarchical_psip,Case2031,positive_negative_prototype_swap,ProposalDictionary.positive<->negative,True,120,1,known_bad_detected,KNOWN_BAD_DETECTED_HARMFUL,True
d2_hierarchical_psip,Case2031,anchor_residual_control_off_path,SRRProposeRefineMyoPS.forward(force_closed_gate=True),False,0,0,zero_effect,CONTROL_ZERO_EFFECT,True
d2_hierarchical_psip,Case2033,no_op,SRRProposeRefineMyoPS.forward/no_op_control,False,0,0,zero_effect,CONTROL_ZERO_EFFECT,True
d2_hierarchical_psip,Case2033,positive_negative_prototype_swap,ProposalDictionary.positive<->negative,True,249,-3,known_bad_detected,KNOWN_BAD_DETECTED_HARMFUL,True
d2_hierarchical_psip,Case2033,anchor_residual_control_off_path,SRRProposeRefineMyoPS.forward(force_closed_gate=True),False,0,0,zero_effect,CONTROL_ZERO_EFFECT,True
d2_hierarchical_psip,Case3004,no_op,SRRProposeRefineMyoPS.forward/no_op_control,False,0,0,zero_effect,CONTROL_ZERO_EFFECT,True
d2_hierarchical_psip,Case3004,positive_negative_prototype_swap,ProposalDictionary.positive<->negative,True,90,4,known_bad_detected,KNOWN_BAD_DETECTED_HARMFUL,True
d2_hierarchical_psip,Case3004,anchor_residual_control_off_path,SRRProposeRefineMyoPS.forward(force_closed_gate=True),False,0,0,zero_effect,CONTROL_ZERO_EFFECT,True
d2_hierarchical_psip,Case3011,no_op,SRRProposeRefineMyoPS.forward/no_op_control,False,0,0,zero_effect,CONTROL_ZERO_EFFECT,True
d2_hierarchical_psip,Case3011,positive_negative_prototype_swap,ProposalDictionary.positive<->negative,True,254,-1,known_bad_detected,KNOWN_BAD_DETECTED_HARMFUL,True
d2_hierarchical_psip,Case3011,anchor_residual_control_off_path,SRRProposeRefineMyoPS.forward(force_closed_gate=True),False,0,0,zero_effect,CONTROL_ZERO_EFFECT,True
d2_hierarchical_psip,Case3012,no_op,SRRProposeRefineMyoPS.forward/no_op_control,False,0,0,zero_effect,CONTROL_ZERO_EFFECT,True
d2_hierarchical_psip,Case3012,positive_negative_prototype_swap,ProposalDictionary.positive<->negative,True,290,6,known_bad_detected,KNOWN_BAD_DETECTED_HARMFUL,True
d2_hierarchical_psip,Case3012,anchor_residual_control_off_path,SRRProposeRefineMyoPS.forward(force_closed_gate=True),False,0,0,zero_effect,CONTROL_ZERO_EFFECT,True
d2_hierarchical_psip,Case3023,no_op,SRRProposeRefineMyoPS.forward/no_op_control,False,0,0,zero_effect,CONTROL_ZERO_EFFECT,True
d2_hierarchical_psip,Case3023,positive_negative_prototype_swap,ProposalDictionary.positive<->negative,True,170,1,known_bad_detected,KNOWN_BAD_DETECTED_HARMFUL,True
d2_hierarchical_psip,Case3023,anchor_residual_control_off_path,SRRProposeRefineMyoPS.forward(force_closed_gate=True),False,0,0,zero_effect,CONTROL_ZERO_EFFECT,True
d2_hierarchical_psip,Case3026,no_op,SRRProposeRefineMyoPS.forward/no_op_control,False,0,0,zero_effect,CONTROL_ZERO_EFFECT,True
d2_hierarchical_psip,Case3026,positive_negative_prototype_swap,ProposalDictionary.positive<->negative,True,155,-3,known_bad_detected,KNOWN_BAD_DETECTED_HARMFUL,True
d2_hierarchical_psip,Case3026,anchor_residual_control_off_path,SRRProposeRefineMyoPS.forward(force_closed_gate=True),False,0,0,zero_effect,CONTROL_ZERO_EFFECT,True
d2_hierarchical_psip,Case3034,no_op,SRRProposeRefineMyoPS.forward/no_op_control,False,0,0,zero_effect,CONTROL_ZERO_EFFECT,True
d2_hierarchical_psip,Case3034,positive_negative_prototype_swap,ProposalDictionary.positive<->negative,True,455,-6,known_bad_detected,KNOWN_BAD_DETECTED_HARMFUL,True
d2_hierarchical_psip,Case3034,anchor_residual_control_off_path,SRRProposeRefineMyoPS.forward(force_closed_gate=True),False,0,0,zero_effect,CONTROL_ZERO_EFFECT,True
d2_hierarchical_psip,Case3038,no_op,SRRProposeRefineMyoPS.forward/no_op_control,False,0,0,zero_effect,CONTROL_ZERO_EFFECT,True
