phase,checkpoint_name,checkpoint_sha256,all_44_fresh,hashes_match,calibration_frozen,finite,no_t2_exact_zero,eligible,case_count,scar_positive_nonempty_rate,t2_edema_positive_nonempty_rate,edema_positive_nonempty_rate,scar_median_volume_ratio,edema_median_volume_ratio,subgroups_complete,validators_pass,exclusion_reason,exclusion_reasons
d1_spatial_br2,checkpoint_validation_step_22500,3195fddb67380873d80564a71bf999780772b7041e7d462a6b7d1b0b011a1eee,True,true,true,True,True,true,44,1.0,1.0,1.0,,,true,true,,
hard_negative_refresh,checkpoint_validation_step_20000,31f655c5ac4d58a7f86ee52ffe910db7da8177251092c6359c93d74b97644162,True,true,true,True,True,true,44,1.0,1.0,1.0,,,true,true,,
d2_hierarchical_psip,checkpoint_validation_step_24990,320e7b49fbd8141a4f9bd41c512038e27b69e310c26a274464c29688102fb5dd,True,true,true,True,True,true,44,1.0,1.0,1.0,,,true,true,,
d2_hierarchical_psip,checkpoint_validation_step_16660,331e4fff6d4dcc711f0abd0eb4199ed571646312404e4323fe1d9b8e9f3c8ff1,True,true,true,True,True,true,44,1.0,1.0,1.0,,,true,true,,
d2_hierarchical_psip,checkpoint_validation_step_1666,33a64cd26e9a3041105d0bee1a71155b09c4f77ff61556acd5a0cf1e021d53ba,True,true,true,True,True,true,44,1.0,1.0,1.0,,,true,true,,
d3_full_propref,checkpoint_validation_step_22495,33be08fd9c273738e7691e0e88b0ee9e5a74898f794005e83307db9971612bcd,True,true,true,True,True,true,44,1.0,1.0,1.0,,,true,true,,
no_context_control,checkpoint_validation_step_16000,37332161dcd53f95ceb532da7a8663edded164e4ba8ade21b04c6b16dec16898,True,true,true,True,True,true,44,1.0,1.0,1.0,,,true,true,,
d2_hierarchical_psip,checkpoint_final,386d06fc4b72a4bc7c023c107a6a674c91e28d8671099fb57eabc9cf5b17ded6,True,true,true,True,True,true,44,1.0,1.0,1.0,,,true,true,,
no_context_control,checkpoint_validation_step_2000,3acd8bd7f561e2bd395c30bbe75f9f63f677f5303b075f51be48d6e5d54932d6,True,true,true,True,True,true,44,1.0,1.0,1.0,,,true,true,,
d3_full_propref,checkpoint_validation_step_26585,3bee0d14789b2ddd18f37326ae763fc19604fb326304aca08e56e1afb3bd979a,True,true,true,True,True,true,44,1.0,1.0,1.0,,,true,true,,
d3_full_propref,checkpoint_validation_step_40500,3d646e756c6c9edd2bb7480ff2396ec242a6512c4069919afb314d5fb001edab,True,true,true,True,True,true,44,1.0,1.0,1.0,,,true,true,,
d3_full_propref,checkpoint_validation_step_38855,3dc72b03c45a7b83bbf6a6675a258c3ce468f8043846ad5f10590bf05d1d9e7a,True,true,true,True,True,true,44,1.0,1.0,1.0,,,true,true,,
d2_hierarchical_psip,checkpoint_validation_step_21658,3f084a7a394556d13377fbe77c2887897ee95258e921087797d815577ace2dd1,True,true,true,True,True,true,44,1.0,1.0,1.0,,,true,true,,
hard_negative_refresh,checkpoint_validation_step_6000,3fd5a6431387c68f98d41bdebd88824a354d5e7532c4dac4c38ee4d16f4c87b9,True,true,true,True,True,true,44,1.0,1.0,1.0,,,true,true,,
no_context_control,checkpoint_validation_step_20000,40f5d166202bb4eaa9052cb36662d042a86b4f6d1401a0087f1f40bf3db1b74f,True,true,true,True,True,true,44,1.0,1.0,1.0,,,true,true,,
alignment_control,checkpoint_validation_step_2500,41523cbf34235515a3699816da0f909d92722fa86700a3c8c8537483e291d130,True,true,true,True,True,true,44,1.0,1.0,1.0,,,true,true,,
