phase,component,called,gradient_present,tensor_changed,final_logits_changed,final_labels_changed,adequately_tested,metric_benefit,classification,evidence_rows
d2_hierarchical_psip,retrieval_off,True,not_required_eval_forward,True,True,True,True,False,FINAL_OUTPUT_EFFECT,44
d2_hierarchical_psip,prototype_memory_off,True,not_required_eval_forward,True,True,True,True,True,FINAL_OUTPUT_EFFECT,44
d2_hierarchical_psip,scar_proposal_off,True,not_required_eval_forward,True,True,True,True,True,FINAL_OUTPUT_EFFECT,44
d2_hierarchical_psip,edema_proposal_off,True,not_required_eval_forward,True,True,True,True,True,FINAL_OUTPUT_EFFECT;PIPELINE_BUG_NO_FINAL_OUTPUT_EFFECT,44
d2_hierarchical_psip,scar_refiner_off,True,not_required_eval_forward,True,True,True,True,True,FINAL_OUTPUT_EFFECT,44
d2_hierarchical_psip,edema_refiner_off,True,not_required_eval_forward,True,True,True,True,True,FINAL_OUTPUT_EFFECT;PIPELINE_BUG_NO_FINAL_OUTPUT_EFFECT,44
d2_hierarchical_psip,nnunet_context_off,True,not_required_eval_forward,True,True,True,True,True,FINAL_OUTPUT_EFFECT,44
d2_hierarchical_psip,final_probability_composition_off,True,not_required_eval_forward,False,False,False,True,False,PIPELINE_BUG_PROBABILITY_COMPOSITION_NOT_CHALLENGE_DECODE_PATH,44
d2_hierarchical_psip,final_srr_logits_replaced,True,not_required_eval_forward,True,True,True,True,True,FINAL_OUTPUT_EFFECT,44
d2_hierarchical_psip,no_op,True,not_required_eval_forward,False,False,False,True,False,CONTROL_ZERO_EFFECT,44
d2_hierarchical_psip,positive_negative_prototype_swap,True,not_required_eval_forward,True,True,True,True,False,KNOWN_BAD_DETECTED_HARMFUL,44
d2_hierarchical_psip,anchor_residual_control_off_path,True,not_required_eval_forward,False,False,False,True,False,CONTROL_ZERO_EFFECT,44
d3_full_propref,retrieval_off,True,not_required_eval_forward,True,True,True,True,False,FINAL_OUTPUT_EFFECT,44
d3_full_propref,prototype_memory_off,True,not_required_eval_forward,True,True,True,True,True,FINAL_OUTPUT_EFFECT,44
d3_full_propref,scar_proposal_off,True,not_required_eval_forward,True,True,True,True,True,FINAL_OUTPUT_EFFECT,44
d3_full_propref,edema_proposal_off,True,not_required_eval_forward,True,True,True,True,True,FINAL_OUTPUT_EFFECT;PIPELINE_BUG_NO_FINAL_OUTPUT_EFFECT,44
d3_full_propref,scar_refiner_off,True,not_required_eval_forward,True,True,True,True,True,FINAL_OUTPUT_EFFECT,44
d3_full_propref,edema_refiner_off,True,not_required_eval_forward,True,True,True,True,True,FINAL_OUTPUT_EFFECT;PIPELINE_BUG_NO_FINAL_OUTPUT_EFFECT,44
d3_full_propref,nnunet_context_off,True,not_required_eval_forward,True,True,True,True,True,FINAL_OUTPUT_EFFECT,44
d3_full_propref,final_probability_composition_off,True,not_required_eval_forward,False,False,False,True,False,PIPELINE_BUG_PROBABILITY_COMPOSITION_NOT_CHALLENGE_DECODE_PATH,44
d3_full_propref,final_srr_logits_replaced,True,not_required_eval_forward,True,True,True,True,True,FINAL_OUTPUT_EFFECT,44
d3_full_propref,no_op,True,not_required_eval_forward,False,False,False,True,False,CONTROL_ZERO_EFFECT,44
d3_full_propref,positive_negative_prototype_swap,True,not_required_eval_forward,True,True,True,True,False,KNOWN_BAD_DETECTED_HARMFUL,44
d3_full_propref,anchor_residual_control_off_path,True,not_required_eval_forward,False,False,False,True,False,CONTROL_ZERO_EFFECT,44
