pathology,modality_pattern,bucket,case_count,mean_nnunet_dice,mean_mosaic_dice,mean_delta_mosaic_minus_nnunet
pure_edema,LGE+T2+C0,BOTH_FAIL,35,0.24388505244630854,0.04536686277695081,-0.19851818966935772
pure_edema,LGE+T2+C0,NNUNET_PROTECTS,45,0.5762001655280393,0.05850331664690997,-0.5176968488811293
scar,LGE+T2+C0,BOTH_FAIL,36,0.17965923902945646,0.08181783694084982,-0.09784140208860663
scar,LGE+T2+C0,BOTH_GOOD,54,0.7603939546352211,0.7589427029078983,-0.0014512517273226394
scar,LGE+T2+C0,MOSAIC_RESCUES,18,0.47772153763888997,0.6234067238536656,0.14568518621477558
scar,LGE+T2+C0,NEAR_TIE,15,0.5697375649656203,0.5681132724617515,-0.0016242925038688811
scar,LGE+T2+C0,NNUNET_PROTECTS,97,0.6057350840812201,0.20129463756866642,-0.4044404465125536
