pathology,center,bucket,case_count,mean_nnunet_dice,mean_mosaic_dice,mean_delta_mosaic_minus_nnunet
pure_edema,CenterB,BOTH_FAIL,5,0.2949823885483704,0.11371594008470183,-0.1812664484636686
pure_edema,CenterB,NNUNET_PROTECTS,30,0.6176441103594976,0.0584970078354747,-0.5591471025240229
pure_edema,CenterC,BOTH_FAIL,30,0.23536882976263163,0.03397534989232564,-0.20139347987030598
pure_edema,CenterC,NNUNET_PROTECTS,15,0.49331227586512266,0.05851593426978052,-0.4347963415953423
scar,CenterA,BOTH_FAIL,11,0.28398733256590813,0.04430917489700981,-0.23967815766889827
scar,CenterA,NEAR_TIE,1,0.4401960784313725,0.4615384615384615,0.021342383107089025
scar,CenterA,NNUNET_PROTECTS,69,0.5868979399647033,0.16135541195146788,-0.42554252801323544
scar,CenterB,BOTH_GOOD,21,0.7403049691425666,0.7502222789674269,0.009917309824860328
scar,CenterB,MOSAIC_RESCUES,4,0.49187184223434166,0.6950176325101012,0.20314579027575946
scar,CenterB,NEAR_TIE,2,0.6167220170674734,0.6361428221307177,0.01942080506324434
scar,CenterB,NNUNET_PROTECTS,8,0.679071377535542,0.3898130181127233,-0.28925835942281874
scar,CenterC,BOTH_FAIL,5,0.22161430694318626,0.10337648212439621,-0.11823782481879004
scar,CenterC,BOTH_GOOD,26,0.789035421801783,0.7787524847175269,-0.010282937084256004
scar,CenterC,MOSAIC_RESCUES,4,0.5280874224491666,0.6257309572747445,0.09764353482557786
scar,CenterC,NEAR_TIE,4,0.5904820639679115,0.5815974823287832,-0.008884581639128239
scar,CenterC,NNUNET_PROTECTS,6,0.7407777051612138,0.24958822154520346,-0.4911894836160104
scar,CenterE,BOTH_FAIL,4,0.0899770434489585,0.031063235010603422,-0.05891380843835508
scar,CenterE,MOSAIC_RESCUES,1,0.2285714285714285,0.4019704433497537,0.17339901477832517
scar,CenterE,NNUNET_PROTECTS,2,0.6266871391959694,0.02560399159663865,-0.6010831475993308
scar,CenterF,BOTH_FAIL,4,0.15284317107508133,0.029977751518064373,-0.12286541955701695
scar,CenterF,NNUNET_PROTECTS,5,0.48193634209174097,0.17852802910917953,-0.30340831298256143
scar,CenterG,BOTH_FAIL,3,0.0,0.058679706601466965,0.058679706601466965
scar,CenterG,MOSAIC_RESCUES,2,0.38427734906945077,0.521798991245022,0.13752164217557128
scar,CenterG,NEAR_TIE,1,0.621955077507118,0.6392579593883179,0.017302881881199883
scar,CenterG,NNUNET_PROTECTS,2,0.8514615907545887,0.18483063328424154,-0.6666309574703472
scar,CenterH,BOTH_FAIL,9,0.14050217266926143,0.16899508105138142,0.02849290838212001
scar,CenterH,BOTH_GOOD,7,0.7142783187802407,0.7115247851506931,-0.0027535336295476187
scar,CenterH,MOSAIC_RESCUES,7,0.5031463560079511,0.6418226063409715,0.13867625033302047
scar,CenterH,NEAR_TIE,7,0.5555057183627462,0.5460324417747036,-0.00947327658804255
scar,CenterH,NNUNET_PROTECTS,5,0.6034257753404753,0.49250271000573964,-0.11092306533473546
